APPBP2	WNT5B
PSEN2	NCSTN
CTNNB1	LEF1
CTNNB1	RNF4
CTNNB1	CUL1
CTNNB1	HDAC2
CTNNB1	DVL2
CTNNB1	DKK1
CTNNB1	AXIN1
CTNNB1	NOTCH1
CTNNB1	KAT2A
CTNNB1	AXIN2
CTNNB1	TCF7
CTNNB1	LRP6
LEF1	NOTCH1
TP53	HDAC2
TP53	DVL2
TP53	CSNK1E
TP53	MYC
TP53	HDAC5
TP53	AXIN1
TP53	NUMB
TP53	RBPJ
TP53	KAT2A
TP53	HEY1
TP53	NOTCH4
RNF4	NCOR2
RNF4	ADAM17
RNF4	MYC
RNF4	AXIN1
RNF4	NCSTN
RNF4	NOTCH2
RNF4	NKD1
NCOR2	HDAC2
NCOR2	HDAC5
NCOR2	PPARD
NCOR2	RBPJ
ADAM17	PTCH1
CUL1	MYC
CUL1	SKP2
CUL1	RBPJ
CUL1	PTCH1
CUL1	DKK4
HDAC2	MYC
HDAC2	PPARD
HDAC2	RBPJ
DVL2	CSNK1E
DVL2	AXIN1
DVL2	EPN1
DKK1	LRP5
DKK1	LRP6
WNT5B	WNT5A
WNT5B	KLRG2
CCND2	KAT2A
CSNK1E	MYC
CSNK1E	AXIN1
HEY2	NOTCH1
HEY2	HEY1
MYC	AXIN1
MYC	SKP2
MYC	RBPJ
MYC	KAT2A
MYC	NOTCH3
AXIN1	LRP5
AXIN1	AXIN2
AXIN1	LRP6
NOTCH1	NOTCH2
NOTCH1	NUMB
NOTCH1	EPN1
NOTCH1	RBPJ
NOTCH1	MAML1
NOTCH1	NOTCH3
NOTCH1	JAG1
NOTCH1	DLL1
NOTCH1	JAG2
NOTCH1	HEY1
NOTCH2	RBPJ
NOTCH2	MAML1
NOTCH2	JAG1
NOTCH2	DLL1
NOTCH2	JAG2
EPN1	DLL1
EPN1	LRP6
EPN1	FZD8
RBPJ	KAT2A
RBPJ	MAML1
RBPJ	NOTCH3
MAML1	NOTCH3
MAML1	NOTCH4
NOTCH3	JAG1
NOTCH3	DLL1
NOTCH3	JAG2
LRP5	LRP6
LRP5	FZD8
LRP5	DKK4
WNT1	LRP6
WNT1	FZD8
FZD1	WNT5A
WNT5A	LRP6
LRP6	FZD8
RHOU	WNT6
