goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0002009	morphogenesis of an epithelium	465	21	JAG1|1;CTNNB1|1;DVL2|1;KAT2A|1;RBPJ|1;JAG2|1;LRP6|0;LRP5|0;MYC|1;NOTCH1|1;NOTCH4|1;PTCH1|1;ADAM17|1;WNT1|1;WNT5A|0;WNT6|1;FZD1|1;DKK1|1;DLL1|1;LEF1|1;NKD1|1	1.5350846386176864	13.680027453671928	0	0
GO:0007166	cell surface receptor signaling pathway	2546	37	JAG1|1;CTNNB1|1;DVL2|1;RBPJ|1;JAG2|1;LRP6|0;LRP5|0;MYC|1;NOTCH1|1;NOTCH2|0;NOTCH3|0;NOTCH4|1;PSEN2|1;PTCH1|1;ADAM17|1;TCF7|1;TP53|1;WNT1|1;WNT5A|0;WNT6|1;AXIN1|1;AXIN2|1;FZD1|1;FZD8|1;CUL1|1;MAML1|1;DKK1|1;NCSTN|1;HEY1|1;HEY2|1;DKK4|1;DLL1|1;EPN1|0;LEF1|1;RHOU|0;WNT5B|1;NKD1|1	8.405001053592752	4.402141030569437	0	0
GO:0007219	Notch signaling pathway	168	17	JAG1|1;RBPJ|1;JAG2|1;MYC|1;NOTCH1|1;NOTCH2|0;NOTCH3|0;NOTCH4|1;PSEN2|1;ADAM17|1;WNT1|1;MAML1|1;NCSTN|1;HEY1|1;HEY2|1;DLL1|1;EPN1|0	0.554611224274777	30.652102330293815	0	0
GO:0009653	anatomical structure morphogenesis	2318	35	JAG1|1;CTNNB1|1;DVL2|1;KAT2A|1;HDAC2|1;RBPJ|1;JAG2|1;LRP6|0;LRP5|0;MYC|1;NOTCH1|1;NOTCH2|0;NOTCH3|0;NOTCH4|1;PTCH1|1;ADAM17|1;TCF7|1;WNT1|1;WNT5A|0;WNT6|1;AXIN2|1;FZD1|1;FZD8|1;CUL1|1;NUMB|1;HDAC5|1;DKK1|1;HEY1|1;HEY2|1;DKK4|1;DLL1|1;EPN1|0;LEF1|1;RHOU|0;NKD1|1	7.652314392076983	4.57377967066253	0	0
GO:0009887	animal organ morphogenesis	904	25	JAG1|1;CTNNB1|1;DVL2|1;HDAC2|1;RBPJ|1;JAG2|1;LRP6|0;LRP5|0;MYC|1;NOTCH1|1;NOTCH2|0;PTCH1|1;TCF7|1;WNT1|1;WNT5A|0;WNT6|1;AXIN2|1;FZD1|1;CUL1|1;DKK1|1;HEY1|1;HEY2|1;DLL1|1;LEF1|1;NKD1|1	2.9843365877642762	8.377071173037093	0	0
GO:0010628	positive regulation of gene expression	1818	31	JAG1|1;CTNNB1|1;DVL2|1;KAT2A|1;HDAC2|1;RBPJ|1;LRP6|0;LRP5|0;MYC|1;NOTCH1|1;NOTCH3|0;NOTCH4|1;PPARD|1;PTCH1|1;RNF4|0;TP53|1;WNT1|1;WNT5A|0;WNT6|1;AXIN1|1;AXIN2|1;FZD1|1;FZD8|1;NCOR2|1;MAML1|1;HDAC5|1;DKK1|1;HEY1|1;HEY2|1;DLL1|1;LEF1|1	6.001685748402052	5.165215457715984	0	0
GO:0016055	Wnt signaling pathway	428	20	CTNNB1|1;DVL2|1;RBPJ|1;LRP6|0;LRP5|0;NOTCH1|1;TCF7|1;WNT1|1;WNT5A|0;WNT6|1;AXIN1|1;AXIN2|1;FZD1|1;FZD8|1;CUL1|1;DKK1|1;DKK4|1;LEF1|1;WNT5B|1;NKD1|1	1.4129381189857415	14.154901570888843	0	0
GO:0035239	tube morphogenesis	760	24	JAG1|1;CTNNB1|1;DVL2|1;KAT2A|1;RBPJ|1;LRP6|0;LRP5|0;MYC|1;NOTCH1|1;NOTCH3|0;NOTCH4|1;PTCH1|1;TCF7|1;WNT1|1;WNT5A|0;WNT6|1;FZD1|1;FZD8|1;HDAC5|1;HEY1|1;HEY2|1;DLL1|1;EPN1|0;LEF1|1	2.508955538385896	9.565733482642777	0	0
GO:0045165	cell fate commitment	235	16	JAG1|1;CTNNB1|1;RBPJ|1;JAG2|1;NOTCH1|1;NOTCH2|0;NOTCH3|0;NOTCH4|1;PTCH1|1;WNT1|1;WNT5A|0;WNT6|1;DKK1|1;HEY2|1;DLL1|1;WNT5B|1	0.7757954625272179	20.623992756903576	0	0
GO:0048513	animal organ development	3043	37	JAG1|1;CTNNB1|1;DVL2|1;KAT2A|1;HDAC2|1;RBPJ|1;JAG2|1;LRP6|0;LRP5|0;MYC|1;NOTCH1|1;NOTCH2|0;NOTCH3|0;NOTCH4|1;PPARD|1;PTCH1|1;ADAM17|1;TCF7|1;WNT1|1;WNT5A|0;WNT6|1;AXIN2|1;FZD1|1;FZD8|1;CUL1|1;NUMB|1;MAML1|1;HDAC5|1;DKK1|1;HEY1|1;HEY2|1;DKK4|1;DLL1|1;EPN1|0;LEF1|1;WNT5B|1;NKD1|1	10.045725925405634	3.683158417295362	0	0
