"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0031090"	"organelle membrane"	"53.678"	"510"	"67.852"	"8.237"
"GO:0005789"	"endoplasmic reticulum membrane"	"23.992"	"1635"	"954.378"	"28.369"
"GO:0005759"	"mitochondrial matrix"	"21.431"	"949"	"494.501"	"21.207"
"GO:0070062"	"extracellular exosome"	"21.417"	"5136"	"3977.17"	"54.107"
"GO:0005739"	"mitochondrion"	"17.48"	"2325"	"1670.426"	"37.447"
"GO:0005737"	"cytoplasm"	"14.849"	"6840"	"5962.214"	"59.115"
"GO:1904813"	"ficolin-1-rich granule lumen"	"14.4"	"796"	"501.267"	"20.468"
"GO:0043209"	"myelin sheath"	"13.812"	"1007"	"678.17"	"23.808"
"GO:0072562"	"blood microparticle"	"13.36"	"583"	"351.504"	"17.327"
"GO:0034774"	"secretory granule lumen"	"12.03"	"661"	"432.463"	"18.997"
"GO:0043231"	"intracellular membrane-bounded organelle"	"11.946"	"1037"	"735.27"	"25.257"
"GO:0005576"	"extracellular region"	"10.17"	"1911"	"1550.344"	"35.464"
"GO:0042470"	"melanosome"	"9.185"	"489"	"331.127"	"17.188"
"GO:0005783"	"endoplasmic reticulum"	"8.83"	"1265"	"998.825"	"30.144"
"GO:0005829"	"cytosol"	"8.625"	"8861"	"8326.133"	"62.011"
"GO:0030678"	"mitochondrial ribonuclease P complex"	"8.408"	"22"	"4.675"	"2.06"
"GO:0022624"	"proteasome accessory complex"	"8.146"	"183"	"105.249"	"9.545"
"GO:0034361"	"very-low-density lipoprotein particle"	"8.135"	"37"	"10.728"	"3.23"
"GO:0042627"	"chylomicron"	"7.94"	"34"	"9.644"	"3.067"
"GO:0045254"	"pyruvate dehydrogenase complex"	"7.89"	"65"	"26.426"	"4.889"
"GO:0002199"	"zona pellucida receptor complex"	"7.502"	"138"	"76.482"	"8.201"
"GO:0005615"	"extracellular space"	"7.389"	"1462"	"1226.023"	"31.935"
"GO:0000502"	"proteasome complex"	"7.385"	"327"	"222.224"	"14.189"
"GO:0035578"	"azurophil granule lumen"	"7.251"	"237"	"152.082"	"11.712"
"GO:0017101"	"aminoacyl-tRNA synthetase multienzyme complex"	"7.25"	"65"	"28.204"	"5.075"
"GO:0016020"	"membrane"	"7.135"	"3690"	"3339.527"	"49.122"
"GO:0005811"	"lipid particle"	"7.102"	"169"	"101.191"	"9.548"
"GO:0016234"	"inclusion body"	"7.091"	"212"	"135.473"	"10.792"
"GO:0032432"	"actin filament bundle"	"6.882"	"37"	"13.238"	"3.453"
"GO:0008180"	"COP9 signalosome"	"6.735"	"317"	"221.111"	"14.237"
"GO:0005832"	"chaperonin-containing T-complex"	"6.712"	"127"	"72.708"	"8.089"
"GO:0042567"	"insulin-like growth factor ternary complex"	"6.68"	"11"	"1.847"	"1.37"
"GO:0005777"	"peroxisome"	"6.655"	"141"	"82.169"	"8.84"
"GO:0005778"	"peroxisomal membrane"	"6.653"	"102"	"53.988"	"7.216"
"GO:0031227"	"intrinsic component of endoplasmic reticulum membrane"	"6.631"	"16"	"3.546"	"1.878"
"GO:0044297"	"cell body"	"6.56"	"334"	"239.59"	"14.392"
"GO:0005945"	"6-phosphofructokinase complex"	"6.369"	"64"	"30.506"	"5.259"
"GO:0030135"	"coated vesicle"	"6.306"	"54"	"24.611"	"4.66"
"GO:0005788"	"endoplasmic reticulum lumen"	"6.251"	"341"	"246.661"	"15.093"
"GO:0005782"	"peroxisomal matrix"	"6.23"	"69"	"33.29"	"5.732"
"GO:0034364"	"high-density lipoprotein particle"	"6.101"	"32"	"11.824"	"3.307"
"GO:0008540"	"proteasome regulatory particle, base subcomplex"	"5.873"	"110"	"64.795"	"7.697"
"GO:0031093"	"platelet alpha granule lumen"	"5.821"	"164"	"108.121"	"9.6"
"GO:0062023"	NA	"5.737"	"172"	"112.488"	"10.374"
"GO:0016942"	"insulin-like growth factor binding protein complex"	"5.719"	"9"	"1.652"	"1.285"
"GO:0034366"	"spherical high-density lipoprotein particle"	"5.649"	"18"	"5.454"	"2.221"
"GO:0031597"	"cytosolic proteasome complex"	"5.638"	"76"	"41.503"	"6.118"
"GO:0042645"	"mitochondrial nucleoid"	"5.624"	"134"	"83.701"	"8.943"
"GO:0045252"	"oxoglutarate dehydrogenase complex"	"5.599"	"49"	"23.084"	"4.629"
"GO:0071682"	"endocytic vesicle lumen"	"5.588"	"98"	"58.615"	"7.048"
