"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0004497"	"monooxygenase activity"	"59.328"	"351"	"27.8"	"5.448"
"GO:0005506"	"iron ion binding"	"57.571"	"643"	"93.377"	"9.547"
"GO:0020037"	"heme binding"	"56.727"	"665"	"95.276"	"10.043"
"GO:0008395"	"steroid hydroxylase activity"	"53.61"	"250"	"19.26"	"4.304"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"49.728"	"221"	"17.611"	"4.09"
"GO:0070330"	"aromatase activity"	"49.101"	"236"	"18.931"	"4.421"
"GO:0008392"	"arachidonic acid epoxygenase activity"	"42.02"	"147"	"11.587"	"3.223"
"GO:0019825"	"oxygen binding"	"31.573"	"199"	"28.809"	"5.39"
"GO:0101020"	"estrogen 16-alpha-hydroxylase activity"	"26.689"	"72"	"5.88"	"2.477"
"GO:0034875"	"caffeine oxidase activity"	"25.759"	"54"	"3.879"	"1.946"
"GO:0004364"	"glutathione transferase activity"	"22.686"	"98"	"13.717"	"3.715"
"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"22.297"	"52"	"4.424"	"2.134"
"GO:0016491"	"oxidoreductase activity"	"22.139"	"275"	"80.485"	"8.786"
"GO:0008401"	"retinoic acid 4-hydroxylase activity"	"20.113"	"39"	"3.26"	"1.777"
"GO:0050051"	"leukotriene-B4 20-monooxygenase activity"	"19.529"	"33"	"2.504"	"1.562"
"GO:0030343"	"vitamin D3 25-hydroxylase activity"	"19.257"	"27"	"1.913"	"1.303"
"GO:0018685"	"alkane 1-monooxygenase activity"	"19.1"	"32"	"2.543"	"1.542"
"GO:0016709"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	"18.849"	"57"	"7.175"	"2.643"
"GO:0097258"	"20-hydroxy-leukotriene B4 omega oxidase activity"	"15.986"	"22"	"1.64"	"1.274"
"GO:0097259"	"20-aldehyde-leukotriene B4 20-monooxygenase activity"	"15.986"	"22"	"1.64"	"1.274"
"GO:0004499"	"N,N-dimethylaniline monooxygenase activity"	"15.874"	"17"	"0.985"	"1.009"
"GO:0008106"	"alcohol dehydrogenase (NADP+) activity"	"15.556"	"84"	"18.355"	"4.22"
"GO:0004032"	"alditol:NADP+ 1-oxidoreductase activity"	"15.546"	"84"	"18.439"	"4.217"
"GO:0051082"	"unfolded protein binding"	"15.31"	"799"	"488.953"	"20.251"
"GO:0008396"	"oxysterol 7-alpha-hydroxylase activity"	"15.176"	"21"	"1.717"	"1.271"
"GO:0008389"	"coumarin 7-hydroxylase activity"	"15.023"	"16"	"0.977"	"0.947"
"GO:0050649"	"testosterone 6-beta-hydroxylase activity"	"14.89"	"16"	"1.094"	"1.001"
"GO:0004507"	"steroid 11-beta-monooxygenase activity"	"14.667"	"20"	"1.588"	"1.255"
"GO:0047783"	"corticosterone 18-monooxygenase activity"	"14.667"	"20"	"1.588"	"1.255"
"GO:0070576"	"vitamin D 24-hydroxylase activity"	"13.487"	"26"	"2.841"	"1.717"
"GO:0042623"	"ATPase activity, coupled"	"13.256"	"456"	"263.071"	"14.554"
"GO:0004033"	"aldo-keto reductase (NADP) activity"	"13.069"	"65"	"14.912"	"3.833"
"GO:0031072"	"heat shock protein binding"	"12.939"	"546"	"329.495"	"16.733"
"GO:0030170"	"pyridoxal phosphate binding"	"12.275"	"183"	"79.734"	"8.413"
"GO:0005524"	"ATP binding"	"12.249"	"3257"	"2692.291"	"46.104"
"GO:0004602"	"glutathione peroxidase activity"	"12.137"	"46"	"9.384"	"3.017"
"GO:0044183"	"protein binding involved in protein folding"	"11.738"	"369"	"212.529"	"13.331"
"GO:0047086"	"ketosteroid monooxygenase activity"	"11.439"	"39"	"7.662"	"2.74"
"GO:0001972"	"retinoic acid binding"	"11.37"	"67"	"18.455"	"4.27"
"GO:0016229"	"steroid dehydrogenase activity"	"11.191"	"39"	"7.873"	"2.781"
"GO:0051787"	"misfolded protein binding"	"11.168"	"356"	"206.452"	"13.391"
"GO:0009055"	"electron carrier activity"	"11.06"	"165"	"74.152"	"8.214"
"GO:0043295"	"glutathione binding"	"11.028"	"30"	"5.181"	"2.251"
"GO:0001758"	"retinal dehydrogenase activity"	"10.511"	"81"	"27.753"	"5.066"
"GO:0004509"	"steroid 21-monooxygenase activity"	"10.193"	"11"	"0.807"	"0.878"
"GO:0008398"	"sterol 14-demethylase activity"	"10.191"	"17"	"2.229"	"1.449"
"GO:0008123"	"cholesterol 7-alpha-monooxygenase activity"	"10.122"	"11"	"0.878"	"0.921"
"GO:0052869"	"arachidonic acid omega-hydroxylase activity"	"10.119"	"11"	"0.881"	"0.934"
"GO:0052871"	"alpha-tocopherol omega-hydroxylase activity"	"10.119"	"11"	"0.881"	"0.934"
"GO:0052872"	"tocotrienol omega-hydroxylase activity"	"10.119"	"11"	"0.881"	"0.934"
"GO:0008397"	"sterol 12-alpha-hydroxylase activity"	"10.102"	"11"	"0.898"	"0.921"
"GO:0033778"	"7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase activity"	"10.102"	"11"	"0.898"	"0.921"
"GO:0004464"	"leukotriene-C4 synthase activity"	"9.641"	"11"	"1.056"	"1.031"
"GO:0005525"	"GTP binding"	"9.589"	"966"	"727.349"	"24.887"
"GO:0003857"	"3-hydroxyacyl-CoA dehydrogenase activity"	"9.557"	"43"	"11.701"	"3.275"
"GO:0004029"	"aldehyde dehydrogenase (NAD) activity"	"9.527"	"107"	"45.041"	"6.503"
"GO:0033781"	"cholesterol 24-hydroxylase activity"	"9.219"	"10"	"0.781"	"0.904"
"GO:0061896"	NA	"9.214"	"10"	"0.786"	"0.885"
"GO:0061897"	NA	"9.214"	"10"	"0.786"	"0.885"
"GO:0061898"	NA	"9.214"	"10"	"0.786"	"0.885"
"GO:0061899"	NA	"9.214"	"10"	"0.786"	"0.885"
"GO:0018585"	"fluorene oxygenase activity"	"9.208"	"10"	"0.792"	"0.902"
"GO:0008387"	"steroid 7-alpha-hydroxylase activity"	"9.185"	"10"	"0.815"	"0.873"
"GO:0008404"	"arachidonic acid 14,15-epoxygenase activity"	"9.169"	"10"	"0.831"	"0.925"
"GO:0008405"	"arachidonic acid 11,12-epoxygenase activity"	"9.169"	"10"	"0.831"	"0.925"
"GO:0071614"	"linoleic acid epoxygenase activity"	"9.169"	"10"	"0.831"	"0.925"
"GO:0032052"	"bile acid binding"	"9.168"	"35"	"9.108"	"2.824"
"GO:0008386"	"cholesterol monooxygenase (side-chain-cleaving) activity"	"9.157"	"10"	"0.843"	"0.897"
"GO:0005503"	"all-trans retinal binding"	"9.145"	"10"	"0.855"	"0.908"
"GO:0016887"	"ATPase activity"	"9.145"	"757"	"553.849"	"22.214"
"GO:0008403"	"25-hydroxycholecalciferol-24-hydroxylase activity"	"9.144"	"10"	"0.856"	"0.917"
"GO:0030342"	"1-alpha,25-dihydroxyvitamin D3 24-hydroxylase activity"	"9.144"	"10"	"0.856"	"0.917"
"GO:0004498"	"calcidiol 1-monooxygenase activity"	"9.139"	"10"	"0.861"	"0.924"
"GO:0016208"	"AMP binding"	"9.139"	"114"	"51.027"	"6.89"
"GO:0016655"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	"9.061"	"35"	"8.83"	"2.888"
"GO:0004508"	"steroid 17-alpha-monooxygenase activity"	"9.016"	"10"	"0.984"	"0.985"
"GO:0047442"	"17-alpha-hydroxyprogesterone aldolase activity"	"9.016"	"10"	"0.984"	"0.985"
"GO:0047718"	"indanol dehydrogenase activity"	"8.79"	"24"	"5.226"	"2.136"
"GO:0050660"	"flavin adenine dinucleotide binding"	"8.781"	"98"	"42.373"	"6.335"
"GO:0008709"	"cholate 7-alpha-dehydrogenase activity"	"8.736"	"20"	"3.707"	"1.865"
"GO:0030283"	"testosterone dehydrogenase [NAD(P)] activity"	"8.736"	"20"	"3.707"	"1.865"
"GO:0047015"	"3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity"	"8.736"	"20"	"3.707"	"1.865"
"GO:0051287"	"NAD binding"	"8.696"	"198"	"109.68"	"10.156"
"GO:0005504"	"fatty acid binding"	"8.595"	"121"	"58.452"	"7.278"
"GO:0051087"	"chaperone binding"	"8.484"	"448"	"308.422"	"16.452"
"GO:0018636"	"phenanthrene 9,10-monooxygenase activity"	"8.386"	"20"	"3.983"	"1.91"
"GO:0047115"	"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity"	"8.375"	"20"	"3.999"	"1.911"
"GO:0055131"	"C3HC4-type RING finger domain binding"	"8.271"	"177"	"100.234"	"9.281"
"GO:0016597"	"amino acid binding"	"8.235"	"81"	"34.892"	"5.599"
"GO:0032451"	"demethylase activity"	"8.203"	"29"	"7.761"	"2.589"
"GO:0031406"	"carboxylic acid binding"	"8.113"	"33"	"9.349"	"2.915"
"GO:0008194"	"UDP-glycosyltransferase activity"	"7.922"	"27"	"6.777"	"2.553"
"GO:1904768"	"all-trans-retinol binding"	"7.902"	"10"	"1.239"	"1.109"
"GO:0034604"	"pyruvate dehydrogenase (NAD+) activity"	"7.89"	"65"	"26.426"	"4.889"
"GO:0005200"	"structural constituent of cytoskeleton"	"7.855"	"514"	"372.545"	"18.009"
"GO:0000049"	"tRNA binding"	"7.808"	"146"	"80.751"	"8.357"
"GO:0003988"	"acetyl-CoA C-acyltransferase activity"	"7.663"	"29"	"8.24"	"2.709"
"GO:0003987"	"acetate-CoA ligase activity"	"7.567"	"27"	"7.232"	"2.612"
"GO:0050661"	"NADP binding"	"7.523"	"83"	"37.832"	"6.004"
"GO:0005536"	"glucose binding"	"7.454"	"81"	"37.81"	"5.794"
"GO:0003985"	"acetyl-CoA C-acetyltransferase activity"	"7.382"	"29"	"8.625"	"2.76"
"GO:0004427"	"inorganic diphosphatase activity"	"7.256"	"33"	"11.025"	"3.028"
"GO:0019899"	"enzyme binding"	"7.25"	"1279"	"1063.069"	"29.784"
"GO:0042803"	"protein homodimerization activity"	"7.158"	"1268"	"1054.74"	"29.792"
"GO:0060230"	"lipoprotein lipase activator activity"	"7.111"	"8"	"0.889"	"0.954"
"GO:0002161"	"aminoacyl-tRNA editing activity"	"7.074"	"51"	"20.533"	"4.307"
"GO:0005496"	"steroid binding"	"7.05"	"90"	"45.2"	"6.355"
"GO:0034185"	"apolipoprotein binding"	"6.931"	"63"	"28.465"	"4.983"
"GO:0004128"	"cytochrome-b5 reductase activity, acting on NAD(P)H"	"6.92"	"19"	"4.54"	"2.09"
"GO:0047023"	"androsterone dehydrogenase activity"	"6.86"	"12"	"2.187"	"1.43"
"GO:0003924"	"GTPase activity"	"6.826"	"827"	"662.698"	"24.07"
"GO:0008184"	"glycogen phosphorylase activity"	"6.806"	"38"	"13.918"	"3.538"
"GO:0102250"	NA	"6.806"	"38"	"13.918"	"3.538"
"GO:0102499"	NA	"6.806"	"38"	"13.918"	"3.538"
"GO:0015643"	"toxic substance binding"	"6.801"	"28"	"8.6"	"2.852"
"GO:0097718"	"disordered domain specific binding"	"6.735"	"311"	"217.104"	"13.941"
"GO:0004802"	"transketolase activity"	"6.682"	"20"	"5.204"	"2.214"
"GO:0004360"	"glutamine-fructose-6-phosphate transaminase (isomerizing) activity"	"6.646"	"38"	"14.121"	"3.593"
"GO:0097367"	"carbohydrate derivative binding"	"6.646"	"38"	"14.121"	"3.593"
"GO:0016212"	"kynurenine-oxoglutarate transaminase activity"	"6.635"	"22"	"6.116"	"2.394"
"GO:0045550"	"geranylgeranyl reductase activity"	"6.592"	"15"	"3.388"	"1.761"
"GO:0031625"	"ubiquitin protein ligase binding"	"6.585"	"1483"	"1279.312"	"30.931"
"GO:0023026"	"MHC class II protein complex binding"	"6.434"	"173"	"111.808"	"9.511"
"GO:0015020"	"glucuronosyltransferase activity"	"6.42"	"25"	"7.681"	"2.698"
"GO:0003872"	"6-phosphofructokinase activity"	"6.369"	"64"	"30.506"	"5.259"
"GO:0031994"	"insulin-like growth factor I binding"	"6.328"	"27"	"8.913"	"2.858"
"GO:0047006"	"17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity"	"6.309"	"10"	"1.882"	"1.287"
"GO:0008035"	"high-density lipoprotein particle binding"	"6.279"	"47"	"20.108"	"4.283"
"GO:0004030"	"aldehyde dehydrogenase [NAD(P)+] activity"	"6.253"	"43"	"17.816"	"4.027"
"GO:0015125"	"bile acid transmembrane transporter activity"	"6.252"	"11"	"2.11"	"1.422"
"GO:0070095"	"fructose-6-phosphate binding"	"6.236"	"65"	"31.611"	"5.354"
"GO:0004084"	"branched-chain-amino-acid transaminase activity"	"6.199"	"17"	"4.286"	"2.051"
"GO:0052654"	"L-leucine transaminase activity"	"6.199"	"17"	"4.286"	"2.051"
"GO:0052655"	"L-valine transaminase activity"	"6.199"	"17"	"4.286"	"2.051"
"GO:0052656"	"L-isoleucine transaminase activity"	"6.199"	"17"	"4.286"	"2.051"
"GO:0000287"	"magnesium ion binding"	"6.174"	"393"	"290.208"	"16.649"
"GO:0016679"	"oxidoreductase activity, acting on diphenols and related substances as donors"	"6.12"	"10"	"1.747"	"1.349"
"GO:0016711"	"flavonoid 3'-monooxygenase activity"	"6.12"	"10"	"1.747"	"1.349"
"GO:0047743"	"chlordecone reductase activity"	"6.11"	"10"	"1.858"	"1.333"
"GO:0047787"	"delta4-3-oxosteroid 5beta-reductase activity"	"6.09"	"11"	"2.15"	"1.453"
"GO:0060228"	"phosphatidylcholine-sterol O-acyltransferase activator activity"	"6.051"	"17"	"4.49"	"2.067"
"GO:0004161"	"dimethylallyltranstransferase activity"	"6.049"	"14"	"3.34"	"1.762"
"GO:0004337"	"geranyltranstransferase activity"	"6.049"	"14"	"3.34"	"1.762"
"GO:0048029"	"monosaccharide binding"	"6.021"	"87"	"47.283"	"6.596"
"GO:0045174"	"glutathione dehydrogenase (ascorbate) activity"	"5.987"	"12"	"2.666"	"1.559"
"GO:0050610"	"methylarsonate reductase activity"	"5.987"	"12"	"2.666"	"1.559"
"GO:0008379"	"thioredoxin peroxidase activity"	"5.979"	"51"	"23.987"	"4.518"
"GO:0047536"	"2-aminoadipate transaminase activity"	"5.922"	"11"	"2.459"	"1.442"
"GO:0004795"	"threonine synthase activity"	"5.91"	"11"	"2.185"	"1.492"
"GO:0015037"	"peptide disulfide oxidoreductase activity"	"5.842"	"51"	"23.969"	"4.627"
"GO:0004252"	"serine-type endopeptidase activity"	"5.829"	"120"	"71.83"	"8.264"
"GO:0004739"	"pyruvate dehydrogenase (acetyl-transferring) activity"	"5.815"	"31"	"12.05"	"3.259"
"GO:0005102"	"receptor binding"	"5.79"	"591"	"469.072"	"21.058"
"GO:0043878"	"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity"	"5.785"	"46"	"20.835"	"4.35"
"GO:0003756"	"protein disulfide isomerase activity"	"5.74"	"56"	"27.378"	"4.986"
"GO:0004069"	"L-aspartate:2-oxoglutarate aminotransferase activity"	"5.728"	"19"	"5.644"	"2.332"
"GO:0061608"	"nuclear import signal receptor activity"	"5.72"	"52"	"24.738"	"4.766"
"GO:0047042"	"androsterone dehydrogenase (B-specific) activity"	"5.628"	"9"	"1.838"	"1.273"
"GO:0004340"	"glucokinase activity"	"5.605"	"41"	"18.399"	"4.032"
"GO:0008865"	"fructokinase activity"	"5.605"	"41"	"18.399"	"4.032"
"GO:0019158"	"mannokinase activity"	"5.605"	"41"	"18.399"	"4.032"
"GO:0070524"	"11-beta-hydroxysteroid dehydrogenase (NADP+) activity"	"5.502"	"6"	"0.498"	"0.68"
"GO:0016830"	"carbon-carbon lyase activity"	"5.486"	"13"	"3.309"	"1.767"
