"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0004497"	"monooxygenase activity"	"59.328"	"9.27734628194895E-12"
"GO:0005506"	"iron ion binding"	"57.571"	"6.119250694113745E-8"
"GO:0020037"	"heme binding"	"56.727"	"3.956632070311851E-11"
"GO:0008395"	"steroid hydroxylase activity"	"53.61"	"1.6157470192101618E-6"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"49.728"	"1.6339196104694716E-5"
"GO:0070330"	"aromatase activity"	"49.101"	"2.2279956869440912E-4"
"GO:0008392"	"arachidonic acid epoxygenase activity"	"42.02"	"5.779685433318975E-4"
"GO:0019825"	"oxygen binding"	"31.573"	"1.9778328170831475E-5"
"GO:0101020"	"estrogen 16-alpha-hydroxylase activity"	"26.689"	NA
"GO:0034875"	"caffeine oxidase activity"	"25.759"	NA
