"GO.ID"	"GO.Term"	"zscore"
"GO:0005782"	"peroxisomal matrix"	"11.533"
"GO:1990777"	"lipoprotein particle"	"10.674"
"GO:0000835"	"ER ubiquitin ligase complex"	"10.321"
"GO:0070062"	"extracellular exosome"	"10.104"
"GO:0031090"	"organelle membrane"	"9.995"
"GO:0071665"	"gamma-catenin-TCF7L2 complex"	"9.707"
"GO:0036019"	"endolysosome"	"9.57"
"GO:0005777"	"peroxisome"	"8.491"
"GO:0005829"	"cytosol"	"7.51"
"GO:0072562"	"blood microparticle"	"7.502"
"GO:0005789"	"endoplasmic reticulum membrane"	"7.354"
"GO:0002169"	"3-methylcrotonyl-CoA carboxylase complex, mitochondrial"	"6.762"
"GO:1905202"	"methylcrotonoyl-CoA carboxylase complex"	"6.762"
"GO:0017109"	"glutamate-cysteine ligase complex"	"6.746"
"GO:0005759"	"mitochondrial matrix"	"6.496"
"GO:0031093"	"platelet alpha granule lumen"	"6.464"
"GO:0005739"	"mitochondrion"	"6.392"
"GO:0071062"	"alphav-beta3 integrin-vitronectin complex"	"5.756"
"GO:0034365"	"discoidal high-density lipoprotein particle"	"5.647"
"GO:1905103"	"integral component of lysosomal membrane"	"5.647"
"GO:0016942"	"insulin-like growth factor binding protein complex"	"5.572"
"GO:0097447"	"dendritic tree"	"5.482"
"GO:0048237"	"rough endoplasmic reticulum lumen"	"5.465"
"GO:0043231"	"intracellular membrane-bounded organelle"	"5.321"
"GO:0005615"	"extracellular space"	"4.948"
"GO:0005576"	"extracellular region"	"4.886"
"GO:0071953"	"elastic fiber"	"4.849"
"GO:0031233"	"intrinsic component of external side of plasma membrane"	"4.788"
"GO:0044218"	"other organism cell membrane"	"4.735"
"GO:0042567"	"insulin-like growth factor ternary complex"	"4.723"
"GO:0035867"	"alphav-beta3 integrin-IGF-1-IGF1R complex"	"4.65"
"GO:0097470"	"ribbon synapse"	"4.368"
"GO:0034363"	"intermediate-density lipoprotein particle"	"4.327"
"GO:0030124"	"AP-4 adaptor complex"	"4.287"
"GO:0016020"	"membrane"	"4.24"
"GO:1990111"	"spermatoproteasome complex"	"4.24"
"GO:0070552"	"BRISC complex"	"4.231"
"GO:0097449"	"astrocyte projection"	"4.227"
"GO:0097413"	"Lewy body"	"4.149"
"GO:0046581"	"intercellular canaliculus"	"3.802"
"GO:0044297"	"cell body"	"3.783"
"GO:0045179"	"apical cortex"	"3.768"
"GO:0034364"	"high-density lipoprotein particle"	"3.717"
"GO:0031265"	"CD95 death-inducing signaling complex"	"3.612"
"GO:0031227"	"intrinsic component of endoplasmic reticulum membrane"	"3.564"
"GO:0097550"	"transcriptional preinitiation complex"	"3.458"
"GO:0030868"	"smooth endoplasmic reticulum membrane"	"3.453"
"GO:0031264"	"death-inducing signaling complex"	"3.431"
"GO:0031526"	"brush border membrane"	"3.385"
"GO:0005915"	"zonula adherens"	"3.265"
"GO:0032590"	"dendrite membrane"	"3.225"
"GO:0030056"	"hemidesmosome"	"3.204"
"GO:0031232"	"extrinsic component of external side of plasma membrane"	"3.19"
"GO:0005778"	"peroxisomal membrane"	"3.185"
"GO:0101031"	NA	"3.116"
"GO:0012506"	"vesicle membrane"	"3.112"
"GO:0061202"	"clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane"	"3.079"
"GO:0005783"	"endoplasmic reticulum"	"3.069"
"GO:0031209"	"SCAR complex"	"3.059"
"GO:0031966"	"mitochondrial membrane"	"3.059"
"GO:0005791"	"rough endoplasmic reticulum"	"3.029"
"GO:0005577"	"fibrinogen complex"	"2.968"
"GO:0005641"	"nuclear envelope lumen"	"2.965"
"GO:0031095"	"platelet dense tubular network membrane"	"2.952"
"GO:0005916"	"fascia adherens"	"2.939"
"GO:0030867"	"rough endoplasmic reticulum membrane"	"2.86"
"GO:0030176"	"integral component of endoplasmic reticulum membrane"	"2.859"
"GO:0031256"	"leading edge membrane"	"2.859"
"GO:0043025"	"neuronal cell body"	"2.819"
"GO:0005742"	"mitochondrial outer membrane translocase complex"	"2.816"
"GO:0030131"	"clathrin adaptor complex"	"2.693"
"GO:0019774"	"proteasome core complex, beta-subunit complex"	"2.667"
"GO:0005741"	"mitochondrial outer membrane"	"2.581"
"GO:0005758"	"mitochondrial intermembrane space"	"2.567"
"GO:0016529"	"sarcoplasmic reticulum"	"2.553"
"GO:1904813"	"ficolin-1-rich granule lumen"	"2.49"
"GO:0017101"	"aminoacyl-tRNA synthetase multienzyme complex"	"2.464"
"GO:0033162"	"melanosome membrane"	"2.448"
"GO:0032591"	"dendritic spine membrane"	"2.427"
"GO:0042645"	"mitochondrial nucleoid"	"2.424"
"GO:0060077"	"inhibitory synapse"	"2.386"
"GO:0042627"	"chylomicron"	"2.38"
"GO:0031932"	"TORC2 complex"	"2.374"
"GO:0043083"	"synaptic cleft"	"2.265"
"GO:0031965"	"nuclear membrane"	"2.235"
"GO:0031089"	"platelet dense granule lumen"	"2.234"
"GO:0034362"	"low-density lipoprotein particle"	"2.201"
"GO:0071682"	"endocytic vesicle lumen"	"2.191"
"GO:0043005"	"neuron projection"	"2.134"
