"GO.ID"	"GO.Term"	"zscore"
"GO:0005504"	"fatty acid binding"	"15.867"
"GO:0004031"	"aldehyde oxidase activity"	"14.47"
"GO:0003997"	"acyl-CoA oxidase activity"	"13.92"
"GO:0004053"	"arginase activity"	"13.577"
"GO:0004854"	"xanthine dehydrogenase activity"	"13.577"
"GO:0016655"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	"13.557"
"GO:0004497"	"monooxygenase activity"	"13.527"
"GO:0016597"	"amino acid binding"	"13.34"
"GO:0020037"	"heme binding"	"12.624"
"GO:0050660"	"flavin adenine dinucleotide binding"	"12.386"
"GO:0008392"	"arachidonic acid epoxygenase activity"	"12.22"
"GO:0016491"	"oxidoreductase activity"	"11.332"
"GO:0004022"	"alcohol dehydrogenase (NAD) activity"	"11.085"
"GO:0016679"	"oxidoreductase activity, acting on diphenols and related substances as donors"	"11.065"
"GO:0016711"	"flavonoid 3'-monooxygenase activity"	"11.065"
"GO:0050661"	"NADP binding"	"11.045"
"GO:0030429"	"kynureninase activity"	"10.997"
"GO:0061981"	NA	"10.997"
"GO:0018636"	"phenanthrene 9,10-monooxygenase activity"	"10.958"
"GO:0034899"	"trimethylamine monooxygenase activity"	"10.93"
"GO:0004736"	"pyruvate carboxylase activity"	"10.864"
"GO:0016402"	"pristanoyl-CoA oxidase activity"	"10.825"
"GO:0030170"	"pyridoxal phosphate binding"	"10.703"
"GO:0046911"	"metal chelating activity"	"10.674"
"GO:0102008"	"cytosolic dipeptidase activity"	"10.674"
"GO:0103046"	NA	"10.674"
"GO:0015923"	"mannosidase activity"	"10.552"
"GO:0003934"	"GTP cyclohydrolase I activity"	"10.493"
"GO:0017172"	"cysteine dioxygenase activity"	"10.435"
"GO:0009055"	"electron carrier activity"	"10.362"
"GO:0031775"	"lutropin-choriogonadotropic hormone receptor binding"	"10.265"
"GO:0086039"	"calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential"	"10.265"
"GO:0033981"	"D-dopachrome decarboxylase activity"	"10.157"
"GO:0047021"	"15-hydroxyprostaglandin dehydrogenase (NADP+) activity"	"10.157"
"GO:0050221"	"prostaglandin-E2 9-reductase activity"	"10.157"
