"HMK.set.name","List.num","Gene.num","Vertice.num","Edge.num","MaxD","MaxD.gene","MaxB","MaxB.gene","MaxC","MaxC.gene","PCC.DB","PCC.DC","PCC.BC","Clust.Coeff.Global","Clust.Coeff.Average","Diameter","Mean.Distance","Max.Cliq.num","Max.Cliq.D","KEGG.z.max","KEGG.z.mean","KEGG.z.sd","BP.z.max","BP.z.mean","BP.z.sd","CC.z.max","CC.z.mean","CC.z.sd","MF.z.max","MF.z.mean","MF.z.sd"
"HALLMARK_ADIPOGENESIS","200","190","171","445","159","UBC","13419.4026883636","UBC","0.00549450549450549","UBC","0.923699657372863","0.67981953738777","0.647076529920659","0.123372948500283","0.598413587843785","5","2.10182318541452","5","10","23.029","16.8702","3.75516458582932","18.434","14.8708","2.07857295063491","26.675","18.1068","5.14461111369082","18.01","13.1958","2.29810075207043"
"HALLMARK_ALLOGRAFT_REJECTION","200","199","174","616","40","LCK","3301.17225870424","EGFR","0.0005720823798627","EGFR","0.702592437687848","0.348727505392859","0.215002445999783","0.398335152838428","0.531477753535436","9","3.33849073128011","2","11","52.186","45.9696","4.00322426162823","55.89","43.912","8.24988173652609","50.323","37.3735","9.7531522454139","46.862","30.5589","6.61592569234772"
"HALLMARK_ANDROGEN_RESPONSE","101","97","49","55","10","UBE2I","480.65","UBE2I","0.00171526586620926","UBE2I","0.899791734487159","0.408847286386241","0.363505922503491","0.132352941176471","0.174444444444444","10","3.92923898531375","6","3","10.325","7.917","0.955558242890278","22.327","16.1657","4.34210829615701","9.221","8.0477","0.846245965032232","22.327","11.3797","4.22875553141163"
"HALLMARK_ANGIOGENESIS","36","35","20","25","6","APP,VEGFA","105.333333333333","APP","0.025","APP,PTK2","0.857319424761635","0.831863371045283","0.760855506429606","0.223880597014925","0.311111111111111","7","3.15263157894737","5","3","21.951","18.4531","2.61199465925947","32.793","22.1948","5.3890440463345","23.62","17.9323","3.43227932203142","24.619","16.5499","3.07558249044885"
"HALLMARK_APICAL_JUNCTION","200","194","158","570","32","ACTB,EGFR","1551.85889715171","SRC","0.000634115409004439","EGFR","0.771756888044823","0.372129589325733","0.236184568265902","0.298602794411178","0.392161709653845","8","3.05027283299043","7","7","43.193","32.4975","5.22161199567081","36.113","30.1407","2.6517881199925","40.408","27.7942","5.63580087575059","38.653","29.6905","5.87936132680337"
"HALLMARK_APICAL_SURFACE","44","42","17","15","5","APP,LYN","38","APP","0.0111111111111111","EPHB4","0.949991250309318","0.477740583651569","0.481622979265524","0.111111111111111","0.153333333333333","5","2.65","1","3","12.106","7.7736","2.00592135660621","25.807","15.5882","4.85269505418266","18.221","11.5096","4.12625364653648","31.591","15.8711","6.65924943134652"
"HALLMARK_APOPTOSIS","161","159","138","467","42","JUN","2435.19354630902","JUN","0.00395256916996047","JUN","0.869641924042776","0.821297048908733","0.626076422226486","0.21530369867662","0.405644514983189","6","2.75922987411404","1","7","34.192","25.6423","4.36471554501423","31.591","25.4456","4.8858610113492","22.327","16.3057","3.34455282013406","31.591","25.5468","6.07254200479503"
"HALLMARK_BILE_ACID_METABOLISM","112","111","59","89","10","PEX19","631.5","ABCD3,PHYH","0.00185873605947955","ABCD3","0.519454433133632","0.33089599423043","0.359542814081064","0.434083601286174","0.485056136275649","12","5.44765342960289","1","6","27.057","20.5617","4.47074137650072","40.115","33.2094","4.27443670622874","43.054","19.8752","10.1396812112939","52.303","40.0637","9.86498080248174"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","74","73","32","46","10","ACTG1","132.1","ACTG1","0.00418410041841004","ACTG1","0.774452016120194","0.493041710340309","0.352455061496898","0.379120879120879","0.509771825396825","7","2.80182926829268","1","5","16.843","8.7126","2.97084033005254","12.865","10.922","1.35537997952194","11.525","9.7808","1.31972562805052","14.1","11.2374","1.37998238314037"
"HALLMARK_COAGULATION","138","136","102","260","28","HNF4A","1256.16368031107","FN1","0.00165562913907285","FN1","0.9001922964133","0.397843553790105","0.25628318731036","0.203274215552524","0.415334816075557","7","2.98233438485804","3","5","62.947","26.4037","15.0472138805384","47.73","37.8656","6.27346782002497","45.398","34.0414","8.02413940279925","53.65","26.597","10.6259573790893"
"HALLMARK_COMPLEMENT","200","193","145","356","27","GRB2,HNF4A","2152.22035540566","HNF4A","0.00165016501650165","FN1","0.87834355866517","0.549133801658524","0.426060175573067","0.241641337386018","0.343780820088675","8","3.29485916880047","2","7","36.839","24.1732","4.6855738365517","40.962","29.4882","6.96242023373418","43.591","25.7912","8.08706923702552","36.086","21.4339","6.49005213897906"
"HALLMARK_DNA_REPAIR","150","140","113","1276","63","POLR2E,POLR2H","630.104280177707","TP53","0.00574712643678161","POLR2H","0.547339862634007","0.945032745181616","0.523165919093225","0.638938504720592","0.661820249311488","6","2.25173830594185","1","31","77.438","48.2933","13.37521472351","83.368","67.6848","10.0173986288302","58.951","45.0925","8.04440110677399","48.788","39.483","6.00000255555501"
"HALLMARK_E2F_TARGETS","200","196","191","1713","73","XPO1","1699.50882088466","EED","0.00314465408805031","XPO1","0.81980677613185","0.891176695115564","0.63800103930918","0.374690008633834","0.480958749507147","6","2.28911545880408","2","22","36.701","25.5804","8.01969050663567","47.567","32.4203","6.7858157464261","45.133","28.2949","6.76830798567034","28.487","21.4995","2.71893967282182"
