"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"45.207"	"106"	"5.515"	"2.223"
"GO:0000139"	"Golgi membrane"	"42.269"	"275"	"35.645"	"5.663"
"GO:0030133"	"transport vesicle"	"40.657"	"115"	"7.365"	"2.647"
"GO:0030126"	"COPI vesicle coat"	"29.819"	"52"	"2.849"	"1.648"
"GO:0008091"	"spectrin"	"27.015"	"28"	"0.985"	"0.967"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"25.73"	"68"	"6.38"	"2.395"
"GO:0005801"	"cis-Golgi network"	"25.423"	"45"	"2.966"	"1.653"
"GO:0005789"	"endoplasmic reticulum membrane"	"23.557"	"205"	"48.518"	"6.643"
"GO:0030134"	"ER to Golgi transport vesicle"	"23.159"	"49"	"4.219"	"1.934"
"GO:0005794"	"Golgi apparatus"	"22.633"	"210"	"53.878"	"6.898"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"22.243"	"62"	"6.285"	"2.505"
"GO:0030008"	"TRAPP complex"	"19.391"	"20"	"0.609"	"0.788"
"GO:0014731"	"spectrin-associated cytoskeleton"	"19.32"	"20"	"0.68"	"0.791"
"GO:0017119"	"Golgi transport complex"	"16.243"	"20"	"1.349"	"1.148"
"GO:0043194"	"axon initial segment"	"15.267"	"16"	"0.733"	"0.837"
"GO:0005783"	"endoplasmic reticulum"	"13.845"	"153"	"54.655"	"7.103"
"GO:0005802"	"trans-Golgi network"	"12.678"	"44"	"8.873"	"2.771"
"GO:0031201"	"SNARE complex"	"12.603"	"27"	"3.774"	"1.843"
"GO:0030137"	"COPI-coated vesicle"	"11.886"	"15"	"1.39"	"1.145"
"GO:0032580"	"Golgi cisterna membrane"	"11.156"	"19"	"2.437"	"1.485"
"GO:0016021"	"integral component of membrane"	"10.944"	"146"	"60.878"	"7.778"
"GO:0030127"	"COPII vesicle coat"	"10.723"	"20"	"2.714"	"1.612"
"GO:0005795"	"Golgi stack"	"10.666"	"16"	"1.734"	"1.338"
"GO:0030286"	"dynein complex"	"9.853"	"17"	"2.345"	"1.487"
"GO:0032588"	"trans-Golgi network membrane"	"9.364"	"32"	"7.532"	"2.613"
"GO:0005868"	"cytoplasmic dynein complex"	"9.172"	"17"	"2.652"	"1.564"
"GO:0042589"	"zymogen granule membrane"	"8.965"	"10"	"1.035"	"0.966"
"GO:0016529"	"sarcoplasmic reticulum"	"7.984"	"11"	"1.495"	"1.191"
"GO:0031235"	"intrinsic component of the cytoplasmic side of the plasma membrane"	"7.755"	"8"	"0.245"	"0.513"
"GO:0005871"	"kinesin complex"	"7.558"	"21"	"4.609"	"2.169"
"GO:0005869"	"dynactin complex"	"7.549"	"10"	"1.261"	"1.158"
"GO:0031362"	"anchored component of external side of plasma membrane"	"7.518"	"8"	"0.482"	"0.684"
"GO:0030663"	"COPI-coated vesicle membrane"	"7.491"	"8"	"0.509"	"0.687"
"GO:0033268"	"node of Ranvier"	"7.435"	"8"	"0.565"	"0.725"
"GO:0030673"	"axolemma"	"7.03"	"8"	"0.97"	"0.964"
"GO:0016020"	"membrane"	"6.848"	"275"	"191.771"	"12.154"
"GO:0097542"	"ciliary tip"	"6.603"	"13"	"2.749"	"1.553"
"GO:0030173"	"integral component of Golgi membrane"	"6.535"	"7"	"0.465"	"0.678"
"GO:0005874"	"microtubule"	"6.17"	"73"	"37.188"	"5.804"
"GO:0055038"	"recycling endosome membrane"	"6.148"	"18"	"4.776"	"2.151"
"GO:0014704"	"intercalated disc"	"6.049"	"15"	"3.621"	"1.881"
"GO:0031430"	"M band"	"6.021"	"12"	"2.697"	"1.545"
"GO:0030315"	"T-tubule"	"5.86"	"13"	"3.02"	"1.703"
"GO:0030140"	"trans-Golgi network transport vesicle"	"5.792"	"10"	"2.026"	"1.377"
"GO:0070971"	"endoplasmic reticulum exit site"	"5.636"	"10"	"2.075"	"1.406"
"GO:0031985"	"Golgi cisterna"	"5.423"	"6"	"0.577"	"0.746"
"GO:0005829"	"cytosol"	"5.261"	"553"	"474.412"	"14.939"
"GO:0055037"	"recycling endosome"	"5.168"	"23"	"8.541"	"2.798"
"GO:0070821"	"tertiary granule membrane"	"4.994"	"12"	"3.219"	"1.758"
"GO:0016323"	"basolateral plasma membrane"	"4.98"	"27"	"11.226"	"3.167"
"GO:0043034"	"costamere"	"4.955"	"8"	"1.709"	"1.27"
"GO:0030670"	"phagocytic vesicle membrane"	"4.94"	"17"	"5.647"	"2.298"
"GO:0005764"	"lysosome"	"4.934"	"31"	"13.387"	"3.57"
"GO:1990071"	"TRAPPII protein complex"	"4.885"	"5"	"0.115"	"0.343"
"GO:0034045"	"pre-autophagosomal structure membrane"	"4.849"	"7"	"1.326"	"1.17"
"GO:0033106"	"cis-Golgi network membrane"	"4.831"	"5"	"0.169"	"0.427"
"GO:0098993"	"anchored component of synaptic vesicle membrane"	"4.816"	"7"	"1.398"	"1.163"
"GO:0030667"	"secretory granule membrane"	"4.685"	"18"	"6.278"	"2.502"
"GO:0072562"	"blood microparticle"	"4.453"	"39"	"20.134"	"4.237"
"GO:0005768"	"endosome"	"4.417"	"45"	"24.32"	"4.682"
"GO:0005788"	"endoplasmic reticulum lumen"	"4.39"	"28"	"12.902"	"3.44"
"GO:0005798"	"Golgi-associated vesicle"	"4.37"	"7"	"1.582"	"1.24"
"GO:0031982"	"vesicle"	"4.334"	"43"	"23.454"	"4.51"
"GO:0005929"	"cilium"	"4.263"	"21"	"9.346"	"2.733"
"GO:0030136"	"clathrin-coated vesicle"	"4.257"	"15"	"5.468"	"2.239"
"GO:0032281"	"AMPA glutamate receptor complex"	"4.182"	"6"	"1.362"	"1.109"
"GO:0042383"	"sarcolemma"	"4.159"	"14"	"5.108"	"2.138"
"GO:0048471"	"perinuclear region of cytoplasm"	"4.083"	"92"	"61.219"	"7.538"
"GO:0005930"	"axoneme"	"4.071"	"16"	"6.278"	"2.388"
"GO:0008021"	"synaptic vesicle"	"4.016"	"19"	"7.832"	"2.781"
"GO:1903561"	"extracellular vesicle"	"3.992"	"16"	"6.333"	"2.422"
"GO:0043231"	"intracellular membrane-bounded organelle"	"3.891"	"65"	"40.445"	"6.311"
"GO:0005968"	"Rab-protein geranylgeranyltransferase complex"	"3.889"	"4"	"0.111"	"0.336"
"GO:0099189"	NA	"3.858"	"4"	"0.142"	"0.374"
"GO:0097440"	"apical dendrite"	"3.842"	"5"	"1.089"	"1.018"
"GO:0043203"	"axon hillock"	"3.73"	"5"	"1.056"	"1.057"
"GO:0032437"	"cuticular plate"	"3.728"	"4"	"0.272"	"0.508"
"GO:0030130"	"clathrin coat of trans-Golgi network vesicle"	"3.723"	"7"	"1.992"	"1.345"
"GO:0031904"	"endosome lumen"	"3.682"	"8"	"2.569"	"1.475"
"GO:0045171"	"intercellular bridge"	"3.661"	"13"	"4.841"	"2.229"
"GO:0098688"	NA	"3.646"	"4"	"0.354"	"0.586"
"GO:0033270"	"paranode region of axon"	"3.62"	"4"	"0.38"	"0.605"
"GO:0101003"	"ficolin-1-rich granule membrane"	"3.592"	"11"	"3.965"	"1.958"
"GO:0005952"	"cAMP-dependent protein kinase complex"	"3.532"	"7"	"2.122"	"1.381"
"GO:0045211"	"postsynaptic membrane"	"3.477"	"19"	"8.856"	"2.917"
"GO:0030659"	"cytoplasmic vesicle membrane"	"3.456"	"17"	"7.652"	"2.705"
"GO:0036020"	"endolysosome membrane"	"3.427"	"8"	"2.589"	"1.579"
"GO:0070852"	"cell body fiber"	"3.421"	"4"	"0.579"	"0.755"
"GO:0045334"	"clathrin-coated endocytic vesicle"	"3.414"	"11"	"4.196"	"1.993"
"GO:0035869"	"ciliary transition zone"	"3.405"	"8"	"2.651"	"1.571"
"GO:0070765"	"gamma-secretase complex"	"3.399"	"4"	"0.601"	"0.75"
"GO:0097546"	"ciliary base"	"3.359"	"10"	"3.807"	"1.844"
"GO:0042470"	"melanosome"	"3.352"	"33"	"19.308"	"4.085"
"GO:0005813"	"centrosome"	"3.305"	"81"	"56.659"	"7.365"
"GO:0097441"	"basilar dendrite"	"3.305"	"4"	"0.695"	"0.829"
"GO:0031225"	"anchored component of membrane"	"3.16"	"4"	"0.84"	"0.88"
"GO:0000421"	"autophagosome membrane"	"3.113"	"9"	"3.493"	"1.769"
"GO:0000776"	"kinetochore"	"3.103"	"27"	"15.361"	"3.751"
"GO:1990070"	"TRAPPI protein complex"	"2.931"	"3"	"0.069"	"0.257"
"GO:1990072"	"TRAPPIII protein complex"	"2.898"	"3"	"0.102"	"0.319"
"GO:0031672"	"A band"	"2.889"	"5"	"1.606"	"1.175"
"GO:0017059"	"serine C-palmitoyltransferase complex"	"2.771"	"3"	"0.229"	"0.485"
"GO:0005776"	"autophagosome"	"2.741"	"16"	"8.398"	"2.773"
"GO:0016939"	"kinesin II complex"	"2.72"	"3"	"0.28"	"0.51"
