"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa04130"	"SNARE interactions in vesicular transport"	"15.017"	"29"	"3.258"	"1.714"
"hsa04962"	"Vasopressin-regulated water reabsorption"	"12.114"	"39"	"7.023"	"2.64"
"hsa04144"	"Endocytosis"	"7.458"	"81"	"37.348"	"5.853"
"hsa04610"	"Complement and coagulation cascades"	"6.88"	"16"	"3.524"	"1.813"
"hsa04145"	"Phagosome"	"6.857"	"59"	"26.524"	"4.736"
"hsa05110"	"Vibrio cholerae infection"	"6.126"	"30"	"10.924"	"3.114"
"hsa05134"	"Legionellosis"	"5.533"	"40"	"18.355"	"3.912"
"hsa04913"	"Ovarian steroidogenesis"	"5.156"	"11"	"2.705"	"1.609"
"hsa04213"	"Longevity regulating pathway - multiple species"	"3.807"	"33"	"17.863"	"3.976"
"hsa04950"	"Maturity onset diabetes of the young"	"3.757"	"10"	"3.527"	"1.723"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"3.7"	"55"	"34.819"	"5.454"
"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"3.48"	"17"	"7.851"	"2.629"
"hsa00600"	"Sphingolipid metabolism"	"3.191"	"4"	"0.809"	"0.903"
"hsa04140"	"Autophagy - animal"	"2.855"	"28"	"16.486"	"4.032"
"hsa04640"	"Hematopoietic cell lineage"	"2.784"	"9"	"3.567"	"1.951"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"2.666"	"15"	"7.837"	"2.687"
"hsa04976"	"Bile secretion"	"2.595"	"8"	"3.256"	"1.828"
"hsa04136"	"Autophagy - other"	"2.573"	"10"	"4.627"	"2.089"
"hsa04923"	"Regulation of lipolysis in adipocytes"	"2.426"	"12"	"6.164"	"2.406"
"hsa04911"	"Insulin secretion"	"2.288"	"13"	"6.956"	"2.642"
"hsa05130"	"Pathogenic Escherichia coli infection"	"2.283"	"31"	"21.142"	"4.317"
"hsa04540"	"Gap junction"	"2.2"	"34"	"24.023"	"4.535"
"hsa04340"	"Hedgehog signaling pathway"	"2.112"	"14"	"8.218"	"2.738"
"hsa00510"	"N-Glycan biosynthesis"	"2.052"	"4"	"1.502"	"1.217"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"2.004"	"3"	"0.996"	"0.979"
"hsa05132"	"Salmonella infection"	"1.997"	"22"	"14.817"	"3.597"
"hsa04142"	"Lysosome"	"1.788"	"10"	"5.861"	"2.315"
"hsa00061"	"Fatty acid biosynthesis"	"1.688"	"3"	"1.178"	"1.08"
"hsa00512"	"Mucin type O-glycan biosynthesis"	"1.639"	"2"	"0.361"	"0.604"
"hsa04612"	"Antigen processing and presentation"	"1.633"	"24"	"17.541"	"3.956"
"hsa04721"	"Synaptic vesicle cycle"	"1.629"	"15"	"9.955"	"3.098"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"1.409"	"5"	"2.764"	"1.587"
"hsa04114"	"Oocyte meiosis"	"1.334"	"30"	"23.77"	"4.67"
"hsa04727"	"GABAergic synapse"	"1.29"	"12"	"8.384"	"2.804"
"hsa05416"	"Viral myocarditis"	"1.279"	"10"	"6.739"	"2.55"
"hsa04210"	"Apoptosis"	"1.269"	"31"	"25.006"	"4.722"
"hsa04927"	"Cortisol synthesis and secretion"	"1.211"	"7"	"4.508"	"2.058"
"hsa05012"	"Parkinson's disease"	"1.208"	"19"	"14.453"	"3.765"
"hsa04940"	"Type I diabetes mellitus"	"1.17"	"5"	"3.013"	"1.698"
"hsa00062"	"Fatty acid elongation"	"1.104"	"2"	"0.896"	"0.935"
"hsa03320"	"PPAR signaling pathway"	"1.065"	"10"	"7.473"	"2.373"
"hsa04260"	"Cardiac muscle contraction"	"1.034"	"6"	"4.017"	"1.917"
"hsa04970"	"Salivary secretion"	"1.017"	"9"	"6.417"	"2.539"
"hsa05020"	"Prion diseases"	"0.998"	"10"	"7.368"	"2.637"
"hsa00350"	"Tyrosine metabolism"	"0.98"	"2"	"1.006"	"1.014"
"hsa04211"	"Longevity regulating pathway"	"0.962"	"16"	"12.639"	"3.495"
"hsa04915"	"Estrogen signaling pathway"	"0.945"	"36"	"31.148"	"5.134"
"hsa04972"	"Pancreatic secretion"	"0.919"	"7"	"5.014"	"2.162"
"hsa05033"	"Nicotine addiction"	"0.909"	"2"	"1.063"	"1.031"
"hsa00830"	"Retinol metabolism"	"0.875"	"3"	"1.851"	"1.313"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"0.853"	"2"	"1.113"	"1.04"
"hsa04975"	"Fat digestion and absorption"	"0.846"	"2"	"1.106"	"1.057"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"0.812"	"19"	"15.91"	"3.803"
"hsa04740"	"Olfactory transduction"	"0.758"	"7"	"5.291"	"2.254"
"hsa00380"	"Tryptophan metabolism"	"0.756"	"4"	"2.813"	"1.57"
"hsa00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"0.724"	"1"	"0.276"	"0.522"
"hsa04930"	"Type II diabetes mellitus"	"0.673"	"9"	"7.281"	"2.555"
"hsa04010"	"MAPK signaling pathway"	"0.649"	"46"	"42.093"	"6.024"
"hsa04977"	"Vitamin digestion and absorption"	"0.646"	"1"	"0.354"	"0.572"
"hsa05146"	"Amoebiasis"	"0.634"	"12"	"10.015"	"3.13"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"0.633"	"9"	"7.391"	"2.543"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"0.631"	"1"	"0.369"	"0.611"
"hsa00071"	"Fatty acid degradation"	"0.606"	"4"	"3.013"	"1.628"
"hsa04710"	"Circadian rhythm"	"0.594"	"7"	"5.639"	"2.29"
"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"0.582"	"3"	"2.165"	"1.435"
"hsa04152"	"AMPK signaling pathway"	"0.541"	"22"	"19.627"	"4.388"
"hsa05145"	"Toxoplasmosis"	"0.469"	"24"	"21.969"	"4.331"
"hsa00053"	"Ascorbate and aldarate metabolism"	"0.468"	"2"	"1.462"	"1.151"
"hsa04022"	"cGMP-PKG signaling pathway"	"0.437"	"21"	"19.089"	"4.375"
"hsa00480"	"Glutathione metabolism"	"0.425"	"3"	"2.326"	"1.588"
"hsa00330"	"Arginine and proline metabolism"	"0.41"	"4"	"3.262"	"1.799"
"hsa00561"	"Glycerolipid metabolism"	"0.386"	"3"	"2.428"	"1.482"
"hsa04974"	"Protein digestion and absorption"	"0.369"	"2"	"1.537"	"1.253"
"hsa05204"	"Chemical carcinogenesis"	"0.36"	"3"	"2.439"	"1.557"
"hsa05016"	"Huntington's disease"	"0.359"	"28"	"26.282"	"4.785"
"hsa00562"	"Inositol phosphate metabolism"	"0.344"	"4"	"3.378"	"1.807"
"hsa03060"	"Protein export"	"0.297"	"4"	"3.463"	"1.81"
"hsa04971"	"Gastric acid secretion"	"0.271"	"9"	"8.23"	"2.839"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"0.269"	"7"	"6.356"	"2.397"
"hsa04918"	"Thyroid hormone synthesis"	"0.249"	"7"	"6.416"	"2.342"
"hsa04371"	"Apelin signaling pathway"	"0.236"	"20"	"18.978"	"4.326"
"hsa05032"	"Morphine addiction"	"0.225"	"8"	"7.424"	"2.561"
"hsa00982"	"Drug metabolism - cytochrome P450"	"0.198"	"2"	"1.747"	"1.28"
"hsa04216"	"Ferroptosis"	"0.181"	"5"	"4.624"	"2.077"
"hsa05205"	"Proteoglycans in cancer"	"0.149"	"33"	"32.179"	"5.526"
"hsa00100"	"Steroid biosynthesis"	"0.138"	"1"	"0.862"	"0.909"
"hsa00340"	"Histidine metabolism"	"0.089"	"2"	"1.883"	"1.31"
"hsa00360"	"Phenylalanine metabolism"	"0.075"	"1"	"0.925"	"0.974"
"hsa04390"	"Hippo signaling pathway"	"0.044"	"25"	"24.789"	"4.808"
"hsa04614"	"Renin-angiotensin system"	"0.04"	"1"	"0.96"	"0.941"
"hsa04137"	"Mitophagy - animal"	"0.031"	"13"	"12.893"	"3.419"
"hsa04919"	"Thyroid hormone signaling pathway"	"0.026"	"23"	"22.877"	"4.734"
"hsa04020"	"Calcium signaling pathway"	"0.01"	"20"	"19.956"	"4.504"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"0"	"0"	"0"	"0"
"hsa00780"	"Biotin metabolism"	"-0.017"	"0"	"0.017"	"0.129"
"hsa04115"	"p53 signaling pathway"	"-0.021"	"9"	"9.063"	"2.961"
