"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005737"	"cytoplasm"	"9.221"	"-9.221"
"GO:0005789"	"endoplasmic reticulum membrane"	"9.18"	"-9.18"
"GO:0005829"	"cytosol"	"8.733"	"-8.733"
"GO:0000502"	"proteasome complex"	"8.618"	"-8.618"
"GO:0032991"	"macromolecular complex"	"8.193"	"-8.193"
"GO:0005783"	"endoplasmic reticulum"	"7.506"	"-7.506"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"6.817"	"-6.817"
"GO:0005839"	"proteasome core complex"	"6.642"	"-6.642"
"GO:0016605"	"PML body"	"6.615"	"-6.615"
"GO:0000790"	"nuclear chromatin"	"6.111"	"-6.111"
"GO:0005925"	"focal adhesion"	"5.991"	"-5.991"
"GO:0032993"	"protein-DNA complex"	"5.942"	"-5.942"
"GO:0016342"	"catenin complex"	"5.644"	"-5.644"
"GO:0005667"	"transcription factor complex"	"5.42"	"-5.42"
"GO:0005654"	"nucleoplasm"	"5.275"	"-5.275"
"GO:0070062"	"extracellular exosome"	"5.186"	"-5.186"
"GO:0005634"	"nucleus"	"5.023"	"-5.023"
"GO:0031093"	"platelet alpha granule lumen"	"5.022"	"-5.022"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"4.901"	"-4.901"
"GO:0043005"	"neuron projection"	"4.879"	"-4.879"
"GO:0030176"	"integral component of endoplasmic reticulum membrane"	"4.84"	"-4.84"
"GO:0005913"	"cell-cell adherens junction"	"4.819"	"-4.819"
"GO:0030018"	"Z disc"	"4.785"	"-4.785"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"4.712"	"-4.712"
"GO:0009986"	"cell surface"	"4.632"	"-4.632"
"GO:0030134"	"ER to Golgi transport vesicle"	"4.551"	"-4.551"
"GO:0022625"	"cytosolic large ribosomal subunit"	"4.253"	"-4.253"
"GO:0005882"	"intermediate filament"	"4.247"	"-4.247"
"GO:0035861"	"site of double-strand break"	"4.187"	"-4.187"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"4.06"	"-4.06"
"GO:0000781"	"chromosome, telomeric region"	"3.94"	"-3.94"
"GO:0005912"	"adherens junction"	"3.94"	"-3.94"
"GO:0016604"	"nuclear body"	"3.901"	"-3.901"
"GO:0000784"	"nuclear chromosome, telomeric region"	"3.89"	"-3.89"
"GO:0016021"	"integral component of membrane"	"3.846"	"-3.846"
"GO:0045202"	"synapse"	"3.813"	"-3.813"
"GO:0072562"	"blood microparticle"	"3.811"	"-3.811"
"GO:0044322"	"endoplasmic reticulum quality control compartment"	"3.81"	"-3.81"
"GO:0016020"	"membrane"	"3.76"	"-3.76"
"GO:0000139"	"Golgi membrane"	"3.696"	"-3.696"
"GO:0071556"	"integral component of lumenal side of endoplasmic reticulum membrane"	"3.696"	"-3.696"
"GO:0005719"	"nuclear euchromatin"	"3.671"	"-3.671"
"GO:0055038"	"recycling endosome membrane"	"3.649"	"-3.649"
"GO:0005794"	"Golgi apparatus"	"3.634"	"-3.634"
"GO:0005886"	"plasma membrane"	"3.579"	"-3.579"
"GO:1904813"	"ficolin-1-rich granule lumen"	"3.528"	"-3.528"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"3.524"	"-3.524"
"GO:0031012"	"extracellular matrix"	"3.496"	"-3.496"
"GO:0014069"	"postsynaptic density"	"3.489"	"-3.489"
"GO:0005788"	"endoplasmic reticulum lumen"	"3.471"	"-3.471"
"GO:0001726"	"ruffle"	"3.459"	"-3.459"
"GO:0000159"	"protein phosphatase type 2A complex"	"3.422"	"-3.422"
"GO:0043231"	"intracellular membrane-bounded organelle"	"3.403"	"-3.403"
"GO:0048471"	"perinuclear region of cytoplasm"	"3.328"	"-3.328"
"GO:0001772"	"immunological synapse"	"3.256"	"-3.256"
"GO:0032281"	"AMPA glutamate receptor complex"	"3.244"	"-3.244"
"GO:0071944"	"cell periphery"	"3.214"	"-3.214"
"GO:0031594"	"neuromuscular junction"	"3.129"	"-3.129"
"GO:0031528"	"microvillus membrane"	"3.075"	"-3.075"
"GO:0030027"	"lamellipodium"	"3.021"	"-3.021"
"GO:0005604"	"basement membrane"	"3.005"	"-3.005"
