"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005515"	"protein binding"	"11.831"	"-11.831"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"9.837"	"-9.837"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"8.937"	"-8.937"
"GO:0008134"	"transcription factor binding"	"8.486"	"-8.486"
"GO:0003682"	"chromatin binding"	"8.315"	"-8.315"
"GO:0004674"	"protein serine/threonine kinase activity"	"8.232"	"-8.232"
"GO:0005524"	"ATP binding"	"7.97"	"-7.97"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"7.954"	"-7.954"
"GO:0005496"	"steroid binding"	"7.852"	"-7.852"
"GO:0004879"	"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding"	"7.64"	"-7.64"
"GO:0019899"	"enzyme binding"	"7.233"	"-7.233"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"6.842"	"-6.842"
"GO:0004298"	"threonine-type endopeptidase activity"	"6.7"	"-6.7"
"GO:0008013"	"beta-catenin binding"	"6.349"	"-6.349"
"GO:0004175"	"endopeptidase activity"	"6.33"	"-6.33"
"GO:0004693"	"cyclin-dependent protein serine/threonine kinase activity"	"5.83"	"-5.83"
"GO:0004672"	"protein kinase activity"	"5.815"	"-5.815"
"GO:0031490"	"chromatin DNA binding"	"5.76"	"-5.76"
"GO:0019901"	"protein kinase binding"	"5.585"	"-5.585"
"GO:0019789"	"SUMO transferase activity"	"5.465"	"-5.465"
"GO:0031625"	"ubiquitin protein ligase binding"	"5.396"	"-5.396"
"GO:0044212"	"transcription regulatory region DNA binding"	"5.332"	"-5.332"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"5.141"	"-5.141"
"GO:0042802"	"identical protein binding"	"5.124"	"-5.124"
"GO:0003707"	"steroid hormone receptor activity"	"5.088"	"-5.088"
"GO:0001102"	"RNA polymerase II activating transcription factor binding"	"5.081"	"-5.081"
"GO:0050681"	"androgen receptor binding"	"4.965"	"-4.965"
"GO:0001158"	"enhancer sequence-specific DNA binding"	"4.937"	"-4.937"
"GO:0042605"	"peptide antigen binding"	"4.82"	"-4.82"
"GO:0016887"	"ATPase activity"	"4.794"	"-4.794"
"GO:0046983"	"protein dimerization activity"	"4.765"	"-4.765"
"GO:0003705"	"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding"	"4.665"	"-4.665"
"GO:0030374"	"ligand-dependent nuclear receptor transcription coactivator activity"	"4.619"	"-4.619"
"GO:0003690"	"double-stranded DNA binding"	"4.604"	"-4.604"
"GO:0000977"	"RNA polymerase II regulatory region sequence-specific DNA binding"	"4.546"	"-4.546"
"GO:0043565"	"sequence-specific DNA binding"	"4.485"	"-4.485"
"GO:0019900"	"kinase binding"	"4.428"	"-4.428"
"GO:0005178"	"integrin binding"	"4.393"	"-4.393"
"GO:0097110"	"scaffold protein binding"	"4.344"	"-4.344"
"GO:0050840"	"extracellular matrix binding"	"4.32"	"-4.32"
"GO:0051117"	"ATPase binding"	"4.288"	"-4.288"
"GO:0042826"	"histone deacetylase binding"	"4.179"	"-4.179"
"GO:0046982"	"protein heterodimerization activity"	"4.143"	"-4.143"
