"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0003779"	"actin binding"	"38.653"	"-38.653"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"37.39"	"-37.39"
"GO:0051015"	"actin filament binding"	"34.475"	"-34.475"
"GO:0004713"	"protein tyrosine kinase activity"	"33.529"	"-33.529"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"29.587"	"-29.587"
"GO:0017124"	"SH3 domain binding"	"26.748"	"-26.748"
"GO:0005178"	"integrin binding"	"25.16"	"-25.16"
"GO:0005509"	"calcium ion binding"	"24.094"	"-24.094"
"GO:0001784"	"phosphotyrosine binding"	"23.668"	"-23.668"
"GO:0045296"	"cadherin binding"	"23.601"	"-23.601"
"GO:0004888"	"transmembrane signaling receptor activity"	"22.068"	"-22.068"
"GO:0008092"	"cytoskeletal protein binding"	"20.971"	"-20.971"
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	"20.452"	"-20.452"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"20.154"	"-20.154"
"GO:0050839"	"cell adhesion molecule binding"	"20.128"	"-20.128"
"GO:0048365"	"Rac GTPase binding"	"19.92"	"-19.92"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"19.83"	"-19.83"
"GO:0005070"	"SH3/SH2 adaptor activity"	"19.593"	"-19.593"
"GO:0046875"	"ephrin receptor binding"	"19.551"	"-19.551"
"GO:0003785"	"actin monomer binding"	"18.601"	"-18.601"
"GO:0005516"	"calmodulin binding"	"18.498"	"-18.498"
"GO:0005096"	"GTPase activator activity"	"18.011"	"-18.011"
"GO:0008307"	"structural constituent of muscle"	"17.787"	"-17.787"
"GO:0005201"	"extracellular matrix structural constituent"	"16.913"	"-16.913"
"GO:0043548"	"phosphatidylinositol 3-kinase binding"	"16.521"	"-16.521"
"GO:0005089"	"Rho guanyl-nucleotide exchange factor activity"	"16.214"	"-16.214"
"GO:0005158"	"insulin receptor binding"	"15.312"	"-15.312"
"GO:0019903"	"protein phosphatase binding"	"15.009"	"-15.009"
"GO:0044325"	"ion channel binding"	"14.691"	"-14.691"
"GO:0005547"	"phosphatidylinositol-3,4,5-trisphosphate binding"	"14.012"	"-14.012"
"GO:0005518"	"collagen binding"	"13.92"	"-13.92"
"GO:0005515"	"protein binding"	"13.783"	"-13.783"
"GO:0005102"	"receptor binding"	"13.633"	"-13.633"
"GO:0019901"	"protein kinase binding"	"13.254"	"-13.254"
"GO:0005154"	"epidermal growth factor receptor binding"	"13.233"	"-13.233"
"GO:0043236"	"laminin binding"	"13.046"	"-13.046"
"GO:0004674"	"protein serine/threonine kinase activity"	"12.919"	"-12.919"
"GO:0005546"	"phosphatidylinositol-4,5-bisphosphate binding"	"12.575"	"-12.575"
"GO:0042802"	"identical protein binding"	"12.282"	"-12.282"
"GO:0042169"	"SH2 domain binding"	"12.183"	"-12.183"
"GO:0005524"	"ATP binding"	"12.173"	"-12.173"
"GO:0017048"	"Rho GTPase binding"	"12.114"	"-12.114"
"GO:0097110"	"scaffold protein binding"	"12.024"	"-12.024"
"GO:0008083"	"growth factor activity"	"11.939"	"-11.939"
"GO:0001786"	"phosphatidylserine binding"	"11.617"	"-11.617"
"GO:0001968"	"fibronectin binding"	"11.585"	"-11.585"
"GO:0005104"	"fibroblast growth factor receptor binding"	"11.543"	"-11.543"
"GO:0034987"	"immunoglobulin receptor binding"	"11.394"	"-11.394"
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	"11.356"	"-11.356"
"GO:0031267"	"small GTPase binding"	"11.136"	"-11.136"
"GO:0035091"	"phosphatidylinositol binding"	"11.085"	"-11.085"
"GO:0016301"	"kinase activity"	"10.907"	"-10.907"
"GO:0001618"	"virus receptor activity"	"10.779"	"-10.779"
"GO:0004725"	"protein tyrosine phosphatase activity"	"10.688"	"-10.688"
"GO:0003823"	"antigen binding"	"10.431"	"-10.431"
"GO:0008022"	"protein C-terminus binding"	"10.428"	"-10.428"
"GO:0005198"	"structural molecule activity"	"10.135"	"-10.135"
"GO:0030020"	"extracellular matrix structural constituent conferring tensile strength"	"9.845"	"-9.845"
"GO:0071889"	"14-3-3 protein binding"	"9.833"	"-9.833"
"GO:0030165"	"PDZ domain binding"	"9.701"	"-9.701"
"GO:0030159"	"receptor signaling complex scaffold activity"	"9.451"	"-9.451"
"GO:0044877"	"macromolecular complex binding"	"9.216"	"-9.216"
"GO:0005200"	"structural constituent of cytoskeleton"	"9.203"	"-9.203"
"GO:0030971"	"receptor tyrosine kinase binding"	"8.947"	"-8.947"
"GO:0043325"	"phosphatidylinositol-3,4-bisphosphate binding"	"8.947"	"-8.947"
"GO:0050840"	"extracellular matrix binding"	"8.533"	"-8.533"
"GO:0004252"	"serine-type endopeptidase activity"	"8.509"	"-8.509"
"GO:0004222"	"metalloendopeptidase activity"	"8.151"	"-8.151"
"GO:0002020"	"protease binding"	"8.098"	"-8.098"
"GO:0008013"	"beta-catenin binding"	"7.74"	"-7.74"
"GO:0004683"	"calmodulin-dependent protein kinase activity"	"7.692"	"-7.692"
"GO:0042803"	"protein homodimerization activity"	"7.689"	"-7.689"
"GO:0051019"	"mitogen-activated protein kinase binding"	"7.665"	"-7.665"
"GO:0019955"	"cytokine binding"	"7.534"	"-7.534"
"GO:0017134"	"fibroblast growth factor binding"	"7.516"	"-7.516"
"GO:0004672"	"protein kinase activity"	"7.457"	"-7.457"
"GO:0005080"	"protein kinase C binding"	"7.313"	"-7.313"
"GO:0001540"	"beta-amyloid binding"	"7.31"	"-7.31"
"GO:0004896"	"cytokine receptor activity"	"7.224"	"-7.224"
"GO:0019902"	"phosphatase binding"	"7.14"	"-7.14"
"GO:0019904"	"protein domain specific binding"	"7.127"	"-7.127"
"GO:0015026"	"coreceptor activity"	"6.873"	"-6.873"
"GO:0043539"	"protein serine/threonine kinase activator activity"	"6.482"	"-6.482"
"GO:0035255"	"ionotropic glutamate receptor binding"	"6.269"	"-6.269"
"GO:0005216"	"ion channel activity"	"6.267"	"-6.267"
"GO:0015485"	"cholesterol binding"	"6.191"	"-6.191"
"GO:0005262"	"calcium channel activity"	"6.186"	"-6.186"
"GO:0051018"	"protein kinase A binding"	"6.137"	"-6.137"
"GO:0005543"	"phospholipid binding"	"5.987"	"-5.987"
"GO:0019838"	"growth factor binding"	"5.907"	"-5.907"
"GO:0015276"	"ligand-gated ion channel activity"	"5.867"	"-5.867"
"GO:0030276"	"clathrin binding"	"5.77"	"-5.77"
"GO:0017147"	"Wnt-protein binding"	"5.711"	"-5.711"
"GO:0003774"	"motor activity"	"5.535"	"-5.535"
"GO:0008201"	"heparin binding"	"5.391"	"-5.391"
"GO:0042056"	"chemoattractant activity"	"5.304"	"-5.304"
"GO:0004721"	"phosphoprotein phosphatase activity"	"5.261"	"-5.261"
"GO:0038023"	"signaling receptor activity"	"5.234"	"-5.234"
"GO:0030246"	"carbohydrate binding"	"5.172"	"-5.172"
"GO:0030215"	"semaphorin receptor binding"	"5.063"	"-5.063"
"GO:0008237"	"metallopeptidase activity"	"5.041"	"-5.041"
"GO:0019003"	"GDP binding"	"4.853"	"-4.853"
"GO:0019900"	"kinase binding"	"4.799"	"-4.799"
"GO:0008289"	"lipid binding"	"4.71"	"-4.71"
"GO:0051219"	"phosphoprotein binding"	"4.676"	"-4.676"
"GO:0005544"	"calcium-dependent phospholipid binding"	"4.576"	"-4.576"
"GO:0017022"	"myosin binding"	"4.567"	"-4.567"
"GO:0051020"	"GTPase binding"	"4.551"	"-4.551"
"GO:0005251"	"delayed rectifier potassium channel activity"	"4.479"	"-4.479"
"GO:0032947"	"protein complex scaffold"	"4.32"	"-4.32"
"GO:0016791"	"phosphatase activity"	"4.117"	"-4.117"
"GO:0017137"	"Rab GTPase binding"	"4.063"	"-4.063"
"GO:0030295"	"protein kinase activator activity"	"4.016"	"-4.016"
"GO:0097718"	"disordered domain specific binding"	"3.729"	"-3.729"
"GO:0008138"	"protein tyrosine/serine/threonine phosphatase activity"	"3.608"	"-3.608"
"GO:0032266"	"phosphatidylinositol-3-phosphate binding"	"3.599"	"-3.599"
"GO:0004712"	"protein serine/threonine/tyrosine kinase activity"	"3.552"	"-3.552"
"GO:0043621"	"protein self-association"	"3.543"	"-3.543"
"GO:0050750"	"low-density lipoprotein particle receptor binding"	"3.52"	"-3.52"
"GO:0043014"	"alpha-tubulin binding"	"3.502"	"-3.502"
"GO:0005249"	"voltage-gated potassium channel activity"	"3.467"	"-3.467"
"GO:0050431"	"transforming growth factor beta binding"	"3.461"	"-3.461"
"GO:0005525"	"GTP binding"	"3.301"	"-3.301"
"GO:0035257"	"nuclear hormone receptor binding"	"3.294"	"-3.294"
"GO:0017075"	"syntaxin-1 binding"	"3.234"	"-3.234"
"GO:0045499"	"chemorepellent activity"	"3.221"	"-3.221"
"GO:0030145"	"manganese ion binding"	"3.169"	"-3.169"
"GO:0048306"	"calcium-dependent protein binding"	"3.125"	"-3.125"
"GO:0030331"	"estrogen receptor binding"	"3.113"	"-3.113"
"GO:0003924"	"GTPase activity"	"3.076"	"-3.076"
"GO:0005125"	"cytokine activity"	"3.075"	"-3.075"
"GO:0004857"	"enzyme inhibitor activity"	"3.047"	"-3.047"
