"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005634"	"nucleus"	"-10.188"	"10.188"
"GO:0005654"	"nucleoplasm"	"-7.465"	"7.465"
"GO:0000786"	"nucleosome"	"-7.082"	"7.082"
"GO:0005730"	"nucleolus"	"-6.649"	"6.649"
"GO:0071013"	"catalytic step 2 spliceosome"	"-6.217"	"6.217"
"GO:0005681"	"spliceosomal complex"	"-6.076"	"6.076"
"GO:0016607"	"nuclear speck"	"-5.911"	"5.911"
"GO:0005643"	"nuclear pore"	"-5.728"	"5.728"
"GO:1990904"	"ribonucleoprotein complex"	"-5.704"	"5.704"
"GO:0005813"	"centrosome"	"-5.634"	"5.634"
"GO:0005829"	"cytosol"	"-5.435"	"5.435"
"GO:0032040"	"small-subunit processome"	"-5.086"	"5.086"
"GO:0005814"	"centriole"	"-5.077"	"5.077"
"GO:0005635"	"nuclear envelope"	"-4.205"	"4.205"
"GO:0071007"	"U2-type catalytic step 2 spliceosome"	"-4.195"	"4.195"
"GO:0046540"	"U4/U6 x U5 tri-snRNP complex"	"-4.047"	"4.047"
"GO:0019005"	"SCF ubiquitin ligase complex"	"-3.935"	"3.935"
"GO:0005689"	"U12-type spliceosomal complex"	"-3.7"	"3.7"
"GO:0022625"	"cytosolic large ribosomal subunit"	"-3.649"	"3.649"
"GO:0000776"	"kinetochore"	"-3.626"	"3.626"
"GO:0035145"	"exon-exon junction complex"	"-3.613"	"3.613"
"GO:0000151"	"ubiquitin ligase complex"	"-3.558"	"3.558"
"GO:0031965"	"nuclear membrane"	"-3.531"	"3.531"
"GO:0015030"	"Cajal body"	"-3.394"	"3.394"
"GO:0034399"	"nuclear periphery"	"-3.336"	"3.336"
"GO:0005669"	"transcription factor TFIID complex"	"-3.298"	"3.298"
"GO:0005763"	"mitochondrial small ribosomal subunit"	"-3.262"	"3.262"
"GO:0000777"	"condensed chromosome kinetochore"	"-3.191"	"3.191"
"GO:0005874"	"microtubule"	"-3.149"	"3.149"
"GO:0000792"	"heterochromatin"	"-3.123"	"3.123"
"GO:0000932"	"cytoplasmic mRNA processing body"	"-3.096"	"3.096"
"GO:0016020"	"membrane"	"-3.06"	"3.06"
"GO:0005697"	"telomerase holoenzyme complex"	"-3.004"	"3.004"
