"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005741"	"mitochondrial outer membrane"	"13.59"	"-13.59"
"GO:0005615"	"extracellular space"	"13.534"	"-13.534"
"GO:0005886"	"plasma membrane"	"13.279"	"-13.279"
"GO:0005737"	"cytoplasm"	"13.139"	"-13.139"
"GO:0045121"	"membrane raft"	"13.107"	"-13.107"
"GO:0005739"	"mitochondrion"	"12.567"	"-12.567"
"GO:0005901"	"caveola"	"11.507"	"-11.507"
"GO:0005576"	"extracellular region"	"10.665"	"-10.665"
"GO:0032991"	"macromolecular complex"	"10.474"	"-10.474"
"GO:0005667"	"transcription factor complex"	"10.137"	"-10.137"
"GO:0031012"	"extracellular matrix"	"9.42"	"-9.42"
"GO:0009986"	"cell surface"	"8.876"	"-8.876"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"8.41"	"-8.41"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"8.346"	"-8.346"
"GO:0016342"	"catenin complex"	"7.874"	"-7.874"
"GO:0062023"	NA	"7.711"	"-7.711"
"GO:0000790"	"nuclear chromatin"	"7.664"	"-7.664"
"GO:0005925"	"focal adhesion"	"7.661"	"-7.661"
"GO:0048471"	"perinuclear region of cytoplasm"	"7.596"	"-7.596"
"GO:0030424"	"axon"	"7.232"	"-7.232"
"GO:0071944"	"cell periphery"	"7.032"	"-7.032"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"6.878"	"-6.878"
"GO:0005887"	"integral component of plasma membrane"	"6.653"	"-6.653"
"GO:0030027"	"lamellipodium"	"6.589"	"-6.589"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"6.34"	"-6.34"
"GO:0005783"	"endoplasmic reticulum"	"6.122"	"-6.122"
"GO:0098978"	"glutamatergic synapse"	"5.988"	"-5.988"
"GO:0015629"	"actin cytoskeleton"	"5.864"	"-5.864"
"GO:0005938"	"cell cortex"	"5.833"	"-5.833"
"GO:0044798"	"nuclear transcription factor complex"	"5.79"	"-5.79"
"GO:0005913"	"cell-cell adherens junction"	"5.77"	"-5.77"
"GO:0005829"	"cytosol"	"5.699"	"-5.699"
"GO:0017053"	"transcriptional repressor complex"	"5.516"	"-5.516"
"GO:0031307"	"integral component of mitochondrial outer membrane"	"5.508"	"-5.508"
"GO:0005884"	"actin filament"	"5.387"	"-5.387"
"GO:0032993"	"protein-DNA complex"	"5.311"	"-5.311"
"GO:0043005"	"neuron projection"	"5.309"	"-5.309"
"GO:0005856"	"cytoskeleton"	"5.25"	"-5.25"
"GO:0005759"	"mitochondrial matrix"	"5.173"	"-5.173"
"GO:0005788"	"endoplasmic reticulum lumen"	"5.171"	"-5.171"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"4.982"	"-4.982"
"GO:0005811"	"lipid particle"	"4.98"	"-4.98"
"GO:0001726"	"ruffle"	"4.9"	"-4.9"
"GO:0031093"	"platelet alpha granule lumen"	"4.899"	"-4.899"
"GO:0005911"	"cell-cell junction"	"4.869"	"-4.869"
"GO:0031982"	"vesicle"	"4.81"	"-4.81"
"GO:0098685"	NA	"4.799"	"-4.799"
"GO:0016323"	"basolateral plasma membrane"	"4.732"	"-4.732"
"GO:0043235"	"receptor complex"	"4.565"	"-4.565"
"GO:0031528"	"microvillus membrane"	"4.511"	"-4.511"
"GO:0070062"	"extracellular exosome"	"4.502"	"-4.502"
"GO:0016328"	"lateral plasma membrane"	"4.466"	"-4.466"
"GO:0098794"	"postsynapse"	"4.395"	"-4.395"
"GO:0042995"	"cell projection"	"4.279"	"-4.279"
"GO:0001725"	"stress fiber"	"4.238"	"-4.238"
"GO:0032587"	"ruffle membrane"	"4.068"	"-4.068"
"GO:0010008"	"endosome membrane"	"4.026"	"-4.026"
"GO:0030141"	"secretory granule"	"3.944"	"-3.944"
"GO:0000118"	"histone deacetylase complex"	"3.93"	"-3.93"
"GO:0001891"	"phagocytic cup"	"3.924"	"-3.924"
"GO:0016324"	"apical plasma membrane"	"3.878"	"-3.878"
"GO:0005622"	"intracellular"	"3.864"	"-3.864"
"GO:0014069"	"postsynaptic density"	"3.815"	"-3.815"
"GO:0005903"	"brush border"	"3.808"	"-3.808"
"GO:0005604"	"basement membrane"	"3.77"	"-3.77"
"GO:0005640"	"nuclear outer membrane"	"3.752"	"-3.752"
"GO:0016605"	"PML body"	"3.699"	"-3.699"
"GO:0005637"	"nuclear inner membrane"	"3.508"	"-3.508"
"GO:0005719"	"nuclear euchromatin"	"3.39"	"-3.39"
"GO:0001772"	"immunological synapse"	"3.284"	"-3.284"
"GO:0043204"	"perikaryon"	"3.261"	"-3.261"
"GO:0043209"	"myelin sheath"	"3.246"	"-3.246"
"GO:0031901"	"early endosome membrane"	"3.119"	"-3.119"
"GO:0002102"	"podosome"	"3.056"	"-3.056"
