"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0003677"	"DNA binding"	"-10.408"	"10.408"
"GO:0046872"	"metal ion binding"	"-10.079"	"10.079"
"GO:0003723"	"RNA binding"	"-7.521"	"7.521"
"GO:0000981"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"-7.234"	"7.234"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	"-6.381"	"6.381"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"-5.852"	"5.852"
"GO:0003729"	"mRNA binding"	"-4.935"	"4.935"
"GO:0033038"	"bitter taste receptor activity"	"-4.882"	"4.882"
"GO:0070034"	"telomerase RNA binding"	"-4.587"	"4.587"
"GO:0005484"	"SNAP receptor activity"	"-4.428"	"4.428"
"GO:0003735"	"structural constituent of ribosome"	"-4.341"	"4.341"
"GO:0000149"	"SNARE binding"	"-4.327"	"4.327"
"GO:0005506"	"iron ion binding"	"-3.982"	"3.982"
"GO:0042923"	"neuropeptide binding"	"-3.875"	"3.875"
"GO:0008395"	"steroid hydroxylase activity"	"-3.792"	"3.792"
"GO:0008565"	"protein transporter activity"	"-3.747"	"3.747"
"GO:0017056"	"structural constituent of nuclear pore"	"-3.724"	"3.724"
"GO:0030515"	"snoRNA binding"	"-3.552"	"3.552"
"GO:0034987"	"immunoglobulin receptor binding"	"-3.424"	"3.424"
"GO:0043015"	"gamma-tubulin binding"	"-3.352"	"3.352"
"GO:0003777"	"microtubule motor activity"	"-3.307"	"3.307"
"GO:0004004"	"ATP-dependent RNA helicase activity"	"-3.234"	"3.234"
"GO:0004497"	"monooxygenase activity"	"-3.128"	"3.128"
"GO:0003676"	"nucleic acid binding"	"-3.107"	"3.107"
"GO:0019956"	"chemokine binding"	"-3.1"	"3.1"
"GO:0017112"	"Rab guanyl-nucleotide exchange factor activity"	"-3.088"	"3.088"
"GO:0016493"	"C-C chemokine receptor activity"	"-3.07"	"3.07"
"GO:0019957"	"C-C chemokine binding"	"-3.024"	"3.024"
