"ENSG00000165029","ABCA1"
"ENSG00000107331","ABCA2"
"ENSG00000167972","ABCA3"
"ENSG00000198691","ABCA4"
"ENSG00000154265","ABCA5"
"ENSG00000154262","ABCA6"
"ENSG00000141338","ABCA8"
"ENSG00000154258","ABCA9"
"ENSG00000101986","ABCD1"
"ENSG00000173208","ABCD2"
"ENSG00000117528","ABCD3"
"ENSG00000172350","ABCG4"
"ENSG00000143921","ABCG8"
"ENSG00000151726","ACSL1"
"ENSG00000197142","ACSL5"
"ENSG00000172482","AGXT"
"ENSG00000122787","AKR1D1"
"ENSG00000165092","ALDH1A1"
"ENSG00000118514","ALDH8A1"
"ENSG00000143149","ALDH9A1"
"ENSG00000242110","AMACR"
"ENSG00000118137","APOA1"
"ENSG00000103569","AQP9"
"ENSG00000169083","AR"
"ENSG00000124788","ATXN1"
"ENSG00000129151","BBOX1"
"ENSG00000137936","BCAR3"
"ENSG00000153162","BMP6"
"ENSG00000121691","CAT"
"ENSG00000138135","CH25H"
"ENSG00000005469","CROT"
"ENSG00000135929","CYP27A1"
"ENSG00000146233","CYP39A1"
"ENSG00000036530","CYP46A1"
"ENSG00000167910","CYP7A1"
"ENSG00000172817","CYP7B1"
"ENSG00000180432","CYP8B1"
"ENSG00000116133","DHCR24"
"ENSG00000211452","DIO1"
"ENSG00000211448","DIO2"
"ENSG00000096093","EFHC1"
"ENSG00000120915","EPHX2"
"ENSG00000149485","FADS1"
"ENSG00000134824","FADS2"
"ENSG00000161513","FDXR"
"ENSG00000145321","GC"
"ENSG00000023909","GCLM"
"ENSG00000124713","GNMT"
"ENSG00000116906","GNPAT"
"ENSG00000197448","GSTK1"
"ENSG00000131373","HACL1"
"ENSG00000101323","HAO1"
"ENSG00000198189","HSD17B11"
"ENSG00000133835","HSD17B4"
"ENSG00000025423","HSD17B6"
"ENSG00000203857","HSD3B1"
"ENSG00000099377","HSD3B7"
"ENSG00000138413","IDH1"
"ENSG00000182054","IDH2"
"ENSG00000067064","IDI1"
"ENSG00000066583","ISOC1"
"ENSG00000105610","KLF1"
"ENSG00000182866","LCK"
"ENSG00000079435","LIPE"
"ENSG00000102910","LONP2"
"ENSG00000103150","MLYCD"
"ENSG00000069869","NEDD4"
"ENSG00000141458","NPC1"
"ENSG00000131910","NR0B2"
"ENSG00000012504","NR1H4"
"ENSG00000144852","NR1I2"
"ENSG00000151623","NR3C2"
"ENSG00000112874","NUDT12"
"ENSG00000123240","OPTN"
"ENSG00000148832","PAOX"
"ENSG00000115425","PECR"
"ENSG00000127980","PEX1"
"ENSG00000166821","PEX11A"
"ENSG00000104883","PEX11G"
"ENSG00000108733","PEX12"
"ENSG00000162928","PEX13"
"ENSG00000121680","PEX16"
"ENSG00000162735","PEX19"
"ENSG00000215193","PEX26"
"ENSG00000124587","PEX6"
"ENSG00000112357","PEX7"
"ENSG00000152556","PFKM"
"ENSG00000107537","PHYH"
"ENSG00000179761","PIPOX"
"ENSG00000135241","PNPLA8"
"ENSG00000126432","PRDX5"
"ENSG00000176894","PXMP2"
"ENSG00000114115","RBP1"
"ENSG00000042445","RETSAT"
"ENSG00000186350","RXRA"
"ENSG00000143171","RXRG"
"ENSG00000116171","SCP2"
"ENSG00000170099","SERPINA6"
"ENSG00000277405","SERPINA6"
"ENSG00000110628","SLC22A18"
"ENSG00000276130","SLC22A18"
"ENSG00000170482","SLC23A1"
"ENSG00000089057","SLC23A2"
"ENSG00000140284","SLC27A2"
"ENSG00000083807","SLC27A5"
"ENSG00000112759","SLC29A1"
"ENSG00000157593","SLC35B2"
"ENSG00000084453","SLCO1A2"
"ENSG00000167780","SOAT2"
"ENSG00000142168","SOD1"
"ENSG00000173597","SULT1B1"
"ENSG00000088002","SULT2B1"
"ENSG00000115112","TFCP2L1"
"ENSG00000118271","TTR"
