"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0022625"	"cytosolic large ribosomal subunit"	"-9.137"	"9.137"
"GO:0005730"	"nucleolus"	"-8.741"	"8.741"
"GO:0071013"	"catalytic step 2 spliceosome"	"-8.733"	"8.733"
"GO:0022627"	"cytosolic small ribosomal subunit"	"-7.043"	"7.043"
"GO:0005887"	"integral component of plasma membrane"	"-6.748"	"6.748"
"GO:0005681"	"spliceosomal complex"	"-6.172"	"6.172"
"GO:0005840"	"ribosome"	"-5.77"	"5.77"
"GO:0071007"	"U2-type catalytic step 2 spliceosome"	"-5.514"	"5.514"
"GO:0000777"	"condensed chromosome kinetochore"	"-5.511"	"5.511"
"GO:0005689"	"U12-type spliceosomal complex"	"-5.365"	"5.365"
"GO:0005813"	"centrosome"	"-5.243"	"5.243"
"GO:0042788"	"polysomal ribosome"	"-5.025"	"5.025"
"GO:0030054"	"cell junction"	"-4.779"	"4.779"
"GO:0016607"	"nuclear speck"	"-4.702"	"4.702"
"GO:0005762"	"mitochondrial large ribosomal subunit"	"-4.637"	"4.637"
"GO:0005834"	"heterotrimeric G-protein complex"	"-4.409"	"4.409"
"GO:0036064"	"ciliary basal body"	"-4.319"	"4.319"
"GO:0032040"	"small-subunit processome"	"-4.256"	"4.256"
"GO:0000776"	"kinetochore"	"-4.213"	"4.213"
"GO:0099056"	"integral component of presynaptic membrane"	"-4.138"	"4.138"
"GO:0014069"	"postsynaptic density"	"-4.017"	"4.017"
"GO:0005763"	"mitochondrial small ribosomal subunit"	"-4.01"	"4.01"
"GO:0035145"	"exon-exon junction complex"	"-3.963"	"3.963"
"GO:0005886"	"plasma membrane"	"-3.877"	"3.877"
"GO:0030687"	"preribosome, large subunit precursor"	"-3.874"	"3.874"
"GO:0019005"	"SCF ubiquitin ligase complex"	"-3.856"	"3.856"
"GO:0099055"	"integral component of postsynaptic membrane"	"-3.827"	"3.827"
"GO:0005694"	"chromosome"	"-3.75"	"3.75"
"GO:0005680"	"anaphase-promoting complex"	"-3.531"	"3.531"
"GO:0035869"	"ciliary transition zone"	"-3.5"	"3.5"
"GO:0000922"	"spindle pole"	"-3.497"	"3.497"
"GO:0005929"	"cilium"	"-3.414"	"3.414"
"GO:0005844"	"polysome"	"-3.391"	"3.391"
"GO:0005747"	"mitochondrial respiratory chain complex I"	"-3.258"	"3.258"
"GO:0005654"	"nucleoplasm"	"-3.239"	"3.239"
"GO:0005761"	"mitochondrial ribosome"	"-3.215"	"3.215"
"GO:0048786"	"presynaptic active zone"	"-3.195"	"3.195"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"-3.194"	"3.194"
"GO:0000784"	"nuclear chromosome, telomeric region"	"-3.178"	"3.178"
"GO:0030134"	"ER to Golgi transport vesicle"	"-3.162"	"3.162"
"GO:0015030"	"Cajal body"	"-3.12"	"3.12"
"GO:0097730"	NA	"-3.036"	"3.036"
"GO:0031965"	"nuclear membrane"	"-3.024"	"3.024"
