"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0000398"	"mRNA splicing, via spliceosome"	"-12.581"	"12.581"
"GO:0042795"	"snRNA transcription from RNA polymerase II promoter"	"-8.502"	"8.502"
"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	"-8.249"	"8.249"
"GO:0070126"	"mitochondrial translational termination"	"-8.071"	"8.071"
"GO:0031124"	"mRNA 3'-end processing"	"-8.011"	"8.011"
"GO:0070125"	"mitochondrial translational elongation"	"-7.956"	"7.956"
"GO:0016070"	"RNA metabolic process"	"-7.13"	"7.13"
"GO:0006370"	"7-methylguanosine mRNA capping"	"-7.083"	"7.083"
"GO:0008380"	"RNA splicing"	"-6.955"	"6.955"
"GO:0006406"	"mRNA export from nucleus"	"-6.698"	"6.698"
"GO:0006351"	"transcription, DNA-templated"	"-6.502"	"6.502"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"-6.482"	"6.482"
"GO:0006405"	"RNA export from nucleus"	"-6.211"	"6.211"
"GO:0051301"	"cell division"	"-5.987"	"5.987"
"GO:0006366"	"transcription from RNA polymerase II promoter"	"-5.951"	"5.951"
"GO:0060964"	"regulation of gene silencing by miRNA"	"-5.754"	"5.754"
"GO:0000381"	"regulation of alternative mRNA splicing, via spliceosome"	"-5.747"	"5.747"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"-5.602"	"5.602"
"GO:0045292"	"mRNA cis splicing, via spliceosome"	"-5.512"	"5.512"
"GO:0006334"	"nucleosome assembly"	"-5.394"	"5.394"
"GO:0006397"	"mRNA processing"	"-5.329"	"5.329"
"GO:0006289"	"nucleotide-excision repair"	"-5.235"	"5.235"
"GO:0006363"	"termination of RNA polymerase I transcription"	"-5.162"	"5.162"
"GO:0006369"	"termination of RNA polymerase II transcription"	"-5.046"	"5.046"
"GO:0006412"	"translation"	"-5.008"	"5.008"
"GO:0008543"	"fibroblast growth factor receptor signaling pathway"	"-4.808"	"4.808"
"GO:0006293"	"nucleotide-excision repair, preincision complex stabilization"	"-4.663"	"4.663"
"GO:0006325"	"chromatin organization"	"-4.579"	"4.579"
"GO:0007018"	"microtubule-based movement"	"-4.449"	"4.449"
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"-4.39"	"4.39"
"GO:0006383"	"transcription from RNA polymerase III promoter"	"-4.327"	"4.327"
"GO:0006357"	"regulation of transcription from RNA polymerase II promoter"	"-4.279"	"4.279"
"GO:0006361"	"transcription initiation from RNA polymerase I promoter"	"-4.276"	"4.276"
"GO:0000245"	"spliceosomal complex assembly"	"-4.167"	"4.167"
"GO:0002181"	"cytoplasmic translation"	"-4.154"	"4.154"
"GO:0032543"	"mitochondrial translation"	"-3.901"	"3.901"
"GO:0035735"	"intraciliary transport involved in cilium morphogenesis"	"-3.848"	"3.848"
"GO:0006364"	"rRNA processing"	"-3.733"	"3.733"
"GO:0006260"	"DNA replication"	"-3.712"	"3.712"
"GO:0007080"	"mitotic metaphase plate congression"	"-3.69"	"3.69"
"GO:0006298"	"mismatch repair"	"-3.663"	"3.663"
"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"-3.654"	"3.654"
"GO:0070268"	"cornification"	"-3.648"	"3.648"
"GO:0051170"	"nuclear import"	"-3.532"	"3.532"
"GO:0007098"	"centrosome cycle"	"-3.431"	"3.431"
"GO:0006281"	"DNA repair"	"-3.373"	"3.373"
"GO:0006413"	"translational initiation"	"-3.328"	"3.328"
"GO:0000387"	"spliceosomal snRNP assembly"	"-3.204"	"3.204"
"GO:0043484"	"regulation of RNA splicing"	"-3.2"	"3.2"
"GO:0032201"	"telomere maintenance via semi-conservative replication"	"-3.196"	"3.196"
"GO:0097711"	"ciliary basal body docking"	"-3.191"	"3.191"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"-3.18"	"3.18"
"GO:0006284"	"base-excision repair"	"-3.179"	"3.179"
"GO:0045815"	"positive regulation of gene expression, epigenetic"	"-3.152"	"3.152"
"GO:0007059"	"chromosome segregation"	"-3.141"	"3.141"
"GO:0000375"	"RNA splicing, via transesterification reactions"	"-3.086"	"3.086"
"GO:0006468"	"protein phosphorylation"	"-3.084"	"3.084"
"GO:0007049"	"cell cycle"	"-3.077"	"3.077"
"GO:0006396"	"RNA processing"	"-3.041"	"3.041"
"GO:0070534"	"protein K63-linked ubiquitination"	"-3.005"	"3.005"
"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"-3.004"	"3.004"
