"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0003677"	"DNA binding"	"-17.632"	"17.632"
"GO:0003723"	"RNA binding"	"-15.713"	"15.713"
"GO:0000981"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"-15.3"	"15.3"
"GO:0005524"	"ATP binding"	"-9.403"	"9.403"
"GO:0004842"	"ubiquitin-protein transferase activity"	"-8.109"	"8.109"
"GO:0003735"	"structural constituent of ribosome"	"-8.094"	"8.094"
"GO:0046872"	"metal ion binding"	"-7.425"	"7.425"
"GO:0031625"	"ubiquitin protein ligase binding"	"-7.229"	"7.229"
"GO:0003682"	"chromatin binding"	"-6.652"	"6.652"
"GO:0003713"	"transcription coactivator activity"	"-6.374"	"6.374"
"GO:0003729"	"mRNA binding"	"-6.052"	"6.052"
"GO:0043565"	"sequence-specific DNA binding"	"-5.799"	"5.799"
"GO:0031492"	"nucleosomal DNA binding"	"-5.688"	"5.688"
"GO:0003714"	"transcription corepressor activity"	"-5.562"	"5.562"
"GO:0016887"	"ATPase activity"	"-5.475"	"5.475"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"-5.417"	"5.417"
"GO:0003730"	"mRNA 3'-UTR binding"	"-5.204"	"5.204"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"-5.177"	"5.177"
"GO:0017025"	"TBP-class protein binding"	"-5.004"	"5.004"
"GO:0061630"	"ubiquitin protein ligase activity"	"-5.002"	"5.002"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"-4.907"	"4.907"
"GO:0043021"	"ribonucleoprotein complex binding"	"-4.831"	"4.831"
"GO:0003674"	"molecular_function"	"-4.601"	"4.601"
"GO:0008094"	"DNA-dependent ATPase activity"	"-4.477"	"4.477"
"GO:0008134"	"transcription factor binding"	"-4.424"	"4.424"
"GO:0061631"	"ubiquitin conjugating enzyme activity"	"-4.301"	"4.301"
"GO:0008143"	"poly(A) binding"	"-4.3"	"4.3"
"GO:0042393"	"histone binding"	"-4.26"	"4.26"
"GO:0004407"	"histone deacetylase activity"	"-4.202"	"4.202"
"GO:0070034"	"telomerase RNA binding"	"-4.154"	"4.154"
"GO:0003743"	"translation initiation factor activity"	"-4.124"	"4.124"
"GO:0019843"	"rRNA binding"	"-4.116"	"4.116"
"GO:0030515"	"snoRNA binding"	"-4.11"	"4.11"
"GO:0008536"	"Ran GTPase binding"	"-4.054"	"4.054"
"GO:0003684"	"damaged DNA binding"	"-4.045"	"4.045"
"GO:0051082"	"unfolded protein binding"	"-4.003"	"4.003"
"GO:0005516"	"calmodulin binding"	"-3.999"	"3.999"
"GO:0003697"	"single-stranded DNA binding"	"-3.969"	"3.969"
"GO:0035064"	"methylated histone binding"	"-3.922"	"3.922"
"GO:0004674"	"protein serine/threonine kinase activity"	"-3.85"	"3.85"
"GO:0008017"	"microtubule binding"	"-3.78"	"3.78"
"GO:0008266"	"poly(U) RNA binding"	"-3.71"	"3.71"
"GO:1990841"	"promoter-specific chromatin binding"	"-3.701"	"3.701"
"GO:0001227"	"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding"	"-3.635"	"3.635"
"GO:0004386"	"helicase activity"	"-3.628"	"3.628"
"GO:0019904"	"protein domain specific binding"	"-3.595"	"3.595"
"GO:0004003"	"ATP-dependent DNA helicase activity"	"-3.583"	"3.583"
"GO:0005200"	"structural constituent of cytoskeleton"	"-3.518"	"3.518"
"GO:0003727"	"single-stranded RNA binding"	"-3.437"	"3.437"
"GO:0042623"	"ATPase activity, coupled"	"-3.403"	"3.403"
"GO:0003777"	"microtubule motor activity"	"-3.396"	"3.396"
"GO:0004722"	"protein serine/threonine phosphatase activity"	"-3.378"	"3.378"
"GO:0042826"	"histone deacetylase binding"	"-3.303"	"3.303"
"GO:0045505"	"dynein intermediate chain binding"	"-3.279"	"3.279"
"GO:0008574"	"ATP-dependent microtubule motor activity, plus-end-directed"	"-3.26"	"3.26"
"GO:0031369"	"translation initiation factor binding"	"-3.241"	"3.241"
"GO:0005525"	"GTP binding"	"-3.238"	"3.238"
"GO:0070840"	"dynein complex binding"	"-3.222"	"3.222"
"GO:0002039"	"p53 binding"	"-3.205"	"3.205"
"GO:0000979"	"RNA polymerase II core promoter sequence-specific DNA binding"	"-3.198"	"3.198"
"GO:0018024"	"histone-lysine N-methyltransferase activity"	"-3.175"	"3.175"
"GO:0008139"	"nuclear localization sequence binding"	"-3.045"	"3.045"
"GO:0003690"	"double-stranded DNA binding"	"-3.021"	"3.021"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"-3.002"	"3.002"
