"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0006351"	"transcription, DNA-templated"	"-23.45"	"23.45"
"GO:0000398"	"mRNA splicing, via spliceosome"	"-20.953"	"20.953"
"GO:0006357"	"regulation of transcription from RNA polymerase II promoter"	"-18.829"	"18.829"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"-13.916"	"13.916"
"GO:0006413"	"translational initiation"	"-13.316"	"13.316"
"GO:0006412"	"translation"	"-13.315"	"13.315"
"GO:0031124"	"mRNA 3'-end processing"	"-12.545"	"12.545"
"GO:0006406"	"mRNA export from nucleus"	"-12.384"	"12.384"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"-12.13"	"12.13"
"GO:0042795"	"snRNA transcription from RNA polymerase II promoter"	"-12.022"	"12.022"
"GO:0006370"	"7-methylguanosine mRNA capping"	"-10.992"	"10.992"
"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	"-10.991"	"10.991"
"GO:0006405"	"RNA export from nucleus"	"-10.894"	"10.894"
"GO:0006364"	"rRNA processing"	"-10.836"	"10.836"
"GO:0016070"	"RNA metabolic process"	"-10.615"	"10.615"
"GO:0006366"	"transcription from RNA polymerase II promoter"	"-10.271"	"10.271"
"GO:0008380"	"RNA splicing"	"-10.26"	"10.26"
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"-10.135"	"10.135"
"GO:0070126"	"mitochondrial translational termination"	"-9.264"	"9.264"
"GO:0070125"	"mitochondrial translational elongation"	"-9.262"	"9.262"
"GO:0060964"	"regulation of gene silencing by miRNA"	"-9.183"	"9.183"
"GO:0006369"	"termination of RNA polymerase II transcription"	"-8.631"	"8.631"
"GO:0097711"	"ciliary basal body docking"	"-8.517"	"8.517"
"GO:0000278"	"mitotic cell cycle"	"-8.469"	"8.469"
"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"-8.339"	"8.339"
"GO:0006334"	"nucleosome assembly"	"-8.184"	"8.184"
"GO:0006363"	"termination of RNA polymerase I transcription"	"-7.799"	"7.799"
