"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005886"	"plasma membrane"	"43.591"	"-43.591"
"GO:0005576"	"extracellular region"	"31.126"	"-31.126"
"GO:0009897"	"external side of plasma membrane"	"29.249"	"-29.249"
"GO:0005887"	"integral component of plasma membrane"	"27.559"	"-27.559"
"GO:0005615"	"extracellular space"	"27.132"	"-27.132"
"GO:0042571"	"immunoglobulin complex, circulating"	"25.919"	"-25.919"
"GO:0062023"	NA	"19.414"	"-19.414"
"GO:0009986"	"cell surface"	"19.023"	"-19.023"
"GO:0043235"	"receptor complex"	"18.071"	"-18.071"
"GO:0005788"	"endoplasmic reticulum lumen"	"16.828"	"-16.828"
"GO:0072562"	"blood microparticle"	"15.361"	"-15.361"
"GO:0045121"	"membrane raft"	"14.485"	"-14.485"
"GO:0016021"	"integral component of membrane"	"13.36"	"-13.36"
"GO:0031093"	"platelet alpha granule lumen"	"13.334"	"-13.334"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"12.37"	"-12.37"
"GO:0031012"	"extracellular matrix"	"11.892"	"-11.892"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"11.622"	"-11.622"
"GO:0030027"	"lamellipodium"	"11.546"	"-11.546"
"GO:0005604"	"basement membrane"	"11.474"	"-11.474"
"GO:0098978"	"glutamatergic synapse"	"11.227"	"-11.227"
"GO:0000139"	"Golgi membrane"	"11.045"	"-11.045"
"GO:0005911"	"cell-cell junction"	"10.966"	"-10.966"
"GO:0016323"	"basolateral plasma membrane"	"10.721"	"-10.721"
"GO:0016324"	"apical plasma membrane"	"10.447"	"-10.447"
"GO:0031226"	"intrinsic component of plasma membrane"	"10.404"	"-10.404"
"GO:0070062"	"extracellular exosome"	"10.242"	"-10.242"
"GO:0030054"	"cell junction"	"10.024"	"-10.024"
"GO:0005622"	"intracellular"	"9.931"	"-9.931"
"GO:0042629"	"mast cell granule"	"9.489"	"-9.489"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"9.143"	"-9.143"
"GO:0045211"	"postsynaptic membrane"	"8.877"	"-8.877"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"8.87"	"-8.87"
"GO:0005796"	"Golgi lumen"	"8.687"	"-8.687"
"GO:0030425"	"dendrite"	"8.558"	"-8.558"
"GO:0043005"	"neuron projection"	"8.407"	"-8.407"
"GO:0043197"	"dendritic spine"	"8.324"	"-8.324"
