"ENSG00000094914","AAAS"
"ENSG00000196839","ADA"
"ENSG00000174233","ADCY6"
"ENSG00000130706","ADRM1"
"ENSG00000106992","AK1"
"ENSG00000147853","AK3"
"ENSG00000198931","APRT"
"ENSG00000170540","ARL6IP1"
"ENSG00000187244","BCAM"
"ENSG00000185825","BCAP31"
"ENSG00000183336","BOLA2"
"ENSG00000104221","BRF2"
"ENSG00000171302","CANT1"
"ENSG00000152669","CCNO"
"ENSG00000158825","CDA"
"ENSG00000147400","CETN2"
"ENSG00000172409","CLP1"
"ENSG00000134326","CMPK2"
"ENSG00000138495","COX17"
"ENSG00000176102","CSTF3"
"ENSG00000129562","DAD1"
"ENSG00000132912","DCTN4"
"ENSG00000167986","DDB1"
"ENSG00000134574","DDB2"
"ENSG00000105928","DFNA5"
"ENSG00000128191","DGCR8"
"ENSG00000114956","DGUOK"
"ENSG00000128951","DUT"
"ENSG00000107223","EDF1"
"ENSG00000114784","EIF1B"
"ENSG00000105656","ELL"
"ENSG00000012061","ERCC1"
"ENSG00000104884","ERCC2"
"ENSG00000163161","ERCC3"
"ENSG00000175595","ERCC4"
"ENSG00000134899","ERCC5"
"ENSG00000049167","ERCC8"
"ENSG00000168496","FEN1"
"ENSG00000100938","GMPR2"
"ENSG00000167468","GPX4"
"ENSG00000140307","GTF2A2"
"ENSG00000137947","GTF2B"
"ENSG00000125651","GTF2F1"
"ENSG00000110768","GTF2H1"
"ENSG00000111358","GTF2H3"
"ENSG00000272047","GTF2H5"
"ENSG00000148308","GTF3C5"
"ENSG00000143774","GUK1"
"ENSG00000180353","HCLS1"
"ENSG00000165704","HPRT1"
"ENSG00000178035","IMPDH2"
"ENSG00000125877","ITPA"
"ENSG00000105486","LIG1"
"ENSG00000103152","MPG"
"ENSG00000185608","MRPL40"
"ENSG00000114503","NCBP2"
"ENSG00000086102","NFX1"
"ENSG00000239672","NME1"
"ENSG00000103024","NME3"
"ENSG00000103202","NME4"
"ENSG00000159899","NPR2"
"ENSG00000125458","NT5C"
"ENSG00000167005","NUDT21"
"ENSG00000170502","NUDT9"
"ENSG00000132646","PCNA"
"ENSG00000184588","PDE4B"
"ENSG00000185527","PDE6G"
"ENSG00000198805","PNP"
"ENSG00000101868","POLA1"
"ENSG00000014138","POLA2"
"ENSG00000070501","POLB"
"ENSG00000062822","POLD1"
"ENSG00000077514","POLD3"
"ENSG00000175482","POLD4"
"ENSG00000115350","POLE4"
"ENSG00000170734","POLH"
"ENSG00000166169","POLL"
"ENSG00000171453","POLR1C"
"ENSG00000186184","POLR1D"
"ENSG00000181222","POLR2A"
"ENSG00000102978","POLR2C"
"ENSG00000144231","POLR2D"
"ENSG00000099817","POLR2E"
"ENSG00000100142","POLR2F"
"ENSG00000168002","POLR2G"
"ENSG00000163882","POLR2H"
"ENSG00000105258","POLR2I"
"ENSG00000005075","POLR2J"
"ENSG00000147669","POLR2K"
"ENSG00000186141","POLR3C"
"ENSG00000121851","POLR3GL"
"ENSG00000196313","POM121"
"ENSG00000198056","PRIM1"
"ENSG00000051180","RAD51"
"ENSG00000002016","RAD52"
"ENSG00000101146","RAE1"
"ENSG00000006451","RALA"
"ENSG00000100387","RBX1"
"ENSG00000009413","REV3L"
"ENSG00000049541","RFC2"
"ENSG00000133119","RFC3"
"ENSG00000163918","RFC4"
"ENSG00000111445","RFC5"
"ENSG00000101654","RNMT"
"ENSG00000117748","RPA2"
"ENSG00000106399","RPA3"
"ENSG00000048392","RRM2B"
"ENSG00000168061","SAC3D1"
"ENSG00000137575","SDCBP"
"ENSG00000058262","SEC61A1"
"ENSG00000183431","SF3A3"
"ENSG00000113658","SMAD5"
"ENSG00000165684","SNAPC4"
"ENSG00000174446","SNAPC5"
"ENSG00000124193","SRSF6"
"ENSG00000149136","SSRP1"
"ENSG00000166900","STX3"
"ENSG00000213246","SUPT4H1"
"ENSG00000196235","SUPT5H"
"ENSG00000148290","SURF1"
"ENSG00000280627","SURF1"
"ENSG00000166337","TAF10"
"ENSG00000120656","TAF12"
"ENSG00000197780","TAF13"
"ENSG00000103168","TAF1C"
"ENSG00000106290","TAF6"
"ENSG00000273841","TAF9"
"ENSG00000276463","TAF9"
"ENSG00000139546","TARBP2"
"ENSG00000011007","TCEB3"
"ENSG00000166548","TK2"
"ENSG00000086598","TMED2"
"ENSG00000141510","TP53"
"ENSG00000074319","TSG101"
"ENSG00000176890","TYMS"
"ENSG00000114491","UMPS"
"ENSG00000125351","UPF3B"
"ENSG00000102226","USP11"
"ENSG00000160948","VPS28"
"ENSG00000139722","VPS37B"
"ENSG00000176428","VPS37D"
"ENSG00000154767","XPC"
"ENSG00000181135","ZNF707"
"ENSG00000274352","ZNF707"
"ENSG00000066379","ZNRD1"
"ENSG00000206502","ZNRD1"
"ENSG00000224859","ZNRD1"
"ENSG00000233795","ZNRD1"
"ENSG00000235176","ZNRD1"
"ENSG00000235443","ZNRD1"
"ENSG00000236808","ZNRD1"
"ENSG00000236949","ZNRD1"
"ENSG00000122952","ZWINT"
