"ENSG00000154175","ABI3BP"
"ENSG00000107796","ACTA2"
"ENSG00000148848","ADAM12"
"ENSG00000166825","ANPEP"
"ENSG00000105290","APLP1"
"ENSG00000109321","AREG"
"ENSG00000176788","BASP1"
"ENSG00000176697","BDNF"
"ENSG00000182492","BGN"
"ENSG00000168487","BMP1"
"ENSG00000182985","CADM1"
"ENSG00000122786","CALD1"
"ENSG00000128595","CALU"
"ENSG00000112186","CAP2"
"ENSG00000042493","CAPG"
"ENSG00000026508","CD44"
"ENSG00000085063","CD59"
"ENSG00000140937","CDH11"
"ENSG00000170558","CDH2"
"ENSG00000113361","CDH6"
"ENSG00000060718","COL11A1"
"ENSG00000111799","COL12A1"
"ENSG00000084636","COL16A1"
"ENSG00000108821","COL1A1"
"ENSG00000164692","COL1A2"
"ENSG00000168542","COL3A1"
"ENSG00000187498","COL4A1"
"ENSG00000134871","COL4A2"
"ENSG00000130635","COL5A1"
"ENSG00000204262","COL5A2"
"ENSG00000080573","COL5A3"
"ENSG00000142173","COL6A2"
"ENSG00000163359","COL6A3"
"ENSG00000114270","COL7A1"
"ENSG00000171812","COL8A2"
"ENSG00000105664","COMP"
"ENSG00000122218","COPA"
"ENSG00000006016","CRLF1"
"ENSG00000118523","CTGF"
"ENSG00000164932","CTHRC1"
"ENSG00000163739","CXCL1"
"ENSG00000107562","CXCL12"
"ENSG00000124875","CXCL6"
"ENSG00000142871","CYR61"
"ENSG00000153071","DAB2"
"ENSG00000011465","DCN"
"ENSG00000107984","DKK1"
"ENSG00000113657","DPYSL3"
"ENSG00000151914","DST"
"ENSG00000143369","ECM1"
"ENSG00000106823","ECM2"
"ENSG00000164176","EDIL3"
"ENSG00000172638","EFEMP2"
"ENSG00000049540","ELN"
"ENSG00000142227","EMP3"
"ENSG00000111674","ENO2"
"ENSG00000078098","FAP"
"ENSG00000026103","FAS"
"ENSG00000077942","FBLN1"
"ENSG00000163520","FBLN2"
"ENSG00000140092","FBLN5"
"ENSG00000166147","FBN1"
"ENSG00000138829","FBN2"
"ENSG00000073712","FERMT2"
"ENSG00000138685","FGF2"
"ENSG00000196924","FLNA"
"ENSG00000122176","FMOD"
"ENSG00000115414","FN1"
"ENSG00000176692","FOXC2"
"ENSG00000163430","FSTL1"
"ENSG00000070404","FSTL3"
"ENSG00000179163","FUCA1"
"ENSG00000177283","FZD8"
"ENSG00000116717","GADD45A"
"ENSG00000099860","GADD45B"
"ENSG00000180447","GAS1"
"ENSG00000164949","GEM"
"ENSG00000152661","GJA1"
"ENSG00000139278","GLIPR1"
"ENSG00000063660","GPC1"
"ENSG00000116157","GPX7"
"ENSG00000166923","GREM1"
"ENSG00000276886","GREM1"
"ENSG00000282046","GREM1"
"ENSG00000166033","HTRA1"
"ENSG00000115738","ID2"
"ENSG00000115457","IGFBP2"
"ENSG00000146674","IGFBP3"
"ENSG00000141753","IGFBP4"
"ENSG00000164136","IL15"
"ENSG00000008517","IL32"
"ENSG00000136244","IL6"
"ENSG00000122641","INHBA"
"ENSG00000164171","ITGA2"
"ENSG00000161638","ITGA5"
"ENSG00000138448","ITGAV"
"ENSG00000150093","ITGB1"
"ENSG00000259207","ITGB3"
"ENSG00000082781","ITGB5"
"ENSG00000177606","JUN"
"ENSG00000101680","LAMA1"
"ENSG00000196569","LAMA2"
"ENSG00000053747","LAMA3"
"ENSG00000135862","LAMC1"
"ENSG00000058085","LAMC2"
"ENSG00000100097","LGALS1"
"ENSG00000113083","LOX"
"ENSG00000129038","LOXL1"
"ENSG00000134013","LOXL2"
"ENSG00000123384","LRP1"
"ENSG00000172061","LRRC15"
"ENSG00000139329","LUM"
"ENSG00000198934","MAGEE1"
"ENSG00000132561","MATN2"
"ENSG00000132031","MATN3"
"ENSG00000166508","MCM7"
"ENSG00000106484","MEST"
"ENSG00000197614","MFAP5"
"ENSG00000111341","MGP"
"ENSG00000196611","MMP1"
"ENSG00000157227","MMP14"
"ENSG00000087245","MMP2"
"ENSG00000149968","MMP3"
"ENSG00000163132","MSX1"
"ENSG00000101825","MXRA5"
"ENSG00000101335","MYL9"
"ENSG00000065534","MYLK"
"ENSG00000087303","NID2"
"ENSG00000166741","NNMT"
"ENSG00000134250","NOTCH2"
"ENSG00000135318","NT5E"
"ENSG00000182667","NTM"
"ENSG00000180914","OXTR"
"ENSG00000106333","PCOLCE"
"ENSG00000163710","PCOLCE2"
"ENSG00000113721","PDGFRB"
"ENSG00000131435","PDLIM4"
"ENSG00000070087","PFN2"
"ENSG00000011422","PLAUR"
"ENSG00000083444","PLOD1"
"ENSG00000152952","PLOD2"
"ENSG00000106397","PLOD3"
"ENSG00000124225","PMEPA1"
"ENSG00000109099","PMP22"
"ENSG00000133110","POSTN"
"ENSG00000166794","PPIB"
"ENSG00000116132","PRRX1"
"ENSG00000275896","PRSS2"
"ENSG00000282049","PRSS2"
"ENSG00000087494","PTHLH"
"ENSG00000163661","PTX3"
"ENSG00000073008","PVR"
"ENSG00000116260","QSOX1"
"ENSG00000117152","RGS4"
"ENSG00000143878","RHOB"
"ENSG00000130066","SAT1"
"ENSG00000171951","SCG2"
"ENSG00000115884","SDC1"
"ENSG00000124145","SDC4"
"ENSG00000106366","SERPINE1"
"ENSG00000135919","SERPINE2"
"ENSG00000149257","SERPINH1"
"ENSG00000104332","SFRP1"
"ENSG00000106483","SFRP4"
"ENSG00000163069","SGCB"
"ENSG00000170624","SGCD"
"ENSG00000102683","SGCG"
"ENSG00000130821","SLC6A8"
"ENSG00000145147","SLIT2"
"ENSG00000184347","SLIT3"
"ENSG00000019549","SNAI2"
"ENSG00000172164","SNTB1"
"ENSG00000113140","SPARC"
"ENSG00000152377","SPOCK1"
"ENSG00000118785","SPP1"
"ENSG00000149591","TAGLN"
"ENSG00000105825","TFPI2"
"ENSG00000105329","TGFB1"
"ENSG00000120708","TGFBI"
"ENSG00000069702","TGFBR3"
"ENSG00000198959","TGM2"
"ENSG00000137801","THBS1"
"ENSG00000186340","THBS2"
"ENSG00000154096","THY1"
"ENSG00000102265","TIMP1"
"ENSG00000100234","TIMP3"
"ENSG00000041982","TNC"
"ENSG00000118503","TNFAIP3"
"ENSG00000164761","TNFRSF11B"
"ENSG00000006327","TNFRSF12A"
"ENSG00000140416","TPM1"
"ENSG00000198467","TPM2"
"ENSG00000167460","TPM4"
"ENSG00000162692","VCAM1"
"ENSG00000038427","VCAN"
"ENSG00000112715","VEGFA"
"ENSG00000150630","VEGFC"
"ENSG00000026025","VIM"
