"ENSG00000183044","ABAT"
"ENSG00000167972","ABCA3"
"ENSG00000140526","ABHD2"
"ENSG00000099204","ABLIM1"
"ENSG00000164742","ADCY1"
"ENSG00000162104","ADCY9"
"ENSG00000148700","ADD3"
"ENSG00000172493","AFF1"
"ENSG00000121057","AKAP1"
"ENSG00000006534","ALDH3B1"
"ENSG00000159461","AMFR"
"ENSG00000143412","ANXA9"
"ENSG00000165272","AQP3"
"ENSG00000169083","AR"
"ENSG00000109321","AREG"
"ENSG00000138175","ARL3"
"ENSG00000196372","ASB13"
"ENSG00000086062","B4GALT1"
"ENSG00000107262","BAG1"
"ENSG00000127152","BCL11B"
"ENSG00000171791","BCL2"
"ENSG00000134107","BHLHE40"
"ENSG00000090013","BLVRB"
"ENSG00000074410","CA12"
"ENSG00000172137","CALB2"
"ENSG00000282830","CALB2"
"ENSG00000004948","CALCR"
"ENSG00000171302","CANT1"
"ENSG00000129993","CBFA2T3"
"ENSG00000110092","CCND1"
"ENSG00000026508","CD44"
"ENSG00000075275","CELSR1"
"ENSG00000143126","CELSR2"
"ENSG00000111666","CHPT1"
"ENSG00000114737","CISH"
"ENSG00000181885","CLDN7"
"ENSG00000169583","CLIC3"
"ENSG00000107562","CXCL12"
"ENSG00000003137","CYP26B1"
"ENSG00000155792","DEPTOR"
"ENSG00000172893","DHCR7"
"ENSG00000100867","DHRS2"
"ENSG00000162496","DHRS3"
"ENSG00000164741","DLC1"
"ENSG00000165169","DYNLT3"
"ENSG00000179388","EGR3"
"ENSG00000120690","ELF1"
"ENSG00000163435","ELF3"
"ENSG00000197977","ELOVL2"
"ENSG00000012660","ELOVL5"
"ENSG00000149218","ENDOD1"
"ENSG00000103067","ESRP2"
"ENSG00000167106","FAM102A"
"ENSG00000154153","FAM134B"
"ENSG00000143409","FAM63A"
"ENSG00000152767","FARP1"
"ENSG00000169710","FASN"
"ENSG00000079459","FDFT1"
"ENSG00000115641","FHL2"
"ENSG00000004478","FKBP4"
"ENSG00000096060","FKBP5"
"ENSG00000136068","FLNB"
"ENSG00000170345","FOS"
"ENSG00000054598","FOXC1"
"ENSG00000111816","FRK"
"ENSG00000033327","GAB2"
"ENSG00000151892","GFRA1"
"ENSG00000152661","GJA1"
"ENSG00000102393","GLA"
"ENSG00000196208","GREB1"
"ENSG00000114315","HES1"
"ENSG00000168453","HR"
"ENSG00000152137","HSPB8"
"ENSG00000140443","IGF1R"
"ENSG00000141753","IGFBP4"
"ENSG00000056736","IL17RB"
"ENSG00000134352","IL6ST"
"ENSG00000163083","INHBB"
"ENSG00000198825","INPP5F"
"ENSG00000143319","ISG20L2"
"ENSG00000100605","ITPK1"
"ENSG00000274958","ITPK1"
"ENSG00000096968","JAK2"
"ENSG00000189337","KAZN"
"ENSG00000124249","KCNK15"
"ENSG00000164626","KCNK5"
"ENSG00000127663","KDM4B"
"ENSG00000155090","KLF10"
"ENSG00000136826","KLF4"
"ENSG00000129451","KLK10"
"ENSG00000171401","KRT13"
"ENSG00000171346","KRT15"
"ENSG00000111057","KRT18"
"ENSG00000171345","KRT19"
"ENSG00000170421","KRT8"
"ENSG00000159166","LAD1"
"ENSG00000144749","LRIG1"
"ENSG00000282243","LRIG1"
"ENSG00000186868","MAPT"
"ENSG00000276155","MAPT"
"ENSG00000277956","MAPT"
"ENSG00000069020","MAST4"
"ENSG00000123066","MED13L"
"ENSG00000008838","MED24"
"ENSG00000204516","MICB"
"ENSG00000206449","MICB"
"ENSG00000224378","MICB"
"ENSG00000227772","MICB"
"ENSG00000231179","MICB"
"ENSG00000231372","MICB"
"ENSG00000234218","MICB"
"ENSG00000238289","MICB"
