"ENSG00000097007","ABL1"
"ENSG00000123505","AMD1"
"ENSG00000032219","ARID4A"
"ENSG00000169136","ATF5"
"ENSG00000085224","ATRX"
"ENSG00000087586","AURKA"
"ENSG00000178999","AURKB"
"ENSG00000138376","BARD1"
"ENSG00000069399","BCL3"
"ENSG00000089685","BIRC5"
"ENSG00000139618","BRCA2"
"ENSG00000169679","BUB1"
"ENSG00000154473","BUB3"
"ENSG00000118412","CASP8AP2"
"ENSG00000108468","CBX1"
"ENSG00000145386","CCNA2"
"ENSG00000157456","CCNB2"
"ENSG00000110092","CCND1"
"ENSG00000162063","CCNF"
"ENSG00000129315","CCNT1"
"ENSG00000117399","CDC20"
"ENSG00000164045","CDC25A"
"ENSG00000101224","CDC25B"
"ENSG00000004897","CDC27"
"ENSG00000093009","CDC45"
"ENSG00000094804","CDC6"
"ENSG00000097046","CDC7"
"ENSG00000170312","CDK1"
"ENSG00000135446","CDK4"
"ENSG00000111276","CDKN1B"
"ENSG00000123080","CDKN2C"
"ENSG00000100526","CDKN3"
"ENSG00000115163","CENPA"
"ENSG00000138778","CENPE"
"ENSG00000117724","CENPF"
"ENSG00000167670","CHAF1A"
"ENSG00000149554","CHEK1"
"ENSG00000131165","CHMP1A"
"ENSG00000173207","CKS1B"
"ENSG00000123975","CKS2"
"ENSG00000102974","CTCF"
"ENSG00000055130","CUL1"
"ENSG00000036257","CUL3"
"ENSG00000139842","CUL4A"
"ENSG00000166266","CUL5"
"ENSG00000006634","DBF4"
"ENSG00000123136","DDX39A"
"ENSG00000130826","DKC1"
"ENSG00000198947","DMD"
"ENSG00000117505","DR1"
"ENSG00000168393","DTYMK"
"ENSG00000101412","E2F1"
"ENSG00000007968","E2F2"
"ENSG00000282899","E2F2"
"ENSG00000112242","E2F3"
"ENSG00000205250","E2F4"
"ENSG00000184349","EFNA5"
"ENSG00000138798","EGF"
"ENSG00000135476","ESPL1"
"ENSG00000182944","EWSR1"
"ENSG00000174371","EXO1"
"ENSG00000106462","EZH2"
"ENSG00000158169","FANCC"
"ENSG00000112029","FBXO5"
"ENSG00000053254","FOXN3"
"ENSG00000145907","G3BP1"
"ENSG00000131153","GINS2"
"ENSG00000103342","GSPT1"
"ENSG00000105968","H2AFV"
"ENSG00000188486","H2AFX"
"ENSG00000164032","H2AFZ"
"ENSG00000100644","HIF1A"
"ENSG00000100084","HIRA"
"ENSG00000197903","HIST1H2BK"
