"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0070062"	"extracellular exosome"	"29.767"	"-29.767"
"GO:0005759"	"mitochondrial matrix"	"27.399"	"-27.399"
"GO:0043202"	"lysosomal lumen"	"23.492"	"-23.492"
"GO:0005796"	"Golgi lumen"	"22.018"	"-22.018"
"GO:0005829"	"cytosol"	"19.551"	"-19.551"
"GO:0043209"	"myelin sheath"	"18.527"	"-18.527"
"GO:0005739"	"mitochondrion"	"18.39"	"-18.39"
"GO:1904813"	"ficolin-1-rich granule lumen"	"18.079"	"-18.079"
"GO:0062023"	NA	"17.82"	"-17.82"
"GO:0034774"	"secretory granule lumen"	"16.342"	"-16.342"
"GO:0000139"	"Golgi membrane"	"15.418"	"-15.418"
"GO:0000502"	"proteasome complex"	"14.891"	"-14.891"
"GO:0046658"	"anchored component of plasma membrane"	"14.009"	"-14.009"
"GO:0031012"	"extracellular matrix"	"13.491"	"-13.491"
"GO:0005576"	"extracellular region"	"13.384"	"-13.384"
"GO:0005737"	"cytoplasm"	"12.952"	"-12.952"
"GO:0042470"	"melanosome"	"11.269"	"-11.269"
"GO:0005874"	"microtubule"	"10.958"	"-10.958"
"GO:0005839"	"proteasome core complex"	"9.913"	"-9.913"
"GO:0035578"	"azurophil granule lumen"	"9.682"	"-9.682"
"GO:0005615"	"extracellular space"	"8.484"	"-8.484"
"GO:0015630"	"microtubule cytoskeleton"	"8.369"	"-8.369"
"GO:0042645"	"mitochondrial nucleoid"	"7.274"	"-7.274"
"GO:0032580"	"Golgi cisterna membrane"	"7.128"	"-7.128"
"GO:0072562"	"blood microparticle"	"7.04"	"-7.04"
"GO:0016020"	"membrane"	"6.959"	"-6.959"
"GO:0005788"	"endoplasmic reticulum lumen"	"6.848"	"-6.848"
"GO:0044297"	"cell body"	"6.77"	"-6.77"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"6.699"	"-6.699"
"GO:0097546"	"ciliary base"	"6.584"	"-6.584"
"GO:0030133"	"transport vesicle"	"6.564"	"-6.564"
"GO:0005777"	"peroxisome"	"6.429"	"-6.429"
"GO:0030017"	"sarcomere"	"5.656"	"-5.656"
"GO:0030173"	"integral component of Golgi membrane"	"5.655"	"-5.655"
"GO:0005930"	"axoneme"	"5.558"	"-5.558"
"GO:0005902"	"microvillus"	"5.517"	"-5.517"
"GO:0005758"	"mitochondrial intermembrane space"	"5.476"	"-5.476"
"GO:0005794"	"Golgi apparatus"	"5.474"	"-5.474"
"GO:0005811"	"lipid particle"	"5.426"	"-5.426"
"GO:0005771"	"multivesicular body"	"5.422"	"-5.422"
"GO:0005778"	"peroxisomal membrane"	"5.074"	"-5.074"
"GO:0000786"	"nucleosome"	"5.051"	"-5.051"
"GO:0016324"	"apical plasma membrane"	"4.865"	"-4.865"
"GO:0044295"	"axonal growth cone"	"4.767"	"-4.767"
"GO:0044853"	"plasma membrane raft"	"4.745"	"-4.745"
"GO:0030175"	"filopodium"	"4.733"	"-4.733"
"GO:0005819"	"spindle"	"4.584"	"-4.584"
"GO:0034364"	"high-density lipoprotein particle"	"4.526"	"-4.526"
"GO:0031514"	"motile cilium"	"4.483"	"-4.483"
"GO:0034399"	"nuclear periphery"	"4.439"	"-4.439"
"GO:0045121"	"membrane raft"	"4.362"	"-4.362"
"GO:0048471"	"perinuclear region of cytoplasm"	"4.247"	"-4.247"
"GO:0031225"	"anchored component of membrane"	"4.121"	"-4.121"
"GO:0005604"	"basement membrane"	"4.098"	"-4.098"
"GO:0008180"	"COP9 signalosome"	"4.056"	"-4.056"
"GO:0005782"	"peroxisomal matrix"	"3.998"	"-3.998"
"GO:0030315"	"T-tubule"	"3.955"	"-3.955"
"GO:0005764"	"lysosome"	"3.954"	"-3.954"
"GO:0043025"	"neuronal cell body"	"3.655"	"-3.655"
"GO:0000159"	"protein phosphatase type 2A complex"	"3.506"	"-3.506"
"GO:0000777"	"condensed chromosome kinetochore"	"3.45"	"-3.45"
"GO:0030057"	"desmosome"	"3.438"	"-3.438"
"GO:0005765"	"lysosomal membrane"	"3.41"	"-3.41"
"GO:0005774"	"vacuolar membrane"	"3.398"	"-3.398"
"GO:0005790"	"smooth endoplasmic reticulum"	"3.347"	"-3.347"
"GO:0031528"	"microvillus membrane"	"3.308"	"-3.308"
"GO:0005643"	"nuclear pore"	"3.3"	"-3.3"
"GO:0005783"	"endoplasmic reticulum"	"3.272"	"-3.272"
"GO:0001725"	"stress fiber"	"3.252"	"-3.252"
"GO:0005789"	"endoplasmic reticulum membrane"	"3.195"	"-3.195"
"GO:1903561"	"extracellular vesicle"	"3.147"	"-3.147"
"GO:0015629"	"actin cytoskeleton"	"3.131"	"-3.131"
