"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0008146"	"sulfotransferase activity"	"40.619"	"-40.619"
"GO:0005524"	"ATP binding"	"22.739"	"-22.739"
"GO:0030170"	"pyridoxal phosphate binding"	"19.943"	"-19.943"
"GO:0051082"	"unfolded protein binding"	"15.53"	"-15.53"
"GO:0051287"	"NAD binding"	"15.419"	"-15.419"
"GO:0005525"	"GTP binding"	"14.266"	"-14.266"
"GO:0005200"	"structural constituent of cytoskeleton"	"14.073"	"-14.073"
"GO:0016887"	"ATPase activity"	"11.86"	"-11.86"
"GO:0009055"	"electron carrier activity"	"11.631"	"-11.631"
"GO:0003924"	"GTPase activity"	"11.05"	"-11.05"
"GO:0042623"	"ATPase activity, coupled"	"10.747"	"-10.747"
"GO:0004298"	"threonine-type endopeptidase activity"	"10.432"	"-10.432"
"GO:0016787"	"hydrolase activity"	"10.241"	"-10.241"
"GO:0031072"	"heat shock protein binding"	"10.033"	"-10.033"
"GO:0051087"	"chaperone binding"	"9.944"	"-9.944"
"GO:0004175"	"endopeptidase activity"	"9.869"	"-9.869"
"GO:0000049"	"tRNA binding"	"9.692"	"-9.692"
"GO:0005201"	"extracellular matrix structural constituent"	"8.785"	"-8.785"
"GO:0044183"	"protein binding involved in protein folding"	"8.709"	"-8.709"
"GO:0042802"	"identical protein binding"	"8.613"	"-8.613"
"GO:0051787"	"misfolded protein binding"	"8.421"	"-8.421"
"GO:0000287"	"magnesium ion binding"	"8.221"	"-8.221"
"GO:0015485"	"cholesterol binding"	"8.051"	"-8.051"
"GO:0005539"	"glycosaminoglycan binding"	"7.853"	"-7.853"
"GO:0030234"	"enzyme regulator activity"	"7.795"	"-7.795"
"GO:0005198"	"structural molecule activity"	"7.625"	"-7.625"
"GO:0043531"	"ADP binding"	"7.104"	"-7.104"
"GO:0097718"	"disordered domain specific binding"	"6.975"	"-6.975"
"GO:0030552"	"cAMP binding"	"6.902"	"-6.902"
"GO:0050661"	"NADP binding"	"6.773"	"-6.773"
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	"6.689"	"-6.689"
"GO:0004722"	"protein serine/threonine phosphatase activity"	"6.632"	"-6.632"
"GO:0031625"	"ubiquitin protein ligase binding"	"6.301"	"-6.301"
"GO:0016491"	"oxidoreductase activity"	"6.216"	"-6.216"
"GO:0015020"	"glucuronosyltransferase activity"	"6.21"	"-6.21"
"GO:0031210"	"phosphatidylcholine binding"	"6.121"	"-6.121"
"GO:0042803"	"protein homodimerization activity"	"6.096"	"-6.096"
"GO:0003743"	"translation initiation factor activity"	"5.934"	"-5.934"
"GO:0050840"	"extracellular matrix binding"	"5.869"	"-5.869"
"GO:0008135"	"translation factor activity, RNA binding"	"5.736"	"-5.736"
"GO:0008565"	"protein transporter activity"	"5.623"	"-5.623"
"GO:0000166"	"nucleotide binding"	"5.425"	"-5.425"
"GO:0043022"	"ribosome binding"	"5.405"	"-5.405"
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"5.4"	"-5.4"
"GO:0004601"	"peroxidase activity"	"4.95"	"-4.95"
"GO:0042277"	"peptide binding"	"4.808"	"-4.808"
"GO:0050750"	"low-density lipoprotein particle receptor binding"	"4.679"	"-4.679"
"GO:0019888"	"protein phosphatase regulator activity"	"4.586"	"-4.586"
"GO:0015035"	"protein disulfide oxidoreductase activity"	"4.409"	"-4.409"
"GO:0042626"	"ATPase activity, coupled to transmembrane movement of substances"	"4.349"	"-4.349"
"GO:0005509"	"calcium ion binding"	"4.297"	"-4.297"
"GO:0030246"	"carbohydrate binding"	"4.05"	"-4.05"
"GO:0051015"	"actin filament binding"	"3.971"	"-3.971"
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	"3.964"	"-3.964"
"GO:0004177"	"aminopeptidase activity"	"3.809"	"-3.809"
"GO:0046983"	"protein dimerization activity"	"3.744"	"-3.744"
"GO:0004721"	"phosphoprotein phosphatase activity"	"3.706"	"-3.706"
"GO:0008536"	"Ran GTPase binding"	"3.693"	"-3.693"
"GO:0045296"	"cadherin binding"	"3.686"	"-3.686"
"GO:0030020"	"extracellular matrix structural constituent conferring tensile strength"	"3.606"	"-3.606"
"GO:0005178"	"integrin binding"	"3.581"	"-3.581"
"GO:0003725"	"double-stranded RNA binding"	"3.464"	"-3.464"
"GO:0019003"	"GDP binding"	"3.411"	"-3.411"
"GO:0019900"	"kinase binding"	"3.405"	"-3.405"
"GO:0003841"	"1-acylglycerol-3-phosphate O-acyltransferase activity"	"3.362"	"-3.362"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"3.36"	"-3.36"
"GO:0050660"	"flavin adenine dinucleotide binding"	"3.324"	"-3.324"
"GO:0030544"	"Hsp70 protein binding"	"3.278"	"-3.278"
"GO:0001968"	"fibronectin binding"	"3.255"	"-3.255"
"GO:0004222"	"metalloendopeptidase activity"	"3.233"	"-3.233"
"GO:0030742"	"GTP-dependent protein binding"	"3.145"	"-3.145"
"GO:0019899"	"enzyme binding"	"3.117"	"-3.117"
"GO:0005507"	"copper ion binding"	"3.105"	"-3.105"
"GO:0001530"	"lipopolysaccharide binding"	"3.058"	"-3.058"
"GO:0097110"	"scaffold protein binding"	"3.058"	"-3.058"
"GO:0015459"	"potassium channel regulator activity"	"3.051"	"-3.051"
