"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0000398"	"mRNA splicing, via spliceosome"	"-8.437"	"8.437"
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"-7.611"	"7.611"
"GO:0006412"	"translation"	"-6.578"	"6.578"
"GO:0006413"	"translational initiation"	"-6.011"	"6.011"
"GO:0051085"	"chaperone mediated protein folding requiring cofactor"	"-5.704"	"5.704"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"-5.527"	"5.527"
"GO:0016070"	"RNA metabolic process"	"-5.317"	"5.317"
"GO:0006986"	"response to unfolded protein"	"-5.307"	"5.307"
"GO:0042026"	"protein refolding"	"-5.282"	"5.282"
"GO:0007218"	"neuropeptide signaling pathway"	"-5.132"	"5.132"
"GO:0070125"	"mitochondrial translational elongation"	"-4.855"	"4.855"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"-4.816"	"4.816"
"GO:0070126"	"mitochondrial translational termination"	"-4.702"	"4.702"
"GO:0006364"	"rRNA processing"	"-4.612"	"4.612"
"GO:0006457"	"protein folding"	"-4.537"	"4.537"
"GO:0006370"	"7-methylguanosine mRNA capping"	"-4.317"	"4.317"
"GO:0034620"	"cellular response to unfolded protein"	"-4.282"	"4.282"
"GO:0046034"	"ATP metabolic process"	"-4.22"	"4.22"
"GO:0048208"	"COPII vesicle coating"	"-4.097"	"4.097"
"GO:0061844"	NA	"-4.015"	"4.015"
"GO:0060964"	"regulation of gene silencing by miRNA"	"-4.008"	"4.008"
"GO:0007200"	"phospholipase C-activating G-protein coupled receptor signaling pathway"	"-3.953"	"3.953"
"GO:0008380"	"RNA splicing"	"-3.911"	"3.911"
"GO:0006096"	"glycolytic process"	"-3.897"	"3.897"
"GO:0006099"	"tricarboxylic acid cycle"	"-3.648"	"3.648"
"GO:0007189"	"adenylate cyclase-activating G-protein coupled receptor signaling pathway"	"-3.607"	"3.607"
"GO:0006891"	"intra-Golgi vesicle-mediated transport"	"-3.519"	"3.519"
"GO:0097711"	"ciliary basal body docking"	"-3.475"	"3.475"
"GO:0007187"	"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	"-3.446"	"3.446"
"GO:0006303"	"double-strand break repair via nonhomologous end joining"	"-3.419"	"3.419"
"GO:0007017"	"microtubule-based process"	"-3.418"	"3.418"
"GO:0006890"	"retrograde vesicle-mediated transport, Golgi to ER"	"-3.359"	"3.359"
"GO:0045070"	"positive regulation of viral genome replication"	"-3.335"	"3.335"
"GO:0001580"	"detection of chemical stimulus involved in sensory perception of bitter taste"	"-3.324"	"3.324"
"GO:0051482"	"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway"	"-3.3"	"3.3"
"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	"-3.294"	"3.294"
"GO:0016192"	"vesicle-mediated transport"	"-3.241"	"3.241"
"GO:0031124"	"mRNA 3'-end processing"	"-3.17"	"3.17"
"GO:0032482"	"Rab protein signal transduction"	"-3.169"	"3.169"
"GO:0002181"	"cytoplasmic translation"	"-3.093"	"3.093"
"GO:0031047"	"gene silencing by RNA"	"-3.073"	"3.073"
"GO:1901673"	"regulation of mitotic spindle assembly"	"-3.066"	"3.066"
"GO:1902600"	"hydrogen ion transmembrane transport"	"-3.038"	"3.038"
