"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:1990904"	"ribonucleoprotein complex"	"-5.6"	"5.6"
"GO:0005681"	"spliceosomal complex"	"-5.365"	"5.365"
"GO:0005743"	"mitochondrial inner membrane"	"-5.155"	"5.155"
"GO:0071013"	"catalytic step 2 spliceosome"	"-5.099"	"5.099"
"GO:0005759"	"mitochondrial matrix"	"-4.535"	"4.535"
"GO:0000151"	"ubiquitin ligase complex"	"-4.23"	"4.23"
"GO:1904813"	"ficolin-1-rich granule lumen"	"-3.87"	"3.87"
"GO:0000786"	"nucleosome"	"-3.826"	"3.826"
"GO:0034774"	"secretory granule lumen"	"-3.767"	"3.767"
"GO:0000502"	"proteasome complex"	"-3.745"	"3.745"
"GO:0042645"	"mitochondrial nucleoid"	"-3.726"	"3.726"
"GO:0022625"	"cytosolic large ribosomal subunit"	"-3.629"	"3.629"
"GO:0016020"	"membrane"	"-3.628"	"3.628"
"GO:0043209"	"myelin sheath"	"-3.568"	"3.568"
"GO:0071007"	"U2-type catalytic step 2 spliceosome"	"-3.523"	"3.523"
"GO:0042788"	"polysomal ribosome"	"-3.455"	"3.455"
"GO:0005762"	"mitochondrial large ribosomal subunit"	"-3.289"	"3.289"
"GO:0070062"	"extracellular exosome"	"-3.285"	"3.285"
"GO:0072562"	"blood microparticle"	"-3.222"	"3.222"
"GO:0046540"	"U4/U6 x U5 tri-snRNP complex"	"-3.206"	"3.206"
"GO:0000932"	"cytoplasmic mRNA processing body"	"-3.168"	"3.168"
"GO:0031090"	"organelle membrane"	"-3.099"	"3.099"
"GO:0032040"	"small-subunit processome"	"-3.084"	"3.084"
