"ENSG00000115657","ABCB6"
"ENSG00000118777","ABCG2"
"ENSG00000102575","ACP5"
"ENSG00000164398","ACSL6"
"ENSG00000087274","ADD1"
"ENSG00000075340","ADD2"
"ENSG00000159346","ADIPOR1"
"ENSG00000026652","AGPAT4"
"ENSG00000169877","AHSP"
"ENSG00000148218","ALAD"
"ENSG00000158578","ALAS2"
"ENSG00000144908","ALDH1L1"
"ENSG00000119711","ALDH6A1"
"ENSG00000029534","ANK1"
"ENSG00000165272","AQP3"
"ENSG00000196914","ARHGEF12"
"ENSG00000102931","ARL2BP"
"ENSG00000070669","ASNS"
"ENSG00000101844","ATG4A"
"ENSG00000033627","ATP6V0A1"
"ENSG00000156273","BACH1"
"ENSG00000187244","BCAM"
"ENSG00000106605","BLVRA"
"ENSG00000090013","BLVRB"
"ENSG00000138756","BMP2K"
"ENSG00000104765","BNIP3L"
"ENSG00000172331","BPGM"
"ENSG00000172270","BSG"
"ENSG00000159388","BTG2"
"ENSG00000166167","BTRC"
"ENSG00000125730","C3"
"ENSG00000133742","CA1"
"ENSG00000104267","CA2"
"ENSG00000153113","CAST"
"ENSG00000121691","CAT"
"ENSG00000024862","CCDC28A"
"ENSG00000112576","CCND3"
"ENSG00000004897","CDC27"
"ENSG00000140743","CDR2"
"ENSG00000138433","CIR1"
"ENSG00000109572","CLCN3"
"ENSG00000155962","CLIC2"
"ENSG00000080819","CPOX"
"ENSG00000215908","CROCCP2"
"ENSG00000040531","CTNS"
"ENSG00000164733","CTSB"
"ENSG00000196188","CTSE"
"ENSG00000100592","DAAM1"
"ENSG00000122741","DCAF10"
"ENSG00000100897","DCAF11"
"ENSG00000043093","DCUN1D1"
"ENSG00000007968","E2F2"
"ENSG00000282899","E2F2"
"ENSG00000086232","EIF2AK1"
"ENSG00000118985","ELL2"
"ENSG00000149218","ENDOD1"
"ENSG00000159023","EPB41"
"ENSG00000166947","EPB42"
"ENSG00000187266","EPOR"
"ENSG00000164010","ERMAP"
"ENSG00000108799","EZH1"
"ENSG00000183508","FAM46C"
"ENSG00000178974","FBXO34"
"ENSG00000100225","FBXO7"
"ENSG00000112146","FBXO9"
"ENSG00000066926","FECH"
"ENSG00000167363","FN3K"
"ENSG00000065970","FOXJ2"
"ENSG00000118689","FOXO3"
"ENSG00000160282","FTCD"
"ENSG00000281775","FTCD"
"ENSG00000165219","GAPVD1"
"ENSG00000102145","GATA1"
"ENSG00000001084","GCLC"
"ENSG00000023909","GCLM"
"ENSG00000006007","GDE1"
"ENSG00000182512","GLRX5"
"ENSG00000163655","GMPS"
"ENSG00000170180","GYPA"
"ENSG00000250361","GYPB"
"ENSG00000136732","GYPC"
"ENSG00000197465","GYPE"
"ENSG00000189060","H1F0"
"ENSG00000063854","HAGH"
"ENSG00000244734","HBB"
"ENSG00000229988","HBBP1"
"ENSG00000223609","HBD"
"ENSG00000086506","HBQ1"
"ENSG00000130656","HBZ"
"ENSG00000143321","HDGF"
"ENSG00000013583","HEBP1"
"ENSG00000197061","HIST1H4C"
"ENSG00000256269","HMBS"
"ENSG00000281702","HMBS"
"ENSG00000109854","HTATIP2"
"ENSG00000115317","HTRA2"
"ENSG00000105371","ICAM4"
"ENSG00000143061","IGSF3"
"ENSG00000135070","ISCA1"
"ENSG00000114166","KAT2B"
"ENSG00000197993","KEL"
"ENSG00000276615","KEL"
"ENSG00000100441","KHNYN"
"ENSG00000105610","KLF1"
"ENSG00000109787","KLF3"
"ENSG00000005893","LAMP2"
"ENSG00000135363","LMO2"
"ENSG00000101577","LPIN2"
"ENSG00000197324","LRP10"
"ENSG00000034152","MAP2K3"
"ENSG00000099785","MARCH2"
"ENSG00000165406","MARCH8"
"ENSG00000278545","MARCH8"
"ENSG00000075413","MARK3"
"ENSG00000143797","MBOAT2"
"ENSG00000147324","MFHAS1"
"ENSG00000143198","MGST3"
"ENSG00000107789","MINPP1"
"ENSG00000133606","MKRN1"
"ENSG00000075643","MOCOS"
"ENSG00000101928","MOSPD1"
"ENSG00000130830","MPP1"
"ENSG00000119950","MXI1"
"ENSG00000198336","MYL4"
"ENSG00000141562","NARF"
"ENSG00000266412","NCOA4"
"ENSG00000151414","NEK7"
"ENSG00000123405","NFE2"
"ENSG00000082641","NFE2L1"
"ENSG00000112992","NNT"
"ENSG00000113580","NR3C1"
"ENSG00000173598","NUDT4"
"ENSG00000123240","OPTN"
"ENSG00000184792","OSBP2"
"ENSG00000072682","P4HA2"
"ENSG00000173599","PC"
"ENSG00000162366","PDZK1IP1"
