"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"-9.142"	"9.142"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"-8.171"	"8.171"
"GO:0006412"	"translation"	"-8.158"	"8.158"
"GO:0006413"	"translational initiation"	"-7.778"	"7.778"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"-7.634"	"7.634"
"GO:0070126"	"mitochondrial translational termination"	"-6.475"	"6.475"
"GO:0070125"	"mitochondrial translational elongation"	"-6.388"	"6.388"
"GO:0006406"	"mRNA export from nucleus"	"-6.005"	"6.005"
"GO:0006364"	"rRNA processing"	"-5.995"	"5.995"
"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	"-5.693"	"5.693"
"GO:0002181"	"cytoplasmic translation"	"-5.688"	"5.688"
"GO:0000398"	"mRNA splicing, via spliceosome"	"-5.491"	"5.491"
"GO:0007200"	"phospholipase C-activating G-protein coupled receptor signaling pathway"	"-5.48"	"5.48"
"GO:0007189"	"adenylate cyclase-activating G-protein coupled receptor signaling pathway"	"-5.42"	"5.42"
"GO:0031124"	"mRNA 3'-end processing"	"-4.94"	"4.94"
"GO:0007218"	"neuropeptide signaling pathway"	"-4.864"	"4.864"
"GO:0042273"	"ribosomal large subunit biogenesis"	"-4.819"	"4.819"
"GO:0010469"	"regulation of receptor activity"	"-4.699"	"4.699"
"GO:0006357"	"regulation of transcription from RNA polymerase II promoter"	"-4.559"	"4.559"
"GO:0000027"	"ribosomal large subunit assembly"	"-4.538"	"4.538"
"GO:0006351"	"transcription, DNA-templated"	"-4.428"	"4.428"
"GO:0008380"	"RNA splicing"	"-4.257"	"4.257"
"GO:0051482"	"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway"	"-4.051"	"4.051"
"GO:0006369"	"termination of RNA polymerase II transcription"	"-4.043"	"4.043"
"GO:0007059"	"chromosome segregation"	"-3.746"	"3.746"
"GO:0032543"	"mitochondrial translation"	"-3.716"	"3.716"
"GO:0006405"	"RNA export from nucleus"	"-3.577"	"3.577"
"GO:0016125"	"sterol metabolic process"	"-3.531"	"3.531"
"GO:0016266"	"O-glycan processing"	"-3.466"	"3.466"
"GO:0050911"	"detection of chemical stimulus involved in sensory perception of smell"	"-3.371"	"3.371"
"GO:0097711"	"ciliary basal body docking"	"-3.314"	"3.314"
"GO:0035025"	"positive regulation of Rho protein signal transduction"	"-3.258"	"3.258"
"GO:0034080"	"CENP-A containing nucleosome assembly"	"-3.248"	"3.248"
"GO:0007202"	"activation of phospholipase C activity"	"-3.168"	"3.168"
"GO:0006378"	"mRNA polyadenylation"	"-3.166"	"3.166"
"GO:0000245"	"spliceosomal complex assembly"	"-3.161"	"3.161"
"GO:0007205"	"protein kinase C-activating G-protein coupled receptor signaling pathway"	"-3.04"	"3.04"
"GO:0009755"	"hormone-mediated signaling pathway"	"-3.016"	"3.016"
