"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0022625"	"cytosolic large ribosomal subunit"	"-7.928"	"7.928"
"GO:0005762"	"mitochondrial large ribosomal subunit"	"-4.734"	"4.734"
"GO:0042788"	"polysomal ribosome"	"-4.542"	"4.542"
"GO:0071013"	"catalytic step 2 spliceosome"	"-4.115"	"4.115"
"GO:0005840"	"ribosome"	"-4.028"	"4.028"
"GO:0005730"	"nucleolus"	"-3.897"	"3.897"
"GO:0005763"	"mitochondrial small ribosomal subunit"	"-3.479"	"3.479"
"GO:0000777"	"condensed chromosome kinetochore"	"-3.45"	"3.45"
"GO:0005887"	"integral component of plasma membrane"	"-3.361"	"3.361"
"GO:0035145"	"exon-exon junction complex"	"-3.334"	"3.334"
"GO:0071007"	"U2-type catalytic step 2 spliceosome"	"-3.292"	"3.292"
