"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0004842"	"ubiquitin-protein transferase activity"	"13.595"	"-13.595"
"GO:0005515"	"protein binding"	"8.988"	"-8.988"
"GO:0031072"	"heat shock protein binding"	"7.396"	"-7.396"
"GO:0004298"	"threonine-type endopeptidase activity"	"7.391"	"-7.391"
"GO:0044183"	"protein binding involved in protein folding"	"7.278"	"-7.278"
"GO:0051787"	"misfolded protein binding"	"7.227"	"-7.227"
"GO:0061630"	"ubiquitin protein ligase activity"	"7.035"	"-7.035"
"GO:0042623"	"ATPase activity, coupled"	"6.882"	"-6.882"
"GO:0004601"	"peroxidase activity"	"6.677"	"-6.677"
"GO:0004175"	"endopeptidase activity"	"6.097"	"-6.097"
"GO:0051087"	"chaperone binding"	"5.576"	"-5.576"
"GO:0051082"	"unfolded protein binding"	"5.549"	"-5.549"
"GO:0031625"	"ubiquitin protein ligase binding"	"5.442"	"-5.442"
"GO:0097718"	"disordered domain specific binding"	"5.217"	"-5.217"
"GO:0016887"	"ATPase activity"	"5.182"	"-5.182"
"GO:0005524"	"ATP binding"	"4.903"	"-4.903"
"GO:0008134"	"transcription factor binding"	"4.883"	"-4.883"
"GO:0015301"	"anion:anion antiporter activity"	"4.867"	"-4.867"
"GO:0005200"	"structural constituent of cytoskeleton"	"4.679"	"-4.679"
"GO:0051015"	"actin filament binding"	"4.656"	"-4.656"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"4.596"	"-4.596"
"GO:0019899"	"enzyme binding"	"4.527"	"-4.527"
"GO:0005516"	"calmodulin binding"	"4.438"	"-4.438"
"GO:0000987"	"core promoter proximal region sequence-specific DNA binding"	"4.395"	"-4.395"
"GO:0004693"	"cyclin-dependent protein serine/threonine kinase activity"	"4.363"	"-4.363"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"4.342"	"-4.342"
"GO:0004843"	"thiol-dependent ubiquitin-specific protease activity"	"4.218"	"-4.218"
"GO:0030674"	"protein binding, bridging"	"4.181"	"-4.181"
"GO:0042803"	"protein homodimerization activity"	"4.136"	"-4.136"
"GO:0043565"	"sequence-specific DNA binding"	"4.093"	"-4.093"
"GO:0030276"	"clathrin binding"	"4.06"	"-4.06"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"4.004"	"-4.004"
"GO:0031624"	"ubiquitin conjugating enzyme binding"	"3.844"	"-3.844"
"GO:0046982"	"protein heterodimerization activity"	"3.75"	"-3.75"
"GO:0043425"	"bHLH transcription factor binding"	"3.676"	"-3.676"
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"3.675"	"-3.675"
"GO:0004364"	"glutathione transferase activity"	"3.666"	"-3.666"
"GO:0042826"	"histone deacetylase binding"	"3.601"	"-3.601"
"GO:0008092"	"cytoskeletal protein binding"	"3.559"	"-3.559"
"GO:0002039"	"p53 binding"	"3.532"	"-3.532"
"GO:0030234"	"enzyme regulator activity"	"3.53"	"-3.53"
"GO:0001671"	"ATPase activator activity"	"3.483"	"-3.483"
"GO:0019706"	"protein-cysteine S-palmitoyltransferase activity"	"3.41"	"-3.41"
"GO:0042802"	"identical protein binding"	"3.39"	"-3.39"
"GO:0050750"	"low-density lipoprotein particle receptor binding"	"3.355"	"-3.355"
"GO:0001618"	"virus receptor activity"	"3.306"	"-3.306"
"GO:0002020"	"protease binding"	"3.259"	"-3.259"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"3.108"	"-3.108"
"GO:0019901"	"protein kinase binding"	"3.009"	"-3.009"
