"ENSG00000085563","ABCB1"
"ENSG00000135074","ADAM19"
"ENSG00000204305","AGER"
"ENSG00000206320","AGER"
"ENSG00000229058","AGER"
"ENSG00000230514","AGER"
"ENSG00000231268","AGER"
"ENSG00000234729","AGER"
"ENSG00000237405","AGER"
"ENSG00000101444","AHCY"
"ENSG00000124942","AHNAK"
"ENSG00000106546","AHR"
"ENSG00000241978","AKAP2"
"ENSG00000170017","ALCAM"
"ENSG00000242110","AMACR"
"ENSG00000196975","ANXA4"
"ENSG00000105290","APLP1"
"ENSG00000122644","ARL4A"
"ENSG00000156127","BATF"
"ENSG00000123685","BATF3"
"ENSG00000171791","BCL2"
"ENSG00000171552","BCL2L1"
"ENSG00000134107","BHLHE40"
"ENSG00000125845","BMP2"
"ENSG00000204217","BMPR2"
"ENSG00000104267","CA2"
"ENSG00000042493","CAPG"
"ENSG00000092529","CAPN3"
"ENSG00000164305","CASP3"
"ENSG00000118971","CCND2"
"ENSG00000112576","CCND3"
"ENSG00000105173","CCNE1"
"ENSG00000183813","CCR4"
"ENSG00000026508","CD44"
"ENSG00000117091","CD48"
"ENSG00000007312","CD79B"
"ENSG00000110651","CD81"
"ENSG00000112149","CD83"
"ENSG00000114013","CD86"
"ENSG00000158985","CDC42SE2"
"ENSG00000094804","CDC6"
"ENSG00000163814","CDCP1"
"ENSG00000129757","CDKN1C"
"ENSG00000273707","CDKN1C"
"ENSG00000114737","CISH"
"ENSG00000136026","CKAP4"
"ENSG00000100473","COCH"
"ENSG00000142156","COL6A1"
"ENSG00000184371","CSF1"
"ENSG00000164400","CSF2"
"ENSG00000077984","CST7"
"ENSG00000163599","CTLA4"
"ENSG00000101160","CTSZ"
"ENSG00000169245","CXCL10"
"ENSG00000273749","CYFIP1"
"ENSG00000280618","CYFIP1"
"ENSG00000110063","DCPS"
"ENSG00000184014","DENND5A"
"ENSG00000162496","DHRS3"
"ENSG00000143369","ECM1"
"ENSG00000134531","EMP1"
"ENSG00000108515","ENO3"
"ENSG00000197594","ENPP1"
"ENSG00000163508","EOMES"
"ENSG00000175832","ETV4"
"ENSG00000164220","F2RL2"
"ENSG00000103876","FAH"
"ENSG00000155744","FAM126B"
"ENSG00000127951","FGL2"
"ENSG00000090554","FLT3LG"
"ENSG00000140564","FURIN"
"ENSG00000139112","GABARAPL1"
"ENSG00000099860","GADD45B"
"ENSG00000143891","GALM"
"ENSG00000102145","GATA1"
"ENSG00000162654","GBP4"
"ENSG00000122694","GLIPR2"
"ENSG00000140030","GPR65"
"ENSG00000123901","GPR83"
"ENSG00000167468","GPX4"
"ENSG00000148834","GSTO1"
"ENSG00000061918","GUCY1B3"
"ENSG00000064393","HIPK2"
"ENSG00000159399","HK2"
"ENSG00000171476","HOPX"
"ENSG00000086758","HUWE1"
"ENSG00000163600","ICOS"
"ENSG00000142089","IFITM3"
"ENSG00000027697","IFNGR1"
"ENSG00000140443","IGF1R"
"ENSG00000197081","IGF2R"
"ENSG00000030419","IKZF2"
"ENSG00000123411","IKZF4"
"ENSG00000136634","IL10"
"ENSG00000110324","IL10RA"
"ENSG00000169194","IL13"
"ENSG00000115604","IL18R1"
"ENSG00000115590","IL1R2"
"ENSG00000115602","IL1RL1"
"ENSG00000134460","IL2RA"
"ENSG00000100385","IL2RB"
"ENSG00000185291","IL3RA"
"ENSG00000077238","IL4R"
"ENSG00000137265","IRF4"
"ENSG00000117595","IRF6"
"ENSG00000140968","IRF8"
"ENSG00000091409","ITGA6"
"ENSG00000083457","ITGAE"
"ENSG00000138448","ITGAV"
"ENSG00000123243","ITIH5"
"ENSG00000067082","KLF6"
"ENSG00000172954","LCLAT1"
"ENSG00000128342","LIF"
"ENSG00000144749","LRIG1"
"ENSG00000282243","LRIG1"
"ENSG00000171488","LRRC8C"
"ENSG00000204487","LTB"
"ENSG00000206437","LTB"
"ENSG00000223448","LTB"
"ENSG00000227507","LTB"
"ENSG00000231314","LTB"
"ENSG00000236237","LTB"
"ENSG00000236925","LTB"
"ENSG00000238114","LTB"
"ENSG00000185022","MAFF"
"ENSG00000107968","MAP3K8"
"ENSG00000171533","MAP6"
"ENSG00000162889","MAPKAPK2"
"ENSG00000185499","MUC1"
"ENSG00000059728","MXD1"
"ENSG00000136997","MYC"
"ENSG00000197879","MYO1C"
"ENSG00000157483","MYO1E"
"ENSG00000124151","NCOA3"
"ENSG00000107130","NCS1"
"ENSG00000104419","NDRG1"
"ENSG00000165030","NFIL3"
"ENSG00000144802","NFKBIZ"
"ENSG00000111641","NOP2"
"ENSG00000099250","NRP1"
"ENSG00000135318","NT5E"
"ENSG00000115758","ODC1"
"ENSG00000135124","P2RX4"
"ENSG00000122884","P4HA1"
"ENSG00000126249","PDCD2L"
"ENSG00000181195","PENK"
"ENSG00000139289","PHLDA1"
"ENSG00000006576","PHTF2"
"ENSG00000137193","PIM1"
"ENSG00000118495","PLAGL1"
"ENSG00000178209","PLEC"
"ENSG00000147872","PLIN2"
"ENSG00000188313","PLSCR1"
"ENSG00000198805","PNP"
"ENSG00000143190","POU2F1"
"ENSG00000243279","PRAF2"
"ENSG00000027075","PRKCH"
"ENSG00000171867","PRNP"
"ENSG00000185920","PTCH1"
"ENSG00000125384","PTGER2"
"ENSG00000160801","PTH1R"
"ENSG00000141378","PTRH2"
"ENSG00000177192","PUS1"
"ENSG00000152061","RABGAP1L"
"ENSG00000143333","RGS16"
"ENSG00000143878","RHOB"
"ENSG00000168421","RHOH"
"ENSG00000023191","RNH1"
"ENSG00000276230","RNH1"
"ENSG00000069667","RORA"
"ENSG00000025039","RRAGD"
"ENSG00000160678","S100A1"
"ENSG00000169432","SCN9A"
"ENSG00000188404","SELL"
"ENSG00000174175","SELP"
"ENSG00000124570","SERPINB6"
"ENSG00000117601","SERPINC1"
"ENSG00000198478","SH3BGRL2"
