"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0000398"	"mRNA splicing, via spliceosome"	"-13.93"	"13.93"
"GO:0070126"	"mitochondrial translational termination"	"-10.098"	"10.098"
"GO:0070125"	"mitochondrial translational elongation"	"-9.711"	"9.711"
"GO:0006351"	"transcription, DNA-templated"	"-9.443"	"9.443"
"GO:0006406"	"mRNA export from nucleus"	"-9.137"	"9.137"
"GO:0031124"	"mRNA 3'-end processing"	"-8.919"	"8.919"
"GO:0097711"	"ciliary basal body docking"	"-8.261"	"8.261"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"-7.509"	"7.509"
"GO:0006357"	"regulation of transcription from RNA polymerase II promoter"	"-7.457"	"7.457"
"GO:0006405"	"RNA export from nucleus"	"-7.386"	"7.386"
"GO:0010389"	"regulation of G2/M transition of mitotic cell cycle"	"-6.99"	"6.99"
"GO:0006412"	"translation"	"-6.808"	"6.808"
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"-6.556"	"6.556"
"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	"-6.531"	"6.531"
"GO:0008380"	"RNA splicing"	"-6.313"	"6.313"
"GO:0006364"	"rRNA processing"	"-6.018"	"6.018"
"GO:0006370"	"7-methylguanosine mRNA capping"	"-5.983"	"5.983"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"-5.74"	"5.74"
"GO:0006890"	"retrograde vesicle-mediated transport, Golgi to ER"	"-5.599"	"5.599"
"GO:0006413"	"translational initiation"	"-5.583"	"5.583"
"GO:0016070"	"RNA metabolic process"	"-5.136"	"5.136"
"GO:0006369"	"termination of RNA polymerase II transcription"	"-5.042"	"5.042"
"GO:0007017"	"microtubule-based process"	"-4.999"	"4.999"
"GO:0000086"	"G2/M transition of mitotic cell cycle"	"-4.923"	"4.923"
"GO:0043928"	"exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay"	"-4.787"	"4.787"
"GO:0045292"	"mRNA cis splicing, via spliceosome"	"-4.753"	"4.753"
"GO:0007052"	"mitotic spindle organization"	"-4.685"	"4.685"
"GO:0000375"	"RNA splicing, via transesterification reactions"	"-4.625"	"4.625"
"GO:0032543"	"mitochondrial translation"	"-4.398"	"4.398"
"GO:0035735"	"intraciliary transport involved in cilium morphogenesis"	"-4.395"	"4.395"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"-4.333"	"4.333"
"GO:0000278"	"mitotic cell cycle"	"-4.215"	"4.215"
"GO:0051301"	"cell division"	"-4.048"	"4.048"
"GO:0006261"	"DNA-dependent DNA replication"	"-4.002"	"4.002"
"GO:0006281"	"DNA repair"	"-3.97"	"3.97"
"GO:0007059"	"chromosome segregation"	"-3.893"	"3.893"
"GO:0002181"	"cytoplasmic translation"	"-3.811"	"3.811"
"GO:0051321"	"meiotic cell cycle"	"-3.781"	"3.781"
"GO:1905515"	NA	"-3.77"	"3.77"
"GO:0000070"	"mitotic sister chromatid segregation"	"-3.707"	"3.707"
"GO:0006325"	"chromatin organization"	"-3.657"	"3.657"
"GO:0046034"	"ATP metabolic process"	"-3.651"	"3.651"
"GO:0032201"	"telomere maintenance via semi-conservative replication"	"-3.642"	"3.642"
"GO:0008150"	"biological_process"	"-3.629"	"3.629"
"GO:0051225"	"spindle assembly"	"-3.576"	"3.576"
"GO:0060964"	"regulation of gene silencing by miRNA"	"-3.543"	"3.543"
"GO:0000245"	"spliceosomal complex assembly"	"-3.542"	"3.542"
"GO:0036258"	"multivesicular body assembly"	"-3.471"	"3.471"
"GO:1901673"	"regulation of mitotic spindle assembly"	"-3.468"	"3.468"
"GO:0000381"	"regulation of alternative mRNA splicing, via spliceosome"	"-3.454"	"3.454"
"GO:0051085"	"chaperone mediated protein folding requiring cofactor"	"-3.451"	"3.451"
"GO:0034080"	"CENP-A containing nucleosome assembly"	"-3.42"	"3.42"
"GO:0006417"	"regulation of translation"	"-3.406"	"3.406"
"GO:0042795"	"snRNA transcription from RNA polymerase II promoter"	"-3.363"	"3.363"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"-3.358"	"3.358"
"GO:0060271"	"cilium morphogenesis"	"-3.349"	"3.349"
"GO:0010824"	"regulation of centrosome duplication"	"-3.337"	"3.337"
"GO:0046835"	"carbohydrate phosphorylation"	"-3.312"	"3.312"
"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	"-3.214"	"3.214"
"GO:0050911"	"detection of chemical stimulus involved in sensory perception of smell"	"-3.159"	"3.159"
"GO:0007080"	"mitotic metaphase plate congression"	"-3.132"	"3.132"
"GO:0006891"	"intra-Golgi vesicle-mediated transport"	"-3.12"	"3.12"
"GO:0006296"	"nucleotide-excision repair, DNA incision, 5'-to lesion"	"-3.109"	"3.109"
"GO:0033572"	"transferrin transport"	"-3.102"	"3.102"
"GO:0033683"	"nucleotide-excision repair, DNA incision"	"-3.075"	"3.075"
"GO:0000387"	"spliceosomal snRNP assembly"	"-3.047"	"3.047"
"GO:0006293"	"nucleotide-excision repair, preincision complex stabilization"	"-3.035"	"3.035"
"GO:0006289"	"nucleotide-excision repair"	"-3.007"	"3.007"
