"ENSG00000175899","A2M"
"ENSG00000135503","ACVR1B"
"ENSG00000139567","ACVRL1"
"ENSG00000030110","BAK1"
"ENSG00000110395","CBL"
"ENSG00000108688","CCL7"
"ENSG00000163823","CCR1"
"ENSG00000170458","CD14"
"ENSG00000135218","CD36"
"ENSG00000004468","CD38"
"ENSG00000026508","CD44"
"ENSG00000010278","CD9"
"ENSG00000122756","CNTFR"
"ENSG00000205755","CRLF2"
"ENSG00000184371","CSF1"
"ENSG00000164400","CSF2"
"ENSG00000198223","CSF2RA"
"ENSG00000100368","CSF2RB"
"ENSG00000119535","CSF3R"
"ENSG00000163739","CXCL1"
"ENSG00000169245","CXCL10"
"ENSG00000169248","CXCL11"
"ENSG00000156234","CXCL13"
"ENSG00000163734","CXCL3"
"ENSG00000138755","CXCL9"
"ENSG00000107447","DNTT"
"ENSG00000105246","EBI3"
"ENSG00000026103","FAS"
"ENSG00000177885","GRB2"
"ENSG00000143575","HAX1"
"ENSG00000100292","HMOX1"
"ENSG00000142166","IFNAR1"
"ENSG00000027697","IFNGR1"
"ENSG00000159128","IFNGR2"
"ENSG00000262795","IFNGR2"
"ENSG00000243646","IL10RB"
"ENSG00000096996","IL12RB1"
"ENSG00000131724","IL13RA1"
"ENSG00000134470","IL15RA"
"ENSG00000177663","IL17RA"
"ENSG00000056736","IL17RB"
"ENSG00000115604","IL18R1"
"ENSG00000125538","IL1B"
"ENSG00000115594","IL1R1"
"ENSG00000115590","IL1R2"
"ENSG00000134460","IL2RA"
"ENSG00000147168","IL2RG"
"ENSG00000185291","IL3RA"
"ENSG00000077238","IL4R"
"ENSG00000136244","IL6"
"ENSG00000134352","IL6ST"
"ENSG00000104432","IL7"
"ENSG00000124334","IL9R"
"ENSG00000139269","INHBE"
"ENSG00000125347","IRF1"
"ENSG00000213928","IRF9"
"ENSG00000115232","ITGA4"
"ENSG00000259207","ITGB3"
"ENSG00000177606","JUN"
"ENSG00000116678","LEPR"
"ENSG00000204487","LTB"
"ENSG00000206437","LTB"
"ENSG00000223448","LTB"
"ENSG00000227507","LTB"
"ENSG00000231314","LTB"
"ENSG00000236237","LTB"
"ENSG00000236925","LTB"
"ENSG00000238114","LTB"
"ENSG00000111321","LTBR"
"ENSG00000107968","MAP3K8"
"ENSG00000172936","MYD88"
"ENSG00000145623","OSMR"
"ENSG00000145431","PDGFC"
"ENSG00000163737","PF4"
"ENSG00000141506","PIK3R5"
"ENSG00000137193","PIM1"
"ENSG00000188257","PLA2G2A"
"ENSG00000196396","PTPN1"
"ENSG00000179295","PTPN11"
"ENSG00000175354","PTPN2"
"ENSG00000115386","REG1A"
"ENSG00000185338","SOCS1"
"ENSG00000184557","SOCS3"
"ENSG00000115145","STAM2"
"ENSG00000115415","STAT1"
"ENSG00000170581","STAT2"
"ENSG00000168610","STAT3"
"ENSG00000105329","TGFB1"
"ENSG00000137462","TLR2"
"ENSG00000204490","TNF"
"ENSG00000206439","TNF"
"ENSG00000223952","TNF"
"ENSG00000228321","TNF"
"ENSG00000228849","TNF"
"ENSG00000228978","TNF"
"ENSG00000230108","TNF"
"ENSG00000232810","TNF"
"ENSG00000006327","TNFRSF12A"
"ENSG00000067182","TNFRSF1A"
"ENSG00000028137","TNFRSF1B"
"ENSG00000146072","TNFRSF21"
"ENSG00000105397","TYK2"
