"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005887"	"integral component of plasma membrane"	"96.487"	"-96.487"
"GO:0005886"	"plasma membrane"	"79.193"	"-79.193"
"GO:0016021"	"integral component of membrane"	"41.515"	"-41.515"
"GO:0005576"	"extracellular region"	"40.289"	"-40.289"
"GO:0009897"	"external side of plasma membrane"	"40.154"	"-40.154"
"GO:0005615"	"extracellular space"	"32.13"	"-32.13"
"GO:0005622"	"intracellular"	"31.804"	"-31.804"
"GO:0099056"	"integral component of presynaptic membrane"	"28.207"	"-28.207"
"GO:0043679"	"axon terminus"	"27.968"	"-27.968"
"GO:0005623"	"cell"	"24.883"	"-24.883"
"GO:0030425"	"dendrite"	"24.78"	"-24.78"
"GO:0005834"	"heterotrimeric G-protein complex"	"24.237"	"-24.237"
"GO:0099055"	"integral component of postsynaptic membrane"	"23.073"	"-23.073"
"GO:0009986"	"cell surface"	"22.728"	"-22.728"
"GO:0043235"	"receptor complex"	"17.952"	"-17.952"
"GO:0045121"	"membrane raft"	"17.161"	"-17.161"
"GO:0016323"	"basolateral plasma membrane"	"15.694"	"-15.694"
"GO:0005768"	"endosome"	"15.236"	"-15.236"
"GO:0031226"	"intrinsic component of plasma membrane"	"15.102"	"-15.102"
"GO:0099061"	"integral component of postsynaptic density membrane"	"14.439"	"-14.439"
"GO:0043204"	"perikaryon"	"13.516"	"-13.516"
"GO:0060170"	"ciliary membrane"	"13.298"	"-13.298"
"GO:0042734"	"presynaptic membrane"	"13.183"	"-13.183"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"12.706"	"-12.706"
"GO:0042629"	"mast cell granule"	"12.433"	"-12.433"
"GO:0005788"	"endoplasmic reticulum lumen"	"12.312"	"-12.312"
"GO:0043198"	"dendritic shaft"	"12.194"	"-12.194"
"GO:0098982"	"GABA-ergic synapse"	"11.859"	"-11.859"
"GO:0097730"	NA	"11.755"	"-11.755"
"GO:0030141"	"secretory granule"	"11.387"	"-11.387"
"GO:0034364"	"high-density lipoprotein particle"	"11.311"	"-11.311"
"GO:0016324"	"apical plasma membrane"	"10.826"	"-10.826"
"GO:0048786"	"presynaptic active zone"	"10.658"	"-10.658"
"GO:0005901"	"caveola"	"10.613"	"-10.613"
"GO:0030139"	"endocytic vesicle"	"10.43"	"-10.43"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"9.506"	"-9.506"
"GO:0098685"	NA	"9.218"	"-9.218"
"GO:0097225"	"sperm midpiece"	"9.179"	"-9.179"
"GO:0098978"	"glutamatergic synapse"	"9.172"	"-9.172"
"GO:0032590"	"dendrite membrane"	"9.109"	"-9.109"
"GO:0030424"	"axon"	"8.873"	"-8.873"
"GO:0035579"	"specific granule membrane"	"8.82"	"-8.82"
"GO:0030667"	"secretory granule membrane"	"8.776"	"-8.776"
"GO:0031093"	"platelet alpha granule lumen"	"8.412"	"-8.412"
"GO:0043025"	"neuronal cell body"	"8.209"	"-8.209"
"GO:0062023"	NA	"8.19"	"-8.19"
"GO:0005796"	"Golgi lumen"	"8.135"	"-8.135"
"GO:0030054"	"cell junction"	"7.875"	"-7.875"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"7.761"	"-7.761"
"GO:0043195"	"terminal bouton"	"7.609"	"-7.609"
"GO:0045211"	"postsynaptic membrane"	"6.813"	"-6.813"
"GO:0097381"	"photoreceptor disc membrane"	"6.729"	"-6.729"
"GO:0043005"	"neuron projection"	"6.723"	"-6.723"
"GO:1904724"	"tertiary granule lumen"	"6.709"	"-6.709"
"GO:0001891"	"phagocytic cup"	"6.495"	"-6.495"
"GO:0043197"	"dendritic spine"	"6.426"	"-6.426"
