"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005813"	"centrosome"	"-8.919"	"8.919"
"GO:0005681"	"spliceosomal complex"	"-8.436"	"8.436"
"GO:0005730"	"nucleolus"	"-8.401"	"8.401"
"GO:0005634"	"nucleus"	"-8.185"	"8.185"
"GO:0071013"	"catalytic step 2 spliceosome"	"-8.174"	"8.174"
"GO:0005762"	"mitochondrial large ribosomal subunit"	"-8.119"	"8.119"
"GO:0005814"	"centriole"	"-8.067"	"8.067"
"GO:0005874"	"microtubule"	"-7.726"	"7.726"
"GO:0005743"	"mitochondrial inner membrane"	"-7.657"	"7.657"
"GO:0000786"	"nucleosome"	"-6.931"	"6.931"
"GO:0032040"	"small-subunit processome"	"-6.695"	"6.695"
"GO:0000777"	"condensed chromosome kinetochore"	"-6.565"	"6.565"
"GO:0000776"	"kinetochore"	"-6.495"	"6.495"
"GO:0016607"	"nuclear speck"	"-6.483"	"6.483"
"GO:0005763"	"mitochondrial small ribosomal subunit"	"-6.201"	"6.201"
"GO:0005929"	"cilium"	"-5.727"	"5.727"
"GO:0005694"	"chromosome"	"-5.594"	"5.594"
"GO:0005761"	"mitochondrial ribosome"	"-5.583"	"5.583"
"GO:0022625"	"cytosolic large ribosomal subunit"	"-5.562"	"5.562"
"GO:0046540"	"U4/U6 x U5 tri-snRNP complex"	"-5.373"	"5.373"
"GO:1990904"	"ribonucleoprotein complex"	"-5.144"	"5.144"
"GO:0005669"	"transcription factor TFIID complex"	"-5.136"	"5.136"
"GO:0071007"	"U2-type catalytic step 2 spliceosome"	"-4.98"	"4.98"
"GO:0030133"	"transport vesicle"	"-4.743"	"4.743"
"GO:0035145"	"exon-exon junction complex"	"-4.711"	"4.711"
"GO:0005747"	"mitochondrial respiratory chain complex I"	"-4.52"	"4.52"
"GO:0000794"	"condensed nuclear chromosome"	"-4.511"	"4.511"
"GO:0035869"	"ciliary transition zone"	"-4.475"	"4.475"
"GO:0015030"	"Cajal body"	"-4.474"	"4.474"
"GO:0015630"	"microtubule cytoskeleton"	"-4.432"	"4.432"
"GO:0036064"	"ciliary basal body"	"-4.355"	"4.355"
"GO:0005689"	"U12-type spliceosomal complex"	"-4.268"	"4.268"
"GO:0030687"	"preribosome, large subunit precursor"	"-4.126"	"4.126"
"GO:0015629"	"actin cytoskeleton"	"-3.987"	"3.987"
"GO:0034451"	"centriolar satellite"	"-3.91"	"3.91"
"GO:0045171"	"intercellular bridge"	"-3.905"	"3.905"
"GO:0032281"	"AMPA glutamate receptor complex"	"-3.806"	"3.806"
"GO:0022627"	"cytosolic small ribosomal subunit"	"-3.722"	"3.722"
"GO:0005871"	"kinesin complex"	"-3.69"	"3.69"
"GO:0035097"	"histone methyltransferase complex"	"-3.667"	"3.667"
"GO:1904115"	"axon cytoplasm"	"-3.657"	"3.657"
"GO:0098839"	"postsynaptic density membrane"	"-3.609"	"3.609"
"GO:0097546"	"ciliary base"	"-3.59"	"3.59"
"GO:0000922"	"spindle pole"	"-3.577"	"3.577"
"GO:0032154"	"cleavage furrow"	"-3.569"	"3.569"
"GO:0030286"	"dynein complex"	"-3.519"	"3.519"
"GO:0000784"	"nuclear chromosome, telomeric region"	"-3.498"	"3.498"
"GO:0014704"	"intercalated disc"	"-3.486"	"3.486"
"GO:0030992"	"intraciliary transport particle B"	"-3.481"	"3.481"
"GO:0097381"	"photoreceptor disc membrane"	"-3.383"	"3.383"
"GO:0097542"	"ciliary tip"	"-3.368"	"3.368"
"GO:0031090"	"organelle membrane"	"-3.366"	"3.366"
"GO:0098793"	"presynapse"	"-3.346"	"3.346"
"GO:0005819"	"spindle"	"-3.298"	"3.298"
"GO:0005680"	"anaphase-promoting complex"	"-3.262"	"3.262"
"GO:0000775"	"chromosome, centromeric region"	"-3.217"	"3.217"
"GO:0060076"	"excitatory synapse"	"-3.216"	"3.216"
"GO:0008023"	"transcription elongation factor complex"	"-3.203"	"3.203"
"GO:0097431"	"mitotic spindle pole"	"-3.171"	"3.171"
"GO:0001750"	"photoreceptor outer segment"	"-3.149"	"3.149"
"GO:0031941"	"filamentous actin"	"-3.01"	"3.01"
