"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0003677"	"DNA binding"	"-16.125"	"16.125"
"GO:0003723"	"RNA binding"	"-13.687"	"13.687"
"GO:0046872"	"metal ion binding"	"-12.386"	"12.386"
"GO:0000981"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"-11.341"	"11.341"
"GO:0003735"	"structural constituent of ribosome"	"-10.644"	"10.644"
"GO:0003924"	"GTPase activity"	"-6.638"	"6.638"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"-6.348"	"6.348"
"GO:0003674"	"molecular_function"	"-6.084"	"6.084"
"GO:0005525"	"GTP binding"	"-5.888"	"5.888"
"GO:0003729"	"mRNA binding"	"-5.492"	"5.492"
"GO:0031491"	"nucleosome binding"	"-4.978"	"4.978"
"GO:0008307"	"structural constituent of muscle"	"-4.701"	"4.701"
"GO:0019843"	"rRNA binding"	"-4.452"	"4.452"
"GO:0008017"	"microtubule binding"	"-4.365"	"4.365"
"GO:0003730"	"mRNA 3'-UTR binding"	"-4.316"	"4.316"
"GO:0008094"	"DNA-dependent ATPase activity"	"-4.283"	"4.283"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	"-4.275"	"4.275"
"GO:0008143"	"poly(A) binding"	"-4.161"	"4.161"
"GO:0008266"	"poly(U) RNA binding"	"-4.028"	"4.028"
"GO:0030507"	"spectrin binding"	"-4.001"	"4.001"
"GO:0003777"	"microtubule motor activity"	"-3.951"	"3.951"
"GO:0005109"	"frizzled binding"	"-3.786"	"3.786"
"GO:0030515"	"snoRNA binding"	"-3.743"	"3.743"
"GO:0051015"	"actin filament binding"	"-3.703"	"3.703"
"GO:0005200"	"structural constituent of cytoskeleton"	"-3.701"	"3.701"
"GO:0043015"	"gamma-tubulin binding"	"-3.587"	"3.587"
"GO:0004129"	"cytochrome-c oxidase activity"	"-3.58"	"3.58"
"GO:0008395"	"steroid hydroxylase activity"	"-3.571"	"3.571"
"GO:0004497"	"monooxygenase activity"	"-3.568"	"3.568"
"GO:0031492"	"nucleosomal DNA binding"	"-3.521"	"3.521"
"GO:0016887"	"ATPase activity"	"-3.516"	"3.516"
"GO:0003676"	"nucleic acid binding"	"-3.502"	"3.502"
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	"-3.47"	"3.47"
"GO:0005249"	"voltage-gated potassium channel activity"	"-3.312"	"3.312"
"GO:0004984"	"olfactory receptor activity"	"-3.3"	"3.3"
"GO:0051787"	"misfolded protein binding"	"-3.292"	"3.292"
"GO:0008146"	"sulfotransferase activity"	"-3.29"	"3.29"
"GO:0048365"	"Rac GTPase binding"	"-3.207"	"3.207"
"GO:0044183"	"protein binding involved in protein folding"	"-3.205"	"3.205"
"GO:0042623"	"ATPase activity, coupled"	"-3.197"	"3.197"
"GO:0016791"	"phosphatase activity"	"-3.183"	"3.183"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"-3.123"	"3.123"
"GO:0051959"	"dynein light intermediate chain binding"	"-3.092"	"3.092"
"GO:0017112"	"Rab guanyl-nucleotide exchange factor activity"	"-3.081"	"3.081"
"GO:0043021"	"ribonucleoprotein complex binding"	"-3.053"	"3.053"
"GO:0005104"	"fibroblast growth factor receptor binding"	"-3.04"	"3.04"
"GO:0070034"	"telomerase RNA binding"	"-3.031"	"3.031"
"GO:0031369"	"translation initiation factor binding"	"-3.017"	"3.017"
