"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0004930"	"G-protein coupled receptor activity"	"52.186"	"-52.186"
"GO:0033038"	"bitter taste receptor activity"	"27.567"	"-27.567"
"GO:0008009"	"chemokine activity"	"27.237"	"-27.237"
"GO:0016493"	"C-C chemokine receptor activity"	"21.776"	"-21.776"
"GO:0019956"	"chemokine binding"	"21.693"	"-21.693"
"GO:0042923"	"neuropeptide binding"	"21.335"	"-21.335"
"GO:0019957"	"C-C chemokine binding"	"21.315"	"-21.315"
"GO:0030594"	"neurotransmitter receptor activity"	"18.88"	"-18.88"
"GO:0004993"	"G-protein coupled serotonin receptor activity"	"18.657"	"-18.657"
"GO:0008528"	"G-protein coupled peptide receptor activity"	"18.057"	"-18.057"
"GO:0005179"	"hormone activity"	"17.387"	"-17.387"
"GO:0005184"	"neuropeptide hormone activity"	"16.445"	"-16.445"
"GO:0017046"	"peptide hormone binding"	"16.381"	"-16.381"
"GO:0048020"	"CCR chemokine receptor binding"	"14.473"	"-14.473"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"13.515"	"-13.515"
"GO:0020037"	"heme binding"	"11.826"	"-11.826"
"GO:0004435"	"phosphatidylinositol phospholipase C activity"	"11.792"	"-11.792"
"GO:0008083"	"growth factor activity"	"11.78"	"-11.78"
"GO:0005104"	"fibroblast growth factor receptor binding"	"11.618"	"-11.618"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"11.575"	"-11.575"
"GO:0008144"	"drug binding"	"11.523"	"-11.523"
"GO:0005102"	"receptor binding"	"11.17"	"-11.17"
"GO:0008194"	"UDP-glycosyltransferase activity"	"11"	"-11"
"GO:0005506"	"iron ion binding"	"10.995"	"-10.995"
"GO:0001664"	"G-protein coupled receptor binding"	"10.94"	"-10.94"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"10.82"	"-10.82"
"GO:0008201"	"heparin binding"	"10.23"	"-10.23"
"GO:0004497"	"monooxygenase activity"	"9.933"	"-9.933"
"GO:0008395"	"steroid hydroxylase activity"	"9.523"	"-9.523"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"9.331"	"-9.331"
"GO:0005245"	"voltage-gated calcium channel activity"	"9.183"	"-9.183"
"GO:0070330"	"aromatase activity"	"9.12"	"-9.12"
"GO:0001965"	"G-protein alpha-subunit binding"	"8.908"	"-8.908"
"GO:0042056"	"chemoattractant activity"	"8.607"	"-8.607"
"GO:0015020"	"glucuronosyltransferase activity"	"8.49"	"-8.49"
"GO:0031683"	"G-protein beta/gamma-subunit complex binding"	"8.317"	"-8.317"
"GO:0001972"	"retinoic acid binding"	"8.034"	"-8.034"
"GO:0015026"	"coreceptor activity"	"7.979"	"-7.979"
"GO:0005246"	"calcium channel regulator activity"	"7.797"	"-7.797"
"GO:0005158"	"insulin receptor binding"	"6.751"	"-6.751"
"GO:0001784"	"phosphotyrosine binding"	"6.599"	"-6.599"
"GO:0019825"	"oxygen binding"	"6.489"	"-6.489"
"GO:0051015"	"actin filament binding"	"6.425"	"-6.425"
"GO:0005509"	"calcium ion binding"	"6.13"	"-6.13"
"GO:0004866"	"endopeptidase inhibitor activity"	"5.988"	"-5.988"
"GO:0008289"	"lipid binding"	"5.807"	"-5.807"
"GO:0044325"	"ion channel binding"	"5.575"	"-5.575"
"GO:0005543"	"phospholipid binding"	"5.408"	"-5.408"
"GO:0005516"	"calmodulin binding"	"5.265"	"-5.265"
"GO:0003779"	"actin binding"	"5.261"	"-5.261"
"GO:0046875"	"ephrin receptor binding"	"5.043"	"-5.043"
"GO:0004869"	"cysteine-type endopeptidase inhibitor activity"	"4.881"	"-4.881"
"GO:0005044"	"scavenger receptor activity"	"4.823"	"-4.823"
"GO:0004867"	"serine-type endopeptidase inhibitor activity"	"4.536"	"-4.536"
"GO:0043548"	"phosphatidylinositol 3-kinase binding"	"4.417"	"-4.417"
"GO:0005178"	"integrin binding"	"4.316"	"-4.316"
"GO:0016491"	"oxidoreductase activity"	"4.175"	"-4.175"
"GO:0005544"	"calcium-dependent phospholipid binding"	"4.099"	"-4.099"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"4.07"	"-4.07"
"GO:0004713"	"protein tyrosine kinase activity"	"4.05"	"-4.05"
"GO:0005125"	"cytokine activity"	"4.033"	"-4.033"
"GO:0005262"	"calcium channel activity"	"3.996"	"-3.996"
"GO:0030507"	"spectrin binding"	"3.715"	"-3.715"
"GO:0038023"	"signaling receptor activity"	"3.677"	"-3.677"
"GO:0005154"	"epidermal growth factor receptor binding"	"3.661"	"-3.661"
"GO:0019003"	"GDP binding"	"3.631"	"-3.631"
"GO:0005198"	"structural molecule activity"	"3.591"	"-3.591"
"GO:0005070"	"SH3/SH2 adaptor activity"	"3.425"	"-3.425"
"GO:0004683"	"calmodulin-dependent protein kinase activity"	"3.366"	"-3.366"
"GO:0008047"	"enzyme activator activity"	"3.215"	"-3.215"
"GO:0048306"	"calcium-dependent protein binding"	"3.206"	"-3.206"
"GO:0005496"	"steroid binding"	"3.193"	"-3.193"
"GO:0005244"	"voltage-gated ion channel activity"	"3.049"	"-3.049"
"GO:0017124"	"SH3 domain binding"	"3.049"	"-3.049"
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	"3.03"	"-3.03"
"GO:0008307"	"structural constituent of muscle"	"3.028"	"-3.028"
