"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005654"	"nucleoplasm"	"-10.035"	"10.035"
"GO:0071013"	"catalytic step 2 spliceosome"	"-8.49"	"8.49"
"GO:0005634"	"nucleus"	"-8.41"	"8.41"
"GO:0022625"	"cytosolic large ribosomal subunit"	"-7.989"	"7.989"
"GO:0005681"	"spliceosomal complex"	"-7.474"	"7.474"
"GO:0016607"	"nuclear speck"	"-7.027"	"7.027"
"GO:0005762"	"mitochondrial large ribosomal subunit"	"-6.827"	"6.827"
"GO:0005743"	"mitochondrial inner membrane"	"-6.781"	"6.781"
"GO:0005747"	"mitochondrial respiratory chain complex I"	"-6.143"	"6.143"
"GO:0000777"	"condensed chromosome kinetochore"	"-5.874"	"5.874"
"GO:0035145"	"exon-exon junction complex"	"-5.782"	"5.782"
"GO:0005763"	"mitochondrial small ribosomal subunit"	"-5.464"	"5.464"
"GO:0071007"	"U2-type catalytic step 2 spliceosome"	"-5.203"	"5.203"
"GO:0005840"	"ribosome"	"-5.167"	"5.167"
"GO:0000776"	"kinetochore"	"-5.1"	"5.1"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"-5.091"	"5.091"
"GO:0042788"	"polysomal ribosome"	"-5.001"	"5.001"
"GO:1990904"	"ribonucleoprotein complex"	"-4.838"	"4.838"
"GO:0005761"	"mitochondrial ribosome"	"-4.766"	"4.766"
"GO:0015030"	"Cajal body"	"-4.683"	"4.683"
"GO:0005689"	"U12-type spliceosomal complex"	"-4.627"	"4.627"
"GO:0022627"	"cytosolic small ribosomal subunit"	"-4.549"	"4.549"
"GO:0005730"	"nucleolus"	"-4.313"	"4.313"
"GO:0031463"	"Cul3-RING ubiquitin ligase complex"	"-3.846"	"3.846"
"GO:0032039"	"integrator complex"	"-3.841"	"3.841"
"GO:0005669"	"transcription factor TFIID complex"	"-3.732"	"3.732"
"GO:0016592"	"mediator complex"	"-3.718"	"3.718"
"GO:0046540"	"U4/U6 x U5 tri-snRNP complex"	"-3.705"	"3.705"
"GO:0071339"	"MLL1 complex"	"-3.539"	"3.539"
"GO:0000794"	"condensed nuclear chromosome"	"-3.395"	"3.395"
"GO:0000139"	"Golgi membrane"	"-3.227"	"3.227"
"GO:0005680"	"anaphase-promoting complex"	"-3.123"	"3.123"
