"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0006351"	"transcription, DNA-templated"	"-26.114"	"26.114"
"GO:0006357"	"regulation of transcription from RNA polymerase II promoter"	"-25.905"	"25.905"
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"-25.088"	"25.088"
"GO:0000398"	"mRNA splicing, via spliceosome"	"-20.184"	"20.184"
"GO:0007218"	"neuropeptide signaling pathway"	"-17.138"	"17.138"
"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	"-16.192"	"16.192"
"GO:0006366"	"transcription from RNA polymerase II promoter"	"-15.407"	"15.407"
"GO:0042795"	"snRNA transcription from RNA polymerase II promoter"	"-15.246"	"15.246"
"GO:0006954"	"inflammatory response"	"-13.977"	"13.977"
"GO:0010469"	"regulation of receptor activity"	"-13.946"	"13.946"
"GO:0070098"	"chemokine-mediated signaling pathway"	"-13.935"	"13.935"
"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	"-13.917"	"13.917"
"GO:0007200"	"phospholipase C-activating G-protein coupled receptor signaling pathway"	"-13.738"	"13.738"
"GO:0007187"	"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	"-13.643"	"13.643"
"GO:0031124"	"mRNA 3'-end processing"	"-13.544"	"13.544"
"GO:0006955"	"immune response"	"-13.055"	"13.055"
"GO:0016070"	"RNA metabolic process"	"-12.796"	"12.796"
"GO:0006364"	"rRNA processing"	"-12.594"	"12.594"
"GO:0001580"	"detection of chemical stimulus involved in sensory perception of bitter taste"	"-12.302"	"12.302"
"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"-12.262"	"12.262"
"GO:0070125"	"mitochondrial translational elongation"	"-12.167"	"12.167"
"GO:0070126"	"mitochondrial translational termination"	"-12.166"	"12.166"
"GO:0007193"	"adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway"	"-12.029"	"12.029"
"GO:0008380"	"RNA splicing"	"-11.993"	"11.993"
"GO:0006370"	"7-methylguanosine mRNA capping"	"-11.9"	"11.9"
"GO:0007189"	"adenylate cyclase-activating G-protein coupled receptor signaling pathway"	"-11.276"	"11.276"
"GO:0006412"	"translation"	"-11.235"	"11.235"
"GO:0006413"	"translational initiation"	"-11.047"	"11.047"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"-10.994"	"10.994"
"GO:0045944"	"positive regulation of transcription from RNA polymerase II promoter"	"-10.92"	"10.92"
"GO:0055114"	"oxidation-reduction process"	"-10.332"	"10.332"
"GO:0051482"	"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway"	"-10.089"	"10.089"
"GO:0006405"	"RNA export from nucleus"	"-9.712"	"9.712"
"GO:0006369"	"termination of RNA polymerase II transcription"	"-9.584"	"9.584"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"-9.523"	"9.523"
"GO:0060964"	"regulation of gene silencing by miRNA"	"-9.51"	"9.51"
"GO:0006363"	"termination of RNA polymerase I transcription"	"-9.273"	"9.273"
"GO:0006383"	"transcription from RNA polymerase III promoter"	"-9.21"	"9.21"
"GO:0006935"	"chemotaxis"	"-9.2"	"9.2"
"GO:0030595"	"leukocyte chemotaxis"	"-9.083"	"9.083"
"GO:0030593"	"neutrophil chemotaxis"	"-8.977"	"8.977"
"GO:0006397"	"mRNA processing"	"-8.824"	"8.824"
"GO:0006361"	"transcription initiation from RNA polymerase I promoter"	"-8.794"	"8.794"
"GO:0061844"	NA	"-8.6"	"8.6"
