"ENSG00000106305","AIMP2"
"ENSG00000112578","BYSL"
"ENSG00000122565","CBX3"
"ENSG00000135446","CDK4"
"ENSG00000179958","DCTPP1"
"ENSG00000088205","DDX18"
"ENSG00000158050","DUSP2"
"ENSG00000077348","EXOSC5"
"ENSG00000179115","FARSA"
"ENSG00000163938","GNL3"
"ENSG00000105447","GRWD1"
"ENSG00000159399","HK2"
"ENSG00000144381","HSPD1"
"ENSG00000115541","HSPE1"
"ENSG00000136718","IMP4"
"ENSG00000196497","IPO4"
"ENSG00000001497","LAS1L"
"ENSG00000142733","MAP3K6"
"ENSG00000104738","MCM4"
"ENSG00000100297","MCM5"
"ENSG00000124383","MPHOSPH10"
"ENSG00000053372","MRTO4"
"ENSG00000132382","MYBBP1A"
"ENSG00000136997","MYC"
"ENSG00000123545","NDUFAF4"
"ENSG00000132603","NIP7"
"ENSG00000184967","NOC4L"
"ENSG00000166197","NOLC1"
"ENSG00000048162","NOP16"
"ENSG00000111641","NOP2"
"ENSG00000101361","NOP56"
"ENSG00000181163","NPM1"
"ENSG00000170515","PA2G4"
"ENSG00000100029","PES1"
"ENSG00000167085","PHB"
"ENSG00000166851","PLK1"
"ENSG00000142731","PLK4"
"ENSG00000130810","PPAN"
"ENSG00000148840","PPRC1"
"ENSG00000185238","PRMT3"
"ENSG00000177192","PUS1"
"ENSG00000136933","RABEPK"
"ENSG00000120158","RCL1"
"ENSG00000052749","RRP12"
"ENSG00000114767","RRP9"
"ENSG00000173638","SLC19A1"
"ENSG00000174669","SLC29A2"
"ENSG00000140263","SORD"
"ENSG00000116649","SRM"
"ENSG00000156502","SUPV3L1"
"ENSG00000136270","TBRG4"
"ENSG00000070814","TCOF1"
"ENSG00000162851","TFB2M"
"ENSG00000109084","TMEM97"
"ENSG00000076248","UNG"
"ENSG00000120800","UTP20"
"ENSG00000163811","WDR43"
"ENSG00000133316","WDR74"
