"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005886"	"plasma membrane"	"-25.877"	"25.877"
"GO:0005887"	"integral component of plasma membrane"	"-19.55"	"19.55"
"GO:0016021"	"integral component of membrane"	"-10.634"	"10.634"
"GO:0009897"	"external side of plasma membrane"	"-9.567"	"9.567"
"GO:0005622"	"intracellular"	"-9.234"	"9.234"
"GO:0030054"	"cell junction"	"-8.743"	"8.743"
"GO:0043005"	"neuron projection"	"-8.474"	"8.474"
"GO:0000139"	"Golgi membrane"	"-7.593"	"7.593"
"GO:0005789"	"endoplasmic reticulum membrane"	"-7.298"	"7.298"
"GO:0005834"	"heterotrimeric G-protein complex"	"-7.241"	"7.241"
"GO:0045211"	"postsynaptic membrane"	"-6.973"	"6.973"
"GO:0071013"	"catalytic step 2 spliceosome"	"-6.937"	"6.937"
"GO:0043235"	"receptor complex"	"-6.787"	"6.787"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"-6.763"	"6.763"
"GO:0005768"	"endosome"	"-6.48"	"6.48"
"GO:0098978"	"glutamatergic synapse"	"-6.385"	"6.385"
"GO:0099056"	"integral component of presynaptic membrane"	"-6.242"	"6.242"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"-6.214"	"6.214"
"GO:0030665"	"clathrin-coated vesicle membrane"	"-6.189"	"6.189"
"GO:0043679"	"axon terminus"	"-6.108"	"6.108"
"GO:0035145"	"exon-exon junction complex"	"-6.069"	"6.069"
"GO:0099055"	"integral component of postsynaptic membrane"	"-6.016"	"6.016"
"GO:0060170"	"ciliary membrane"	"-5.97"	"5.97"
"GO:0005765"	"lysosomal membrane"	"-5.83"	"5.83"
"GO:0005938"	"cell cortex"	"-5.827"	"5.827"
"GO:0010008"	"endosome membrane"	"-5.795"	"5.795"
"GO:0030425"	"dendrite"	"-5.691"	"5.691"
"GO:0005901"	"caveola"	"-5.681"	"5.681"
"GO:0005911"	"cell-cell junction"	"-5.616"	"5.616"
"GO:0009986"	"cell surface"	"-5.604"	"5.604"
"GO:0031090"	"organelle membrane"	"-5.56"	"5.56"
"GO:0005681"	"spliceosomal complex"	"-5.507"	"5.507"
"GO:0045121"	"membrane raft"	"-5.405"	"5.405"
"GO:0097542"	"ciliary tip"	"-5.397"	"5.397"
"GO:0030139"	"endocytic vesicle"	"-5.391"	"5.391"
"GO:0042734"	"presynaptic membrane"	"-5.384"	"5.384"
"GO:0030667"	"secretory granule membrane"	"-5.075"	"5.075"
"GO:0005576"	"extracellular region"	"-5.025"	"5.025"
"GO:0030669"	"clathrin-coated endocytic vesicle membrane"	"-5"	"5"
"GO:0005796"	"Golgi lumen"	"-4.884"	"4.884"
"GO:0098839"	"postsynaptic density membrane"	"-4.714"	"4.714"
"GO:0071007"	"U2-type catalytic step 2 spliceosome"	"-4.638"	"4.638"
"GO:0035577"	"azurophil granule membrane"	"-4.581"	"4.581"
"GO:0005763"	"mitochondrial small ribosomal subunit"	"-4.505"	"4.505"
"GO:0030666"	"endocytic vesicle membrane"	"-4.49"	"4.49"
"GO:0016324"	"apical plasma membrane"	"-4.481"	"4.481"
"GO:0043231"	"intracellular membrane-bounded organelle"	"-4.414"	"4.414"
"GO:0097381"	"photoreceptor disc membrane"	"-4.387"	"4.387"
"GO:0031201"	"SNARE complex"	"-4.372"	"4.372"
"GO:0005923"	"bicellular tight junction"	"-4.346"	"4.346"
"GO:0042629"	"mast cell granule"	"-4.275"	"4.275"
"GO:0008021"	"synaptic vesicle"	"-4.267"	"4.267"
"GO:0005884"	"actin filament"	"-4.153"	"4.153"
"GO:0005769"	"early endosome"	"-4.133"	"4.133"
"GO:0043197"	"dendritic spine"	"-4.081"	"4.081"
"GO:0042995"	"cell projection"	"-4.072"	"4.072"
"GO:0005623"	"cell"	"-4.039"	"4.039"
"GO:0101003"	"ficolin-1-rich granule membrane"	"-4.027"	"4.027"
"GO:0005856"	"cytoskeleton"	"-4.018"	"4.018"
"GO:0005615"	"extracellular space"	"-3.979"	"3.979"
"GO:0031902"	"late endosome membrane"	"-3.959"	"3.959"
"GO:0030424"	"axon"	"-3.955"	"3.955"
"GO:0031012"	"extracellular matrix"	"-3.941"	"3.941"
"GO:0042571"	"immunoglobulin complex, circulating"	"-3.908"	"3.908"
"GO:0099061"	"integral component of postsynaptic density membrane"	"-3.905"	"3.905"
"GO:0098982"	"GABA-ergic synapse"	"-3.897"	"3.897"
"GO:0031410"	"cytoplasmic vesicle"	"-3.843"	"3.843"
"GO:0014069"	"postsynaptic density"	"-3.841"	"3.841"
"GO:0016323"	"basolateral plasma membrane"	"-3.833"	"3.833"
"GO:0031093"	"platelet alpha granule lumen"	"-3.815"	"3.815"
"GO:0071556"	"integral component of lumenal side of endoplasmic reticulum membrane"	"-3.802"	"3.802"
"GO:0070821"	"tertiary granule membrane"	"-3.785"	"3.785"
"GO:0062023"	NA	"-3.78"	"3.78"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"-3.779"	"3.779"
"GO:0030670"	"phagocytic vesicle membrane"	"-3.757"	"3.757"
"GO:0012506"	"vesicle membrane"	"-3.706"	"3.706"
"GO:0030659"	"cytoplasmic vesicle membrane"	"-3.663"	"3.663"
"GO:0030426"	"growth cone"	"-3.647"	"3.647"
"GO:0031901"	"early endosome membrane"	"-3.575"	"3.575"
"GO:0005794"	"Golgi apparatus"	"-3.574"	"3.574"
"GO:0030027"	"lamellipodium"	"-3.549"	"3.549"
"GO:0030672"	"synaptic vesicle membrane"	"-3.546"	"3.546"
"GO:0032039"	"integrator complex"	"-3.502"	"3.502"
"GO:0030136"	"clathrin-coated vesicle"	"-3.487"	"3.487"
"GO:0060076"	"excitatory synapse"	"-3.454"	"3.454"
"GO:0016607"	"nuclear speck"	"-3.415"	"3.415"
"GO:0019898"	"extrinsic component of membrane"	"-3.354"	"3.354"
"GO:0001750"	"photoreceptor outer segment"	"-3.323"	"3.323"
"GO:0043025"	"neuronal cell body"	"-3.31"	"3.31"
"GO:0097060"	"synaptic membrane"	"-3.3"	"3.3"
"GO:0098686"	NA	"-3.271"	"3.271"
"GO:0005764"	"lysosome"	"-3.258"	"3.258"
"GO:0032281"	"AMPA glutamate receptor complex"	"-3.223"	"3.223"
"GO:0032391"	"photoreceptor connecting cilium"	"-3.155"	"3.155"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"-3.118"	"3.118"
"GO:0070971"	"endoplasmic reticulum exit site"	"-3.103"	"3.103"
"GO:0016328"	"lateral plasma membrane"	"-3.092"	"3.092"
"GO:0055038"	"recycling endosome membrane"	"-3.077"	"3.077"
"GO:0001726"	"ruffle"	"-3.046"	"3.046"
"GO:0005788"	"endoplasmic reticulum lumen"	"-3.04"	"3.04"
"GO:0035579"	"specific granule membrane"	"-3.002"	"3.002"
