"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0004930"	"G-protein coupled receptor activity"	"-15.956"	"15.956"
"GO:0000981"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"-15.887"	"15.887"
"GO:0046872"	"metal ion binding"	"-12.941"	"12.941"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"-8.476"	"8.476"
"GO:0008009"	"chemokine activity"	"-7.741"	"7.741"
"GO:0033038"	"bitter taste receptor activity"	"-7.557"	"7.557"
"GO:0017124"	"SH3 domain binding"	"-7.477"	"7.477"
"GO:0004842"	"ubiquitin-protein transferase activity"	"-7.466"	"7.466"
"GO:0005179"	"hormone activity"	"-7.391"	"7.391"
"GO:0003779"	"actin binding"	"-7.12"	"7.12"
"GO:0019956"	"chemokine binding"	"-6.828"	"6.828"
"GO:0016493"	"C-C chemokine receptor activity"	"-6.801"	"6.801"
"GO:0004713"	"protein tyrosine kinase activity"	"-6.602"	"6.602"
"GO:0046875"	"ephrin receptor binding"	"-6.592"	"6.592"
"GO:0019957"	"C-C chemokine binding"	"-6.559"	"6.559"
"GO:0008528"	"G-protein coupled peptide receptor activity"	"-6.551"	"6.551"
"GO:0017046"	"peptide hormone binding"	"-6.492"	"6.492"
"GO:0030594"	"neurotransmitter receptor activity"	"-6.317"	"6.317"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"-6.229"	"6.229"
"GO:0042923"	"neuropeptide binding"	"-6.2"	"6.2"
"GO:0005070"	"SH3/SH2 adaptor activity"	"-6.172"	"6.172"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"-6.169"	"6.169"
"GO:0004993"	"G-protein coupled serotonin receptor activity"	"-6.073"	"6.073"
"GO:0001784"	"phosphotyrosine binding"	"-6.021"	"6.021"
"GO:0008270"	"zinc ion binding"	"-5.894"	"5.894"
"GO:0031683"	"G-protein beta/gamma-subunit complex binding"	"-5.804"	"5.804"
"GO:0005509"	"calcium ion binding"	"-5.726"	"5.726"
"GO:0030165"	"PDZ domain binding"	"-5.614"	"5.614"
"GO:0038023"	"signaling receptor activity"	"-5.59"	"5.59"
"GO:0005184"	"neuropeptide hormone activity"	"-5.531"	"5.531"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"-5.504"	"5.504"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"-5.153"	"5.153"
"GO:0005543"	"phospholipid binding"	"-5.067"	"5.067"
"GO:0008289"	"lipid binding"	"-5.054"	"5.054"
"GO:0005154"	"epidermal growth factor receptor binding"	"-5.017"	"5.017"
"GO:0030507"	"spectrin binding"	"-4.972"	"4.972"
"GO:0003823"	"antigen binding"	"-4.947"	"4.947"
"GO:0004435"	"phosphatidylinositol phospholipase C activity"	"-4.887"	"4.887"
"GO:0020037"	"heme binding"	"-4.794"	"4.794"
"GO:0061630"	"ubiquitin protein ligase activity"	"-4.724"	"4.724"
"GO:0030374"	"ligand-dependent nuclear receptor transcription coactivator activity"	"-4.711"	"4.711"
"GO:0044325"	"ion channel binding"	"-4.71"	"4.71"
"GO:0001540"	"beta-amyloid binding"	"-4.646"	"4.646"
"GO:0048020"	"CCR chemokine receptor binding"	"-4.646"	"4.646"
"GO:0044877"	"macromolecular complex binding"	"-4.617"	"4.617"
"GO:0005102"	"receptor binding"	"-4.591"	"4.591"
"GO:0001965"	"G-protein alpha-subunit binding"	"-4.442"	"4.442"
"GO:0008144"	"drug binding"	"-4.423"	"4.423"
"GO:0008201"	"heparin binding"	"-4.409"	"4.409"
"GO:0008022"	"protein C-terminus binding"	"-4.332"	"4.332"
"GO:0004497"	"monooxygenase activity"	"-4.244"	"4.244"
