"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0030018"	"Z disc"	"35.556"	"-35.556"
"GO:0030017"	"sarcomere"	"31.009"	"-31.009"
"GO:0030016"	"myofibril"	"27.897"	"-27.897"
"GO:0001725"	"stress fiber"	"24.84"	"-24.84"
"GO:0016459"	"myosin complex"	"24.805"	"-24.805"
"GO:0005884"	"actin filament"	"24.244"	"-24.244"
"GO:0015629"	"actin cytoskeleton"	"23.152"	"-23.152"
"GO:0031430"	"M band"	"22.531"	"-22.531"
"GO:0070062"	"extracellular exosome"	"18.472"	"-18.472"
"GO:0005856"	"cytoskeleton"	"17.652"	"-17.652"
"GO:0042383"	"sarcolemma"	"16.413"	"-16.413"
"GO:0005925"	"focal adhesion"	"16.278"	"-16.278"
"GO:0005903"	"brush border"	"14.46"	"-14.46"
"GO:0030175"	"filopodium"	"13.913"	"-13.913"
"GO:0062023"	NA	"12.514"	"-12.514"
"GO:0030027"	"lamellipodium"	"12.462"	"-12.462"
"GO:0005604"	"basement membrane"	"12.079"	"-12.079"
"GO:0005615"	"extracellular space"	"11.994"	"-11.994"
"GO:0005576"	"extracellular region"	"11.758"	"-11.758"
"GO:0008305"	"integrin complex"	"11.53"	"-11.53"
"GO:0031012"	"extracellular matrix"	"11.023"	"-11.023"
"GO:0005886"	"plasma membrane"	"10.557"	"-10.557"
"GO:0005829"	"cytosol"	"9.883"	"-9.883"
"GO:0005788"	"endoplasmic reticulum lumen"	"9.584"	"-9.584"
"GO:0016529"	"sarcoplasmic reticulum"	"9.399"	"-9.399"
"GO:0098978"	"glutamatergic synapse"	"9.211"	"-9.211"
"GO:0042470"	"melanosome"	"9.101"	"-9.101"
"GO:0001726"	"ruffle"	"8.919"	"-8.919"
"GO:0045211"	"postsynaptic membrane"	"8.902"	"-8.902"
"GO:0005911"	"cell-cell junction"	"8.824"	"-8.824"
"GO:0005891"	"voltage-gated calcium channel complex"	"8.382"	"-8.382"
"GO:0005882"	"intermediate filament"	"8.298"	"-8.298"
"GO:0005913"	"cell-cell adherens junction"	"8.227"	"-8.227"
"GO:0031093"	"platelet alpha granule lumen"	"8.009"	"-8.009"
"GO:0071944"	"cell periphery"	"7.825"	"-7.825"
"GO:0032587"	"ruffle membrane"	"7.758"	"-7.758"
"GO:0005737"	"cytoplasm"	"7.745"	"-7.745"
