"ENSG00000131269","ABCB7"
"ENSG00000060971","ACAA1"
"ENSG00000167315","ACAA2"
"ENSG00000117054","ACADM"
"ENSG00000196177","ACADSB"
"ENSG00000072778","ACADVL"
"ENSG00000075239","ACAT1"
"ENSG00000100412","ACO2"
"ENSG00000141385","AFG3L2"
"ENSG00000156709","AIFM1"
"ENSG00000023330","ALAS1"
"ENSG00000119711","ALDH6A1"
"ENSG00000143153","ATP1B1"
"ENSG00000152234","ATP5A1"
"ENSG00000110955","ATP5B"
"ENSG00000165629","ATP5C1"
"ENSG00000099624","ATP5D"
"ENSG00000124172","ATP5E"
"ENSG00000116459","ATP5F1"
"ENSG00000159199","ATP5G1"
"ENSG00000135390","ATP5G2"
"ENSG00000154518","ATP5G3"
"ENSG00000167863","ATP5H"
"ENSG00000169020","ATP5I"
"ENSG00000154723","ATP5J"
"ENSG00000241468","ATP5J2"
"ENSG00000167283","ATP5L"
"ENSG00000241837","ATP5O"
"ENSG00000071553","ATP6AP1"
"ENSG00000117410","ATP6V0B"
"ENSG00000185883","ATP6V0C"
"ENSG00000113732","ATP6V0E1"
"ENSG00000155097","ATP6V1C1"
"ENSG00000100554","ATP6V1D"
"ENSG00000131100","ATP6V1E1"
"ENSG00000128524","ATP6V1F"
"ENSG00000136888","ATP6V1G1"
"ENSG00000047249","ATP6V1H"
"ENSG00000087088","BAX"
"ENSG00000248098","BCKDHA"
"ENSG00000164039","BDH2"
"ENSG00000165806","CASP7"
"ENSG00000006695","COX10"
"ENSG00000166260","COX11"
"ENSG00000014919","COX15"
"ENSG00000138495","COX17"
"ENSG00000131143","COX4I1"
"ENSG00000178741","COX5A"
"ENSG00000135940","COX5B"
"ENSG00000111775","COX6A1"
"ENSG00000126267","COX6B1"
"ENSG00000164919","COX6C"
"ENSG00000112695","COX7A2"
"ENSG00000115944","COX7A2L"
"ENSG00000131174","COX7B"
"ENSG00000127184","COX7C"
"ENSG00000176340","COX8A"
"ENSG00000110090","CPT1A"
"ENSG00000062485","CS"
"ENSG00000166347","CYB5A"
"ENSG00000100243","CYB5R3"
"ENSG00000179091","CYC1"
"ENSG00000172115","CYCS"
"ENSG00000104325","DECR1"
"ENSG00000150768","DLAT"
"ENSG00000091140","DLD"
"ENSG00000119689","DLST"
"ENSG00000104823","ECH1"
"ENSG00000282853","ECH1"
"ENSG00000127884","ECHS1"
"ENSG00000167969","ECI1"
"ENSG00000140374","ETFA"
"ENSG00000105379","ETFB"
"ENSG00000171503","ETFDH"
"ENSG00000137714","FDX1"
"ENSG00000091483","FH"
"ENSG00000165060","FXN"
"ENSG00000148672","GLUD1"
"ENSG00000125166","GOT2"
"ENSG00000105220","GPI"
"ENSG00000282019","GPI"
"ENSG00000167468","GPX4"
"ENSG00000109519","GRPEL1"
"ENSG00000084754","HADHA"
"ENSG00000138029","HADHB"
"ENSG00000004961","HCCS"
"ENSG00000072506","HSD17B10"
"ENSG00000113013","HSPA9"
"ENSG00000115317","HTRA2"
"ENSG00000138413","IDH1"
"ENSG00000182054","IDH2"
"ENSG00000166411","IDH3A"
"ENSG00000101365","IDH3B"
"ENSG00000067829","IDH3G"
"ENSG00000132305","IMMT"
"ENSG00000135070","ISCA1"
"ENSG00000136003","ISCU"
"ENSG00000134333","LDHA"
"ENSG00000111716","LDHB"
"ENSG00000138095","LRPPRC"
"ENSG00000069535","MAOB"
"ENSG00000014641","MDH1"
"ENSG00000146701","MDH2"
"ENSG00000116688","MFN2"
"ENSG00000143198","MGST3"
"ENSG00000174547","MRPL11"
"ENSG00000137547","MRPL15"
"ENSG00000130312","MRPL34"
"ENSG00000132313","MRPL35"
"ENSG00000181991","MRPS11"
"ENSG00000128626","MRPS12"
"ENSG00000283018","MRPS12"
"ENSG00000116898","MRPS15"
"ENSG00000175110","MRPS22"
"ENSG00000112996","MRPS30"
"ENSG00000120662","MTRF1"
"ENSG00000124275","MTRR"
"ENSG00000128654","MTX2"
"ENSG00000125356","NDUFA1"
"ENSG00000131495","NDUFA2"
"ENSG00000170906","NDUFA3"
"ENSG00000276061","NDUFA3"
"ENSG00000189043","NDUFA4"
"ENSG00000128609","NDUFA5"
"ENSG00000184983","NDUFA6"
"ENSG00000272765","NDUFA6"
"ENSG00000273397","NDUFA6"
"ENSG00000277365","NDUFA6"
"ENSG00000281013","NDUFA6"
"ENSG00000267855","NDUFA7"
"ENSG00000119421","NDUFA8"
"ENSG00000139180","NDUFA9"
"ENSG00000004779","NDUFAB1"
"ENSG00000183648","NDUFB1"
"ENSG00000090266","NDUFB2"
"ENSG00000119013","NDUFB3"
"ENSG00000065518","NDUFB4"
"ENSG00000136521","NDUFB5"
"ENSG00000165264","NDUFB6"
"ENSG00000099795","NDUFB7"
"ENSG00000166136","NDUFB8"
"ENSG00000109390","NDUFC1"
"ENSG00000151366","NDUFC2"
"ENSG00000023228","NDUFS1"
"ENSG00000283447","NDUFS1"
"ENSG00000158864","NDUFS2"
"ENSG00000213619","NDUFS3"
"ENSG00000164258","NDUFS4"
"ENSG00000145494","NDUFS6"
"ENSG00000115286","NDUFS7"
"ENSG00000110717","NDUFS8"
"ENSG00000167792","NDUFV1"
"ENSG00000178127","NDUFV2"
"ENSG00000112992","NNT"
"ENSG00000124588","NQO2"
"ENSG00000065154","OAT"
"ENSG00000105953","OGDH"
"ENSG00000198836","OPA1"
"ENSG00000155463","OXA1L"
"ENSG00000131828","PDHA1"
"ENSG00000168291","PDHB"
"ENSG00000110435","PDHX"
"ENSG00000004799","PDK4"
"ENSG00000164951","PDP1"
"ENSG00000215021","PHB2"
"ENSG00000107537","PHYH"
"ENSG00000165688","PMPCA"
"ENSG00000100142","POLR2F"
"ENSG00000127948","POR"
"ENSG00000165672","PRDX3"
"ENSG00000042445","RETSAT"
"ENSG00000126858","RHOT1"
"ENSG00000140983","RHOT2"
"ENSG00000073578","SDHA"
"ENSG00000117118","SDHB"
"ENSG00000143252","SDHC"
"ENSG00000204370","SDHD"
"ENSG00000108528","SLC25A11"
"ENSG00000115840","SLC25A12"
"ENSG00000178537","SLC25A20"
"ENSG00000075415","SLC25A3"
"ENSG00000151729","SLC25A4"
"ENSG00000005022","SLC25A5"
"ENSG00000169100","SLC25A6"
"ENSG00000136143","SUCLA2"
"ENSG00000163541","SUCLG1"
"ENSG00000156502","SUPV3L1"
"ENSG00000148290","SURF1"
"ENSG00000280627","SURF1"
"ENSG00000110719","TCIRG1"
"ENSG00000134809","TIMM10"
"ENSG00000099800","TIMM13"
"ENSG00000134375","TIMM17A"
"ENSG00000105197","TIMM50"
"ENSG00000150779","TIMM8B"
"ENSG00000100575","TIMM9"
"ENSG00000100216","TOMM22"
"ENSG00000184076","UQCR10"
"ENSG00000127540","UQCR11"
"ENSG00000156467","UQCRB"
"ENSG00000010256","UQCRC1"
