"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"158.174"	"-158.174"
"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	"130.815"	"-130.815"
"GO:1902600"	"hydrogen ion transmembrane transport"	"53.518"	"-53.518"
"GO:0009060"	"aerobic respiration"	"45.93"	"-45.93"
"GO:0070125"	"mitochondrial translational elongation"	"37.917"	"-37.917"
"GO:0070126"	"mitochondrial translational termination"	"37.582"	"-37.582"
"GO:0045333"	"cellular respiration"	"36.017"	"-36.017"
"GO:0022900"	"electron transport chain"	"35.232"	"-35.232"
"GO:0055114"	"oxidation-reduction process"	"30.414"	"-30.414"
"GO:0072593"	"reactive oxygen species metabolic process"	"29.169"	"-29.169"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"28.912"	"-28.912"
"GO:0033572"	"transferrin transport"	"28.731"	"-28.731"
"GO:0006099"	"tricarboxylic acid cycle"	"26.01"	"-26.01"
"GO:0006094"	"gluconeogenesis"	"24.209"	"-24.209"
"GO:0006096"	"glycolytic process"	"23.973"	"-23.973"
"GO:0034220"	"ion transmembrane transport"	"23.267"	"-23.267"
"GO:0006626"	"protein targeting to mitochondrion"	"22.782"	"-22.782"
"GO:0061621"	"canonical glycolysis"	"22.043"	"-22.043"
"GO:0032543"	"mitochondrial translation"	"21.131"	"-21.131"
"GO:0042407"	"cristae formation"	"20.825"	"-20.825"
"GO:0006979"	"response to oxidative stress"	"19.734"	"-19.734"
"GO:0016241"	"regulation of macroautophagy"	"18.524"	"-18.524"
"GO:0006091"	"generation of precursor metabolites and energy"	"18.094"	"-18.094"
"GO:0007005"	"mitochondrion organization"	"17.461"	"-17.461"
"GO:0008286"	"insulin receptor signaling pathway"	"16.357"	"-16.357"
"GO:0043312"	"neutrophil degranulation"	"16.342"	"-16.342"
"GO:0007017"	"microtubule-based process"	"15.475"	"-15.475"
"GO:0005975"	"carbohydrate metabolic process"	"14.697"	"-14.697"
"GO:0099132"	NA	"14.151"	"-14.151"
"GO:0008637"	"apoptotic mitochondrial changes"	"13.988"	"-13.988"
"GO:0034599"	"cellular response to oxidative stress"	"13.602"	"-13.602"
"GO:0051289"	"protein homotetramerization"	"13.235"	"-13.235"
"GO:0007339"	"binding of sperm to zona pellucida"	"12.945"	"-12.945"
"GO:0001676"	"long-chain fatty acid metabolic process"	"12.644"	"-12.644"
"GO:0015949"	"nucleobase-containing small molecule interconversion"	"12.164"	"-12.164"
"GO:0045454"	"cell redox homeostasis"	"12.118"	"-12.118"
"GO:0006644"	"phospholipid metabolic process"	"11.828"	"-11.828"
"GO:0046034"	"ATP metabolic process"	"11.787"	"-11.787"
"GO:0032259"	"methylation"	"11.635"	"-11.635"
"GO:0006418"	"tRNA aminoacylation for protein translation"	"11.448"	"-11.448"
"GO:0098656"	"anion transmembrane transport"	"11.2"	"-11.2"
"GO:0042026"	"protein refolding"	"11.054"	"-11.054"
"GO:0000226"	"microtubule cytoskeleton organization"	"10.761"	"-10.761"
"GO:0015698"	"inorganic anion transport"	"10.63"	"-10.63"
"GO:0032482"	"Rab protein signal transduction"	"10.351"	"-10.351"
"GO:0051881"	"regulation of mitochondrial membrane potential"	"10.311"	"-10.311"
"GO:0042542"	"response to hydrogen peroxide"	"10.177"	"-10.177"
"GO:0042744"	"hydrogen peroxide catabolic process"	"9.882"	"-9.882"
"GO:0006986"	"response to unfolded protein"	"9.76"	"-9.76"
"GO:0006879"	"cellular iron ion homeostasis"	"9.554"	"-9.554"
"GO:0006749"	"glutathione metabolic process"	"9.464"	"-9.464"
"GO:0006487"	"protein N-linked glycosylation"	"9.292"	"-9.292"
"GO:0008652"	"cellular amino acid biosynthetic process"	"9.257"	"-9.257"
"GO:0006635"	"fatty acid beta-oxidation"	"9.228"	"-9.228"
"GO:2001243"	"negative regulation of intrinsic apoptotic signaling pathway"	"9.093"	"-9.093"
"GO:0050790"	"regulation of catalytic activity"	"8.957"	"-8.957"
"GO:0009408"	"response to heat"	"8.849"	"-8.849"
"GO:0098869"	"cellular oxidant detoxification"	"8.466"	"-8.466"
"GO:0006457"	"protein folding"	"8.335"	"-8.335"
"GO:0006654"	"phosphatidic acid biosynthetic process"	"8.328"	"-8.328"
"GO:0042572"	"retinol metabolic process"	"8.308"	"-8.308"
"GO:0046835"	"carbohydrate phosphorylation"	"8.291"	"-8.291"
"GO:0007585"	"respiratory gaseous exchange"	"8.29"	"-8.29"
"GO:0007010"	"cytoskeleton organization"	"8.237"	"-8.237"
"GO:0051085"	"chaperone mediated protein folding requiring cofactor"	"7.881"	"-7.881"
"GO:0034620"	"cellular response to unfolded protein"	"7.849"	"-7.849"
"GO:0055074"	"calcium ion homeostasis"	"7.836"	"-7.836"
"GO:0007029"	"endoplasmic reticulum organization"	"7.558"	"-7.558"
"GO:0070584"	"mitochondrion morphogenesis"	"7.506"	"-7.506"
"GO:0006631"	"fatty acid metabolic process"	"7.348"	"-7.348"
"GO:0042267"	"natural killer cell mediated cytotoxicity"	"7.083"	"-7.083"
"GO:0021762"	"substantia nigra development"	"7.017"	"-7.017"
"GO:0006006"	"glucose metabolic process"	"7.007"	"-7.007"
"GO:0009409"	"response to cold"	"7.004"	"-7.004"
"GO:0007568"	"aging"	"6.946"	"-6.946"
"GO:0032781"	"positive regulation of ATPase activity"	"6.825"	"-6.825"
"GO:1901998"	"toxin transport"	"6.821"	"-6.821"
"GO:0000278"	"mitotic cell cycle"	"6.582"	"-6.582"
"GO:0006637"	"acyl-CoA metabolic process"	"6.573"	"-6.573"
"GO:0035722"	"interleukin-12-mediated signaling pathway"	"6.343"	"-6.343"
"GO:0006633"	"fatty acid biosynthetic process"	"6.295"	"-6.295"
"GO:0006629"	"lipid metabolic process"	"6.272"	"-6.272"
"GO:0055085"	"transmembrane transport"	"6.262"	"-6.262"
"GO:0071280"	"cellular response to copper ion"	"6.22"	"-6.22"
"GO:1901687"	"glutathione derivative biosynthetic process"	"6.192"	"-6.192"
"GO:0050796"	"regulation of insulin secretion"	"6.188"	"-6.188"
"GO:0006814"	"sodium ion transport"	"5.828"	"-5.828"
