"GO.ID"	"GO.Term"	"Z-score"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"13.122"
"GO:0005089"	"Rho guanyl-nucleotide exchange factor activity"	"8.23"
"GO:0003991"	"acetylglutamate kinase activity"	"7.838"
"GO:0004042"	"acetyl-CoA:L-glutamate N-acetyltransferase activity"	"7.838"
"GO:0103045"	NA	"7.838"
"GO:0005506"	"iron ion binding"	"7.832"
"GO:0036458"	"hepatocyte growth factor binding"	"7.6"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"7.557"
"GO:0005160"	"transforming growth factor beta receptor binding"	"7.479"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"7.366"
"GO:0004364"	"glutathione transferase activity"	"7.289"
"GO:0004497"	"monooxygenase activity"	"7.203"
"GO:0008395"	"steroid hydroxylase activity"	"7.091"
"GO:0005021"	"vascular endothelial growth factor-activated receptor activity"	"6.986"
"GO:0004713"	"protein tyrosine kinase activity"	"6.904"
"GO:0019838"	"growth factor binding"	"6.738"
"GO:0005096"	"GTPase activator activity"	"6.526"
"GO:0070330"	"aromatase activity"	"6.428"
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	"6.208"
"GO:0008083"	"growth factor activity"	"6.018"
"GO:0008392"	"arachidonic acid epoxygenase activity"	"5.962"
"GO:0020037"	"heme binding"	"5.88"
"GO:0019903"	"protein phosphatase binding"	"5.526"
"GO:0070773"	"protein-N-terminal glutamine amidohydrolase activity"	"5.255"
"GO:0072591"	"citrate-L-glutamate ligase activity"	"5.172"
"GO:0005388"	"calcium-transporting ATPase activity"	"5.16"
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	"5.13"
"GO:0008146"	"sulfotransferase activity"	"5.127"
"GO:0008476"	"protein-tyrosine sulfotransferase activity"	"5.126"
"GO:0022851"	"GABA-gated chloride ion channel activity"	"5.105"
"GO:0008503"	"benzodiazepine receptor activity"	"5.045"
"GO:0038085"	"vascular endothelial growth factor binding"	"4.891"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"4.872"
"GO:0005237"	"inhibitory extracellular ligand-gated ion channel activity"	"4.862"
"GO:0004890"	"GABA-A receptor activity"	"4.838"
"GO:0005125"	"cytokine activity"	"4.833"
"GO:0005161"	"platelet-derived growth factor receptor binding"	"4.737"
"GO:0070411"	"I-SMAD binding"	"4.688"
"GO:0015276"	"ligand-gated ion channel activity"	"4.678"
"GO:0030971"	"receptor tyrosine kinase binding"	"4.677"
"GO:0004062"	"aryl sulfotransferase activity"	"4.601"
"GO:0004129"	"cytochrome-c oxidase activity"	"4.552"
"GO:0005104"	"fibroblast growth factor receptor binding"	"4.5"
"GO:0005078"	"MAP-kinase scaffold activity"	"4.481"
"GO:0005523"	"tropomyosin binding"	"4.475"
"GO:0008307"	"structural constituent of muscle"	"4.445"
"GO:0043565"	"sequence-specific DNA binding"	"4.397"
"GO:0098821"	"BMP receptor activity"	"4.393"
"GO:0071723"	"lipopeptide binding"	"4.388"
"GO:0034713"	"type I transforming growth factor beta receptor binding"	"4.345"
"GO:0004459"	"L-lactate dehydrogenase activity"	"4.341"
"GO:0042803"	"protein homodimerization activity"	"4.325"
"GO:0004888"	"transmembrane signaling receptor activity"	"4.301"
"GO:0005515"	"protein binding"	"4.295"
"GO:0005375"	"copper ion transmembrane transporter activity"	"4.26"
"GO:0099038"	"ceramide-translocating ATPase activity"	"4.252"
"GO:0097016"	"L27 domain binding"	"4.226"
"GO:0043125"	"ErbB-3 class receptor binding"	"4.219"
"GO:0022849"	"glutamate-gated calcium ion channel activity"	"4.199"
"GO:0044212"	"transcription regulatory region DNA binding"	"4.183"
"GO:0070700"	"BMP receptor binding"	"4.172"
"GO:0016307"	"phosphatidylinositol phosphate kinase activity"	"4.104"
"GO:0046332"	"SMAD binding"	"4.085"
"GO:0001847"	"opsonin receptor activity"	"4.068"
"GO:0004037"	"allantoicase activity"	"4.029"
"GO:0004679"	"AMP-activated protein kinase activity"	"3.999"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"3.995"
"GO:0004602"	"glutathione peroxidase activity"	"3.987"
"GO:0030883"	"endogenous lipid antigen binding"	"3.977"
"GO:0030884"	"exogenous lipid antigen binding"	"3.977"
"GO:0034875"	"caffeine oxidase activity"	"3.969"
"GO:0005164"	"tumor necrosis factor receptor binding"	"3.909"
"GO:0004842"	"ubiquitin-protein transferase activity"	"3.907"
"GO:0048365"	"Rac GTPase binding"	"3.89"
"GO:0033130"	"acetylcholine receptor binding"	"3.856"
"GO:0004705"	"JUN kinase activity"	"3.832"
"GO:0005518"	"collagen binding"	"3.774"
"GO:0061749"	"forked DNA-dependent helicase activity"	"3.764"
"GO:0004008"	"copper-exporting ATPase activity"	"3.751"
"GO:0043682"	"copper-transporting ATPase activity"	"3.751"
"GO:0004972"	"NMDA glutamate receptor activity"	"3.688"
"GO:0031812"	"P2Y1 nucleotide receptor binding"	"3.688"
"GO:1905574"	NA	"3.615"
"GO:1905575"	NA	"3.615"
"GO:1905577"	NA	"3.615"
"GO:0003779"	"actin binding"	"3.603"
"GO:0005154"	"epidermal growth factor receptor binding"	"3.6"
"GO:0050692"	"DBD domain binding"	"3.596"
"GO:0015277"	"kainate selective glutamate receptor activity"	"3.574"
"GO:0005024"	"transforming growth factor beta-activated receptor activity"	"3.572"
"GO:0045174"	"glutathione dehydrogenase (ascorbate) activity"	"3.542"
"GO:0050610"	"methylarsonate reductase activity"	"3.542"
"GO:0004675"	"transmembrane receptor protein serine/threonine kinase activity"	"3.513"
"GO:0031697"	"beta-1 adrenergic receptor binding"	"3.508"
"GO:0003963"	"RNA-3'-phosphate cyclase activity"	"3.485"
"GO:0097109"	"neuroligin family protein binding"	"3.479"
"GO:0019825"	"oxygen binding"	"3.459"
"GO:0008475"	"procollagen-lysine 5-dioxygenase activity"	"3.434"
