ARFIP2	APP
APP	EGFR
APP	APOA1
APP	KRAS
APP	HNRNPL
APP	TYMSOS
APP	TEX37
APP	ZNF581
APP	RPS11
APP	GTF2E1
APP	MED11
APP	MAP2K3
APP	TRIM46
APP	UCHL1
APP	TRIM25
APP	SGCG
APP	AMOT
APP	ODAM
APP	MB
APP	PHF20L1
APP	FOXJ2
APP	CWF19L2
APP	RITA1
APP	ACAA2
APP	SH3BGRL3
EGFR	KRAS
EGFR	HNRNPL
EGFR	CFTR
EGFR	TPM3
EGFR	XPO5
EGFR	EIF2B1
EGFR	COX2
EGFR	MAP2K3
EGFR	PIN4
EGFR	UCHL1
EGFR	NCAPH
EGFR	DIP2A
EGFR	TECR
EGFR	TMEM25
EGFR	GRIK4
EGFR	DNAH7
EGFR	PLVAP
APOA1	APOF
APOA1	TXNDC2
APOA1	ABCA6
NSMAF	HNRNPL
KRAS	RTN2
KRAS	ELAVL1
KRAS	UHRF2
KRAS	SPAST
KRAS	LRRC32
KRAS	OR4K1
HNRNPL	TTC14
HNRNPL	EIF2B1
HNRNPL	FOXP1
HNRNPL	EHBP1
HNRNPL	COL5A1
HNRNPL	MAP2K3
HNRNPL	DNAJC3
HNRNPL	TRIM25
HNRNPL	PTPRN2
HNRNPL	AMER1
HNRNPL	ELAVL1
HNRNPL	PIK3C3
HNRNPL	SOGA1
HNRNPL	DENND5A
HNRNPL	MBTPS1
HNRNPL	TBC1D1
HNRNPL	RDH11
HNRNPL	SNTG2
HNRNPL	LRFN2
HNRNPL	RASEF
HNRNPL	SERF2-C15ORF63
CFTR	HNRNPUL1
CFTR	KRT7
CFTR	ANXA3
CFTR	NCAPH
CFTR	TECR
CFTR	MS4A5
CFTR	RASEF
CSNK2B	TERF2
CSNK2B	CD81
CSNK2B	DENND5A
CSNK2B	WFIKKN1
RPIA	ELAVL1
APIP	ELAVL1
TPM3	ELAVL1
XPO5	GTF2E1
XPO5	SHMT1
XPO5	PPME1
RPS11	TRIM25
HNRNPUL1	MAP2K3
HNRNPUL1	TRIM25
HNRNPUL1	ELAVL1
ACVR1B	ELAVL1
TERF2	UCHL1
TERF2	ELAVL1
ANAPC11	TRIM25
GTF2E1	ELAVL1
FOXP1	ELAVL1
EHBP1	TRIM25
COL5A1	TRIM25
LMTK2	TRIM25
F3	ELAVL1
MAP2K3	TRIM25
CD81	TRIM25
RNF146	AMOT
SH2B2	TRIM25
DNAJC3	TRIM25
AXL	ELAVL1
TRIM25	PPME1
TRIM25	TAOK3
TRIM25	UTP18
TRIM25	ELAVL1
TRIM25	RHOBTB2
TRIM25	SOGA1
TRIM25	DENND5A
TRIM25	NCAPH
TRIM25	MYOF
TRIM25	GRAMD1B
CNOT4	ELAVL1
AMER1	ELAVL1
ELAVL1	DENND5A
ELAVL1	CFAP45
ELAVL1	FOXJ2
ELAVL1	IGIP
ELAVL1	SPAST
ELAVL1	PRR3
ELAVL1	FAM192A
SOGA1	ZNF169
PCSK6	TMEM25
TMEM25	HTRA3
