"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0004930"	"G-protein coupled receptor activity"	"-15.477"	"15.477"
"GO:0000981"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"-13.633"	"13.633"
"GO:0003677"	"DNA binding"	"-8.12"	"8.12"
"GO:0046872"	"metal ion binding"	"-7.829"	"7.829"
"GO:0033038"	"bitter taste receptor activity"	"-7.235"	"7.235"
"GO:0008009"	"chemokine activity"	"-6.973"	"6.973"
"GO:0008528"	"G-protein coupled peptide receptor activity"	"-6.287"	"6.287"
"GO:0016493"	"C-C chemokine receptor activity"	"-6.229"	"6.229"
"GO:0019956"	"chemokine binding"	"-6.084"	"6.084"
"GO:0017046"	"peptide hormone binding"	"-5.894"	"5.894"
"GO:0005179"	"hormone activity"	"-5.872"	"5.872"
"GO:0019957"	"C-C chemokine binding"	"-5.815"	"5.815"
"GO:0030594"	"neurotransmitter receptor activity"	"-5.809"	"5.809"
"GO:0005184"	"neuropeptide hormone activity"	"-5.719"	"5.719"
"GO:0004993"	"G-protein coupled serotonin receptor activity"	"-5.645"	"5.645"
"GO:0042923"	"neuropeptide binding"	"-5.2"	"5.2"
"GO:0003735"	"structural constituent of ribosome"	"-4.963"	"4.963"
"GO:0004435"	"phosphatidylinositol phospholipase C activity"	"-4.399"	"4.399"
"GO:0008201"	"heparin binding"	"-4.104"	"4.104"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	"-4.101"	"4.101"
"GO:0048020"	"CCR chemokine receptor binding"	"-4.083"	"4.083"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"-3.966"	"3.966"
"GO:0015026"	"coreceptor activity"	"-3.87"	"3.87"
"GO:0005484"	"SNAP receptor activity"	"-3.473"	"3.473"
"GO:0043015"	"gamma-tubulin binding"	"-3.308"	"3.308"
"GO:0031683"	"G-protein beta/gamma-subunit complex binding"	"-3.262"	"3.262"
"GO:0019905"	"syntaxin binding"	"-3.251"	"3.251"
"GO:0005109"	"frizzled binding"	"-3.213"	"3.213"
"GO:0003777"	"microtubule motor activity"	"-3.189"	"3.189"
"GO:0003823"	"antigen binding"	"-3.04"	"3.04"
"GO:0030276"	"clathrin binding"	"-3.039"	"3.039"
