"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0000981"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"-22.072"	"22.072"
"GO:0003677"	"DNA binding"	"-18.015"	"18.015"
"GO:0046872"	"metal ion binding"	"-11.07"	"11.07"
"GO:0003723"	"RNA binding"	"-9.256"	"9.256"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"-8.711"	"8.711"
"GO:0003729"	"mRNA binding"	"-8.417"	"8.417"
"GO:0033038"	"bitter taste receptor activity"	"-8.33"	"8.33"
"GO:0008009"	"chemokine activity"	"-8.11"	"8.11"
"GO:0008528"	"G-protein coupled peptide receptor activity"	"-7.898"	"7.898"
"GO:0003735"	"structural constituent of ribosome"	"-7.134"	"7.134"
"GO:0042923"	"neuropeptide binding"	"-6.915"	"6.915"
"GO:0019956"	"chemokine binding"	"-6.551"	"6.551"
"GO:0016493"	"C-C chemokine receptor activity"	"-6.537"	"6.537"
"GO:0005179"	"hormone activity"	"-6.424"	"6.424"
"GO:0019957"	"C-C chemokine binding"	"-6.406"	"6.406"
"GO:0017046"	"peptide hormone binding"	"-5.982"	"5.982"
"GO:0005184"	"neuropeptide hormone activity"	"-5.514"	"5.514"
"GO:0017056"	"structural constituent of nuclear pore"	"-5.153"	"5.153"
"GO:0000993"	"RNA polymerase II core binding"	"-5.126"	"5.126"
"GO:0070034"	"telomerase RNA binding"	"-5.075"	"5.075"
"GO:0048020"	"CCR chemokine receptor binding"	"-4.98"	"4.98"
"GO:0003727"	"single-stranded RNA binding"	"-4.854"	"4.854"
"GO:0008094"	"DNA-dependent ATPase activity"	"-4.778"	"4.778"
"GO:0042162"	"telomeric DNA binding"	"-4.77"	"4.77"
"GO:0005484"	"SNAP receptor activity"	"-4.721"	"4.721"
"GO:0003676"	"nucleic acid binding"	"-4.705"	"4.705"
"GO:0030594"	"neurotransmitter receptor activity"	"-4.703"	"4.703"
"GO:0004407"	"histone deacetylase activity"	"-4.661"	"4.661"
"GO:0019843"	"rRNA binding"	"-4.6"	"4.6"
"GO:0004993"	"G-protein coupled serotonin receptor activity"	"-4.433"	"4.433"
"GO:0030515"	"snoRNA binding"	"-4.199"	"4.199"
"GO:0004386"	"helicase activity"	"-4.139"	"4.139"
"GO:0035198"	"miRNA binding"	"-4.107"	"4.107"
"GO:0003682"	"chromatin binding"	"-4.031"	"4.031"
"GO:0004497"	"monooxygenase activity"	"-3.955"	"3.955"
"GO:0035064"	"methylated histone binding"	"-3.922"	"3.922"
"GO:0004521"	"endoribonuclease activity"	"-3.873"	"3.873"
"GO:0004298"	"threonine-type endopeptidase activity"	"-3.839"	"3.839"
"GO:0005506"	"iron ion binding"	"-3.838"	"3.838"
"GO:0001103"	"RNA polymerase II repressing transcription factor binding"	"-3.808"	"3.808"
"GO:0003697"	"single-stranded DNA binding"	"-3.747"	"3.747"
"GO:0070330"	"aromatase activity"	"-3.684"	"3.684"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"-3.654"	"3.654"
"GO:0008395"	"steroid hydroxylase activity"	"-3.547"	"3.547"
"GO:0004004"	"ATP-dependent RNA helicase activity"	"-3.483"	"3.483"
"GO:0008146"	"sulfotransferase activity"	"-3.45"	"3.45"
"GO:0003887"	"DNA-directed DNA polymerase activity"	"-3.376"	"3.376"
"GO:0003714"	"transcription corepressor activity"	"-3.37"	"3.37"
"GO:0031683"	"G-protein beta/gamma-subunit complex binding"	"-3.339"	"3.339"
"GO:0031491"	"nucleosome binding"	"-3.328"	"3.328"
"GO:0008536"	"Ran GTPase binding"	"-3.276"	"3.276"
"GO:0043565"	"sequence-specific DNA binding"	"-3.27"	"3.27"
"GO:0000175"	"3'-5'-exoribonuclease activity"	"-3.22"	"3.22"
"GO:0003712"	"transcription cofactor activity"	"-3.216"	"3.216"
"GO:0003684"	"damaged DNA binding"	"-3.019"	"3.019"
"GO:0017025"	"TBP-class protein binding"	"-3.009"	"3.009"
