"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0000139"	"Golgi membrane"	"67.963"	"-67.963"
"GO:0031201"	"SNARE complex"	"60.171"	"-60.171"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"53.635"	"-53.635"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"52.335"	"-52.335"
"GO:0030665"	"clathrin-coated vesicle membrane"	"47.749"	"-47.749"
"GO:0032588"	"trans-Golgi network membrane"	"47.293"	"-47.293"
"GO:0030133"	"transport vesicle"	"46.826"	"-46.826"
"GO:0005794"	"Golgi apparatus"	"40.85"	"-40.85"
"GO:0005789"	"endoplasmic reticulum membrane"	"40.296"	"-40.296"
"GO:0030136"	"clathrin-coated vesicle"	"36.112"	"-36.112"
"GO:0005802"	"trans-Golgi network"	"35.838"	"-35.838"
"GO:0005765"	"lysosomal membrane"	"31.694"	"-31.694"
"GO:0030669"	"clathrin-coated endocytic vesicle membrane"	"31.595"	"-31.595"
"GO:0005801"	"cis-Golgi network"	"30.584"	"-30.584"
"GO:0005905"	"clathrin-coated pit"	"29.198"	"-29.198"
"GO:0008021"	"synaptic vesicle"	"28.516"	"-28.516"
"GO:0030285"	"integral component of synaptic vesicle membrane"	"28.049"	"-28.049"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"27.752"	"-27.752"
"GO:0031902"	"late endosome membrane"	"26.275"	"-26.275"
"GO:0005768"	"endosome"	"25.849"	"-25.849"
"GO:0030658"	"transport vesicle membrane"	"25.129"	"-25.129"
"GO:0055037"	"recycling endosome"	"24.46"	"-24.46"
"GO:0030670"	"phagocytic vesicle membrane"	"23.9"	"-23.9"
"GO:0031901"	"early endosome membrane"	"23.513"	"-23.513"
"GO:0005769"	"early endosome"	"23.162"	"-23.162"
"GO:0005886"	"plasma membrane"	"23.048"	"-23.048"
"GO:0030134"	"ER to Golgi transport vesicle"	"23.039"	"-23.039"
"GO:0005783"	"endoplasmic reticulum"	"22.833"	"-22.833"
"GO:0043231"	"intracellular membrane-bounded organelle"	"22.554"	"-22.554"
"GO:0012505"	"endomembrane system"	"21.791"	"-21.791"
"GO:0071556"	"integral component of lumenal side of endoplasmic reticulum membrane"	"21.442"	"-21.442"
"GO:0016021"	"integral component of membrane"	"21.214"	"-21.214"
"GO:0055038"	"recycling endosome membrane"	"20.302"	"-20.302"
"GO:0010008"	"endosome membrane"	"20.039"	"-20.039"
"GO:0030672"	"synaptic vesicle membrane"	"19.608"	"-19.608"
"GO:0045334"	"clathrin-coated endocytic vesicle"	"19.255"	"-19.255"
"GO:0005764"	"lysosome"	"18.862"	"-18.862"
"GO:0031410"	"cytoplasmic vesicle"	"18.53"	"-18.53"
"GO:0048471"	"perinuclear region of cytoplasm"	"18.516"	"-18.516"
"GO:0030667"	"secretory granule membrane"	"18.144"	"-18.144"
"GO:0030666"	"endocytic vesicle membrane"	"17.696"	"-17.696"
"GO:0030659"	"cytoplasmic vesicle membrane"	"17.283"	"-17.283"
"GO:0009986"	"cell surface"	"16.893"	"-16.893"
"GO:0016020"	"membrane"	"16.881"	"-16.881"
"GO:0005770"	"late endosome"	"16.314"	"-16.314"
"GO:0005795"	"Golgi stack"	"16.199"	"-16.199"
"GO:0032580"	"Golgi cisterna membrane"	"15.742"	"-15.742"
"GO:0070971"	"endoplasmic reticulum exit site"	"15.544"	"-15.544"
"GO:0005871"	"kinesin complex"	"15.487"	"-15.487"
"GO:0031982"	"vesicle"	"14.719"	"-14.719"
"GO:0005829"	"cytosol"	"14.011"	"-14.011"
"GO:0016324"	"apical plasma membrane"	"13.902"	"-13.902"
"GO:0043005"	"neuron projection"	"13.522"	"-13.522"
"GO:0016323"	"basolateral plasma membrane"	"13.296"	"-13.296"
"GO:0098978"	"glutamatergic synapse"	"13.139"	"-13.139"
"GO:0035577"	"azurophil granule membrane"	"13.122"	"-13.122"
"GO:0070062"	"extracellular exosome"	"12.748"	"-12.748"
"GO:0070821"	"tertiary granule membrane"	"12.695"	"-12.695"
"GO:0030139"	"endocytic vesicle"	"12.533"	"-12.533"
"GO:0045335"	"phagocytic vesicle"	"12.387"	"-12.387"
"GO:0005874"	"microtubule"	"12.326"	"-12.326"
"GO:0030054"	"cell junction"	"12.058"	"-12.058"
"GO:0035579"	"specific granule membrane"	"11.814"	"-11.814"
"GO:0045211"	"postsynaptic membrane"	"11.811"	"-11.811"
"GO:0070382"	"exocytic vesicle"	"11.693"	"-11.693"
"GO:0030027"	"lamellipodium"	"11.391"	"-11.391"
"GO:0098793"	"presynapse"	"11.365"	"-11.365"
"GO:0005856"	"cytoskeleton"	"11.363"	"-11.363"
"GO:0030286"	"dynein complex"	"10.844"	"-10.844"
"GO:0015629"	"actin cytoskeleton"	"10.691"	"-10.691"
"GO:0098686"	NA	"10.629"	"-10.629"
"GO:0009925"	"basal plasma membrane"	"10.404"	"-10.404"
"GO:0030315"	"T-tubule"	"10.216"	"-10.216"
"GO:0005771"	"multivesicular body"	"9.854"	"-9.854"
"GO:0005774"	"vacuolar membrane"	"9.585"	"-9.585"
"GO:0042734"	"presynaptic membrane"	"9.56"	"-9.56"
"GO:0030424"	"axon"	"9.508"	"-9.508"
"GO:0042470"	"melanosome"	"9.202"	"-9.202"
"GO:0005868"	"cytoplasmic dynein complex"	"9.201"	"-9.201"
