"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	"29.216"	"-29.216"
"GO:0004602"	"glutathione peroxidase activity"	"16.552"	"-16.552"
"GO:0005524"	"ATP binding"	"14.418"	"-14.418"
"GO:0004364"	"glutathione transferase activity"	"12.696"	"-12.696"
"GO:0009055"	"electron carrier activity"	"11.871"	"-11.871"
"GO:0030170"	"pyridoxal phosphate binding"	"11.287"	"-11.287"
"GO:0051082"	"unfolded protein binding"	"9.386"	"-9.386"
"GO:0004601"	"peroxidase activity"	"8.463"	"-8.463"
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"8.458"	"-8.458"
"GO:0051287"	"NAD binding"	"8.234"	"-8.234"
"GO:0016787"	"hydrolase activity"	"8.216"	"-8.216"
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	"7.167"	"-7.167"
"GO:0004683"	"calmodulin-dependent protein kinase activity"	"6.908"	"-6.908"
"GO:0051087"	"chaperone binding"	"6.759"	"-6.759"
"GO:0031072"	"heat shock protein binding"	"6.752"	"-6.752"
"GO:0042623"	"ATPase activity, coupled"	"6.67"	"-6.67"
"GO:0051787"	"misfolded protein binding"	"6.643"	"-6.643"
"GO:0015035"	"protein disulfide oxidoreductase activity"	"6.579"	"-6.579"
"GO:0016887"	"ATPase activity"	"6.566"	"-6.566"
"GO:0000287"	"magnesium ion binding"	"6.423"	"-6.423"
"GO:0005525"	"GTP binding"	"5.848"	"-5.848"
"GO:0000049"	"tRNA binding"	"5.781"	"-5.781"
"GO:0042803"	"protein homodimerization activity"	"5.675"	"-5.675"
"GO:0031625"	"ubiquitin protein ligase binding"	"5.649"	"-5.649"
"GO:0044183"	"protein binding involved in protein folding"	"5.648"	"-5.648"
"GO:0043027"	"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	"5.525"	"-5.525"
"GO:0019899"	"enzyme binding"	"5.467"	"-5.467"
"GO:0016491"	"oxidoreductase activity"	"5.297"	"-5.297"
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	"5.296"	"-5.296"
"GO:0003743"	"translation initiation factor activity"	"5.114"	"-5.114"
"GO:0030552"	"cAMP binding"	"4.895"	"-4.895"
"GO:0042802"	"identical protein binding"	"4.766"	"-4.766"
"GO:0005200"	"structural constituent of cytoskeleton"	"4.626"	"-4.626"
"GO:0005516"	"calmodulin binding"	"4.581"	"-4.581"
"GO:0019888"	"protein phosphatase regulator activity"	"4.409"	"-4.409"
"GO:0097718"	"disordered domain specific binding"	"3.971"	"-3.971"
"GO:0008135"	"translation factor activity, RNA binding"	"3.952"	"-3.952"
"GO:0004674"	"protein serine/threonine kinase activity"	"3.856"	"-3.856"
"GO:0004843"	"thiol-dependent ubiquitin-specific protease activity"	"3.758"	"-3.758"
"GO:0003924"	"GTPase activity"	"3.748"	"-3.748"
"GO:0030544"	"Hsp70 protein binding"	"3.714"	"-3.714"
"GO:0008237"	"metallopeptidase activity"	"3.668"	"-3.668"
"GO:0001671"	"ATPase activator activity"	"3.643"	"-3.643"
"GO:0042626"	"ATPase activity, coupled to transmembrane movement of substances"	"3.58"	"-3.58"
"GO:0000166"	"nucleotide binding"	"3.547"	"-3.547"
"GO:0005507"	"copper ion binding"	"3.438"	"-3.438"
"GO:0046983"	"protein dimerization activity"	"3.28"	"-3.28"
"GO:0050661"	"NADP binding"	"3.242"	"-3.242"
"GO:0050660"	"flavin adenine dinucleotide binding"	"3.226"	"-3.226"
"GO:0004722"	"protein serine/threonine phosphatase activity"	"3.175"	"-3.175"
"GO:0017025"	"TBP-class protein binding"	"3.069"	"-3.069"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"3.043"	"-3.043"
"GO:0051015"	"actin filament binding"	"3"	"-3"
