"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0006357"	"regulation of transcription from RNA polymerase II promoter"	"-19.029"	"19.029"
"GO:0006351"	"transcription, DNA-templated"	"-17.314"	"17.314"
"GO:0000398"	"mRNA splicing, via spliceosome"	"-15.118"	"15.118"
"GO:0006366"	"transcription from RNA polymerase II promoter"	"-10.073"	"10.073"
"GO:0016070"	"RNA metabolic process"	"-8.809"	"8.809"
"GO:0070126"	"mitochondrial translational termination"	"-8.34"	"8.34"
"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"-8.331"	"8.331"
"GO:0031124"	"mRNA 3'-end processing"	"-8.275"	"8.275"
"GO:0045944"	"positive regulation of transcription from RNA polymerase II promoter"	"-8.217"	"8.217"
"GO:0070125"	"mitochondrial translational elongation"	"-8.152"	"8.152"
"GO:0008380"	"RNA splicing"	"-8.061"	"8.061"
"GO:0008543"	"fibroblast growth factor receptor signaling pathway"	"-8.017"	"8.017"
"GO:0000381"	"regulation of alternative mRNA splicing, via spliceosome"	"-7.711"	"7.711"
"GO:0006405"	"RNA export from nucleus"	"-7.708"	"7.708"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"-7.595"	"7.595"
"GO:0050900"	"leukocyte migration"	"-7.531"	"7.531"
"GO:0046854"	"phosphatidylinositol phosphorylation"	"-7.36"	"7.36"
"GO:0018108"	"peptidyl-tyrosine phosphorylation"	"-7.257"	"7.257"
"GO:0042795"	"snRNA transcription from RNA polymerase II promoter"	"-7.068"	"7.068"
"GO:0006355"	"regulation of transcription, DNA-templated"	"-6.58"	"6.58"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"-6.56"	"6.56"
"GO:0045292"	"mRNA cis splicing, via spliceosome"	"-6.385"	"6.385"
"GO:0000122"	"negative regulation of transcription from RNA polymerase II promoter"	"-6.353"	"6.353"
"GO:0007015"	"actin filament organization"	"-6.273"	"6.273"
"GO:0050776"	"regulation of immune response"	"-6.183"	"6.183"
"GO:0000209"	"protein polyubiquitination"	"-6.098"	"6.098"
"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"-6.055"	"6.055"
"GO:0009968"	"negative regulation of signal transduction"	"-5.855"	"5.855"
"GO:0050853"	"B cell receptor signaling pathway"	"-5.807"	"5.807"
"GO:0007411"	"axon guidance"	"-5.753"	"5.753"
"GO:0045893"	"positive regulation of transcription, DNA-templated"	"-5.75"	"5.75"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"-5.745"	"5.745"
"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	"-5.678"	"5.678"
"GO:0008360"	"regulation of cell shape"	"-5.674"	"5.674"
"GO:0030183"	"B cell differentiation"	"-5.511"	"5.511"
"GO:0006406"	"mRNA export from nucleus"	"-5.475"	"5.475"
"GO:0007169"	"transmembrane receptor protein tyrosine kinase signaling pathway"	"-5.471"	"5.471"
"GO:0006397"	"mRNA processing"	"-5.466"	"5.466"
"GO:0030154"	"cell differentiation"	"-5.456"	"5.456"
"GO:0006396"	"RNA processing"	"-5.413"	"5.413"
"GO:0048025"	"negative regulation of mRNA splicing, via spliceosome"	"-5.337"	"5.337"
"GO:0030198"	"extracellular matrix organization"	"-5.298"	"5.298"
"GO:0048010"	"vascular endothelial growth factor receptor signaling pathway"	"-5.273"	"5.273"
"GO:0045087"	"innate immune response"	"-5.236"	"5.236"
"GO:0006412"	"translation"	"-5.22"	"5.22"
"GO:0060333"	"interferon-gamma-mediated signaling pathway"	"-5.095"	"5.095"
"GO:0031146"	"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	"-5.089"	"5.089"
"GO:0045892"	"negative regulation of transcription, DNA-templated"	"-5.069"	"5.069"
"GO:0006024"	"glycosaminoglycan biosynthetic process"	"-4.898"	"4.898"
"GO:0007264"	"small GTPase mediated signal transduction"	"-4.862"	"4.862"
"GO:0060395"	"SMAD protein signal transduction"	"-4.842"	"4.842"
"GO:0038083"	"peptidyl-tyrosine autophosphorylation"	"-4.789"	"4.789"
"GO:0036092"	"phosphatidylinositol-3-phosphate biosynthetic process"	"-4.753"	"4.753"
"GO:0038095"	"Fc-epsilon receptor signaling pathway"	"-4.716"	"4.716"
"GO:0006910"	"phagocytosis, recognition"	"-4.659"	"4.659"
"GO:0007179"	"transforming growth factor beta receptor signaling pathway"	"-4.635"	"4.635"
"GO:0007229"	"integrin-mediated signaling pathway"	"-4.621"	"4.621"
"GO:0050871"	"positive regulation of B cell activation"	"-4.611"	"4.611"
"GO:0051091"	"positive regulation of sequence-specific DNA binding transcription factor activity"	"-4.605"	"4.605"
"GO:0042060"	"wound healing"	"-4.571"	"4.571"
"GO:1901224"	"positive regulation of NIK/NF-kappaB signaling"	"-4.548"	"4.548"
"GO:0050852"	"T cell receptor signaling pathway"	"-4.452"	"4.452"
"GO:0007266"	"Rho protein signal transduction"	"-4.436"	"4.436"
"GO:0048015"	"phosphatidylinositol-mediated signaling"	"-4.418"	"4.418"
"GO:0016477"	"cell migration"	"-4.413"	"4.413"
"GO:0006369"	"termination of RNA polymerase II transcription"	"-4.371"	"4.371"
"GO:0035023"	"regulation of Rho protein signal transduction"	"-4.359"	"4.359"
"GO:0051897"	"positive regulation of protein kinase B signaling"	"-4.337"	"4.337"
"GO:0006958"	"complement activation, classical pathway"	"-4.332"	"4.332"
"GO:0043410"	"positive regulation of MAPK cascade"	"-4.312"	"4.312"
"GO:0006413"	"translational initiation"	"-4.301"	"4.301"
"GO:0060337"	"type I interferon signaling pathway"	"-4.301"	"4.301"
"GO:0016601"	"Rac protein signal transduction"	"-4.281"	"4.281"
"GO:0007160"	"cell-matrix adhesion"	"-4.232"	"4.232"
"GO:0042738"	"exogenous drug catabolic process"	"-4.176"	"4.176"
"GO:0000387"	"spliceosomal snRNP assembly"	"-4.171"	"4.171"
"GO:0001525"	"angiogenesis"	"-4.166"	"4.166"
"GO:0051496"	"positive regulation of stress fiber assembly"	"-4.148"	"4.148"
"GO:0002250"	"adaptive immune response"	"-4.131"	"4.131"
"GO:0002181"	"cytoplasmic translation"	"-4.099"	"4.099"
"GO:0006805"	"xenobiotic metabolic process"	"-4.081"	"4.081"
"GO:0045879"	"negative regulation of smoothened signaling pathway"	"-4.08"	"4.08"
"GO:0043406"	"positive regulation of MAP kinase activity"	"-4.069"	"4.069"
"GO:0031648"	"protein destabilization"	"-4.049"	"4.049"
"GO:0071773"	"cellular response to BMP stimulus"	"-4.036"	"4.036"
"GO:0016266"	"O-glycan processing"	"-4.034"	"4.034"
"GO:0000375"	"RNA splicing, via transesterification reactions"	"-4.031"	"4.031"
"GO:0008625"	"extrinsic apoptotic signaling pathway via death domain receptors"	"-3.985"	"3.985"
"GO:0035019"	"somatic stem cell population maintenance"	"-3.945"	"3.945"
"GO:0048013"	"ephrin receptor signaling pathway"	"-3.934"	"3.934"
"GO:0000165"	"MAPK cascade"	"-3.901"	"3.901"
"GO:0051170"	"nuclear import"	"-3.886"	"3.886"
"GO:0000245"	"spliceosomal complex assembly"	"-3.864"	"3.864"
"GO:0051965"	"positive regulation of synapse assembly"	"-3.833"	"3.833"
"GO:0032481"	"positive regulation of type I interferon production"	"-3.825"	"3.825"
"GO:0070374"	"positive regulation of ERK1 and ERK2 cascade"	"-3.81"	"3.81"
"GO:0006027"	"glycosaminoglycan catabolic process"	"-3.808"	"3.808"
"GO:0007155"	"cell adhesion"	"-3.774"	"3.774"
"GO:0034446"	"substrate adhesion-dependent cell spreading"	"-3.757"	"3.757"
"GO:0032870"	"cellular response to hormone stimulus"	"-3.744"	"3.744"
"GO:0048011"	"neurotrophin TRK receptor signaling pathway"	"-3.737"	"3.737"
"GO:0031295"	"T cell costimulation"	"-3.705"	"3.705"
"GO:0045669"	"positive regulation of osteoblast differentiation"	"-3.676"	"3.676"
