"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005759"	"mitochondrial matrix"	"11.814"	"-11.814"
"GO:0000777"	"condensed chromosome kinetochore"	"9.367"	"-9.367"
"GO:0000775"	"chromosome, centromeric region"	"8.471"	"-8.471"
"GO:0005813"	"centrosome"	"8.148"	"-8.148"
"GO:0070062"	"extracellular exosome"	"8.104"	"-8.104"
"GO:0005680"	"anaphase-promoting complex"	"8.014"	"-8.014"
"GO:0000786"	"nucleosome"	"7.923"	"-7.923"
"GO:0000776"	"kinetochore"	"7.654"	"-7.654"
"GO:0000502"	"proteasome complex"	"7.465"	"-7.465"
"GO:0005829"	"cytosol"	"7.402"	"-7.402"
"GO:0005874"	"microtubule"	"7.366"	"-7.366"
"GO:0043209"	"myelin sheath"	"7.066"	"-7.066"
"GO:1904813"	"ficolin-1-rich granule lumen"	"6.924"	"-6.924"
"GO:0005819"	"spindle"	"6.434"	"-6.434"
"GO:0005839"	"proteasome core complex"	"6.232"	"-6.232"
"GO:0005739"	"mitochondrion"	"6.19"	"-6.19"
"GO:0034774"	"secretory granule lumen"	"5.909"	"-5.909"
"GO:0005777"	"peroxisome"	"5.731"	"-5.731"
"GO:0015630"	"microtubule cytoskeleton"	"5.629"	"-5.629"
"GO:0005782"	"peroxisomal matrix"	"5.212"	"-5.212"
"GO:0005814"	"centriole"	"5.163"	"-5.163"
"GO:0097730"	NA	"5.15"	"-5.15"
"GO:0035578"	"azurophil granule lumen"	"5.121"	"-5.121"
"GO:0005881"	"cytoplasmic microtubule"	"5.043"	"-5.043"
"GO:0000922"	"spindle pole"	"4.863"	"-4.863"
"GO:0042645"	"mitochondrial nucleoid"	"4.835"	"-4.835"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"4.533"	"-4.533"
"GO:0005635"	"nuclear envelope"	"4.448"	"-4.448"
"GO:0000159"	"protein phosphatase type 2A complex"	"4.383"	"-4.383"
"GO:0005694"	"chromosome"	"4.37"	"-4.37"
"GO:0000794"	"condensed nuclear chromosome"	"4.316"	"-4.316"
"GO:0097546"	"ciliary base"	"4.302"	"-4.302"
"GO:0005876"	"spindle microtubule"	"4.184"	"-4.184"
"GO:0031305"	"integral component of mitochondrial inner membrane"	"4.164"	"-4.164"
"GO:0042470"	"melanosome"	"4.154"	"-4.154"
"GO:0005778"	"peroxisomal membrane"	"4.064"	"-4.064"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"4.027"	"-4.027"
"GO:0005930"	"axoneme"	"4.022"	"-4.022"
"GO:0000795"	"synaptonemal complex"	"3.881"	"-3.881"
"GO:0005789"	"endoplasmic reticulum membrane"	"3.841"	"-3.841"
"GO:0097431"	"mitotic spindle pole"	"3.771"	"-3.771"
"GO:0005774"	"vacuolar membrane"	"3.711"	"-3.711"
"GO:0030496"	"midbody"	"3.576"	"-3.576"
"GO:0005815"	"microtubule organizing center"	"3.487"	"-3.487"
"GO:0000784"	"nuclear chromosome, telomeric region"	"3.466"	"-3.466"
"GO:0005737"	"cytoplasm"	"3.349"	"-3.349"
"GO:0035861"	"site of double-strand break"	"3.344"	"-3.344"
"GO:0005811"	"lipid particle"	"3.132"	"-3.132"
