"ENSG00000165029","ABCA1"
"ENSG00000109321","AREG"
"ENSG00000162772","ATF3"
"ENSG00000070961","ATP2B1"
"ENSG00000086062","B4GALT1"
"ENSG00000158470","B4GALT5"
"ENSG00000140379","BCL2A1"
"ENSG00000069399","BCL3"
"ENSG00000113916","BCL6"
"ENSG00000134107","BHLHE40"
"ENSG00000110330","BIRC2"
"ENSG00000023445","BIRC3"
"ENSG00000125845","BMP2"
"ENSG00000133639","BTG1"
"ENSG00000159388","BTG2"
"ENSG00000154640","BTG3"
"ENSG00000281484","BTG3"
"ENSG00000108691","CCL2"
"ENSG00000115009","CCL20"
"ENSG00000275302","CCL4"
"ENSG00000275824","CCL4"
"ENSG00000277943","CCL4"
"ENSG00000271503","CCL5"
"ENSG00000274233","CCL5"
"ENSG00000110092","CCND1"
"ENSG00000163660","CCNL1"
"ENSG00000121797","CCRL2"
"ENSG00000026508","CD44"
"ENSG00000110848","CD69"
"ENSG00000121594","CD80"
"ENSG00000112149","CD83"
"ENSG00000124762","CDKN1A"
"ENSG00000172216","CEBPB"
"ENSG00000221869","CEBPD"
"ENSG00000003402","CFLAR"
"ENSG00000175505","CLCF1"
"ENSG00000184371","CSF1"
"ENSG00000164400","CSF2"
"ENSG00000163739","CXCL1"
"ENSG00000169245","CXCL10"
"ENSG00000169248","CXCL11"
"ENSG00000081041","CXCL2"
"ENSG00000163734","CXCL3"
"ENSG00000124875","CXCL6"
"ENSG00000142871","CYR61"
"ENSG00000107201","DDX58"
"ENSG00000184014","DENND5A"
"ENSG00000162616","DNAJB4"
"ENSG00000136048","DRAM1"
"ENSG00000120129","DUSP1"
"ENSG00000158050","DUSP2"
"ENSG00000120875","DUSP4"
"ENSG00000138166","DUSP5"
"ENSG00000078401","EDN1"
"ENSG00000169242","EFNA1"
"ENSG00000120738","EGR1"
"ENSG00000122877","EGR2"
"ENSG00000179388","EGR3"
"ENSG00000110047","EHD1"
"ENSG00000173812","EIF1"
"ENSG00000157557","ETS2"
"ENSG00000164251","F2RL1"
"ENSG00000117525","F3"
"ENSG00000179431","FJX1"
"ENSG00000170345","FOS"
"ENSG00000125740","FOSB"
"ENSG00000175592","FOSL1"
"ENSG00000075426","FOSL2"
"ENSG00000196371","FUT4"
"ENSG00000123689","G0S2"
"ENSG00000116717","GADD45A"
"ENSG00000099860","GADD45B"
"ENSG00000131979","GCH1"
"ENSG00000164949","GEM"
"ENSG00000131459","GFPT2"
"ENSG00000169508","GPR183"
"ENSG00000113070","HBEGF"
"ENSG00000114315","HES1"
"ENSG00000090339","ICAM1"
"ENSG00000160223","ICOSLG"
"ENSG00000115738","ID2"
"ENSG00000160888","IER2"
"ENSG00000137331","IER3"
