"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0005667"	"transcription factor complex"	"16.969"	"-16.969"
"GO:0005887"	"integral component of plasma membrane"	"15.825"	"-15.825"
"GO:0005886"	"plasma membrane"	"15.82"	"-15.82"
"GO:0005576"	"extracellular region"	"15.155"	"-15.155"
"GO:0005615"	"extracellular space"	"14.817"	"-14.817"
"GO:0009897"	"external side of plasma membrane"	"13.834"	"-13.834"
"GO:0000790"	"nuclear chromatin"	"11.709"	"-11.709"
"GO:0005737"	"cytoplasm"	"11.579"	"-11.579"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"10.847"	"-10.847"
"GO:0017053"	"transcriptional repressor complex"	"10.72"	"-10.72"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"9.803"	"-9.803"
"GO:0005622"	"intracellular"	"9.52"	"-9.52"
"GO:0043235"	"receptor complex"	"8.991"	"-8.991"
"GO:0000118"	"histone deacetylase complex"	"8.635"	"-8.635"
"GO:0045121"	"membrane raft"	"8.584"	"-8.584"
"GO:0032993"	"protein-DNA complex"	"8.362"	"-8.362"
"GO:0019005"	"SCF ubiquitin ligase complex"	"8.321"	"-8.321"
"GO:0062023"	NA	"7.79"	"-7.79"
"GO:0009986"	"cell surface"	"7.787"	"-7.787"
"GO:0031012"	"extracellular matrix"	"7.359"	"-7.359"
"GO:0044798"	"nuclear transcription factor complex"	"7.147"	"-7.147"
"GO:0010008"	"endosome membrane"	"7.116"	"-7.116"
"GO:0000123"	"histone acetyltransferase complex"	"6.991"	"-6.991"
"GO:0032991"	"macromolecular complex"	"6.405"	"-6.405"
"GO:0005741"	"mitochondrial outer membrane"	"6.18"	"-6.18"
"GO:0005796"	"Golgi lumen"	"5.63"	"-5.63"
"GO:0031226"	"intrinsic component of plasma membrane"	"5.594"	"-5.594"
"GO:0005788"	"endoplasmic reticulum lumen"	"5.281"	"-5.281"
"GO:0005901"	"caveola"	"5.199"	"-5.199"
"GO:0005623"	"cell"	"5.081"	"-5.081"
"GO:0005654"	"nucleoplasm"	"5.077"	"-5.077"
"GO:0016021"	"integral component of membrane"	"5.019"	"-5.019"
"GO:0031093"	"platelet alpha granule lumen"	"4.813"	"-4.813"
"GO:0099055"	"integral component of postsynaptic membrane"	"4.803"	"-4.803"
"GO:0016363"	"nuclear matrix"	"4.541"	"-4.541"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"4.322"	"-4.322"
"GO:0043679"	"axon terminus"	"4.295"	"-4.295"
"GO:0043202"	"lysosomal lumen"	"4.19"	"-4.19"
"GO:0034364"	"high-density lipoprotein particle"	"4.095"	"-4.095"
"GO:0031966"	"mitochondrial membrane"	"3.978"	"-3.978"
"GO:0099056"	"integral component of presynaptic membrane"	"3.952"	"-3.952"
"GO:0016323"	"basolateral plasma membrane"	"3.862"	"-3.862"
"GO:0001891"	"phagocytic cup"	"3.856"	"-3.856"
"GO:0042629"	"mast cell granule"	"3.843"	"-3.843"
"GO:0042734"	"presynaptic membrane"	"3.634"	"-3.634"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"3.565"	"-3.565"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"3.423"	"-3.423"
"GO:0035580"	"specific granule lumen"	"3.409"	"-3.409"
"GO:0098978"	"glutamatergic synapse"	"3.105"	"-3.105"
"GO:0043005"	"neuron projection"	"3.103"	"-3.103"
"GO:0005719"	"nuclear euchromatin"	"3.086"	"-3.086"
"GO:1904724"	"tertiary granule lumen"	"3.079"	"-3.079"
"GO:0030424"	"axon"	"3.072"	"-3.072"
"GO:0098982"	"GABA-ergic synapse"	"3.022"	"-3.022"
