"ENSG00000059573","ALDH18A1"
"ENSG00000101199","ARFGAP1"
"ENSG00000070669","ASNS"
"ENSG00000162772","ATF3"
"ENSG00000128272","ATF4"
"ENSG00000118217","ATF6"
"ENSG00000159720","ATP6V0D1"
"ENSG00000151929","BAG3"
"ENSG00000175334","BANF1"
"ENSG00000179218","CALR"
"ENSG00000108691","CCL2"
"ENSG00000172216","CEBPB"
"ENSG00000153879","CEBPG"
"ENSG00000128965","CHAC1"
"ENSG00000173207","CKS1B"
"ENSG00000111596","CNOT2"
"ENSG00000080802","CNOT4"
"ENSG00000113300","CNOT6"
"ENSG00000154832","CXXC1"
"ENSG00000272886","DCP1A"
"ENSG00000172795","DCP2"
"ENSG00000204843","DCTN1"
"ENSG00000168209","DDIT4"
"ENSG00000178105","DDX10"
"ENSG00000130826","DKC1"
"ENSG00000140403","DNAJA4"
"ENSG00000128590","DNAJB9"
"ENSG00000102580","DNAJC3"
"ENSG00000038358","EDC4"
"ENSG00000134109","EDEM1"
"ENSG00000167658","EEF2"
"ENSG00000172071","EIF2AK3"
"ENSG00000134001","EIF2S1"
"ENSG00000161960","EIF4A1"
"ENSG00000156976","EIF4A2"
"ENSG00000141543","EIF4A3"
"ENSG00000151247","EIF4E"
"ENSG00000187840","EIF4EBP1"
"ENSG00000114867","EIF4G1"
"ENSG00000178607","ERN1"
"ENSG00000112685","EXOC2"
"ENSG00000171311","EXOSC1"
"ENSG00000171824","EXOSC10"
"ENSG00000130713","EXOSC2"
"ENSG00000178896","EXOSC4"
"ENSG00000077348","EXOSC5"
"ENSG00000123737","EXOSC9"
"ENSG00000106080","FKBP14"
"ENSG00000089280","FUS"
"ENSG00000179409","GEMIN4"
"ENSG00000108433","GOSR2"
"ENSG00000188486","H2AFX"
"ENSG00000051108","HERPUD1"
"ENSG00000166598","HSP90B1"
"ENSG00000044574","HSPA5"
"ENSG00000113013","HSPA9"
"ENSG00000149428","HYOU1"
"ENSG00000280682","HYOU1"
"ENSG00000196305","IARS"
"ENSG00000185745","IFIT1"
"ENSG00000146678","IGFBP1"
"ENSG00000177971","IMP3"
"ENSG00000100196","KDELR3"
"ENSG00000088247","KHSRP"
"ENSG00000170759","KIF5B"
"ENSG00000175324","LSM1"
"ENSG00000130520","LSM4"
"ENSG00000065911","MTHFD2"
"ENSG00000001167","NFYA"
"ENSG00000120837","NFYB"
"ENSG00000145912","NHP2"
"ENSG00000166197","NOLC1"
"ENSG00000087269","NOP14"
"ENSG00000101361","NOP56"
"ENSG00000181163","NPM1"
"ENSG00000172239","PAIP1"
"ENSG00000140694","PARN"
"ENSG00000274829","PARN"
"ENSG00000065485","PDIA5"
"ENSG00000143870","PDIA6"
"ENSG00000105171","POP4"
"ENSG00000138073","PREB"
"ENSG00000135069","PSAT1"
"ENSG00000164587","RPS14"
"ENSG00000114767","RRP9"
"ENSG00000198301","SDAD1"
"ENSG00000140612","SEC11A"
"ENSG00000138674","SEC31A"
"ENSG00000120742","SERP1"
"ENSG00000160691","SHC1"
"ENSG00000039123","SKIV2L2"
"ENSG00000115902","SLC1A4"
"ENSG00000145740","SLC30A5"
"ENSG00000103257","SLC7A5"
"ENSG00000114902","SPCS1"
"ENSG00000129128","SPCS3"
"ENSG00000144867","SRPRB"
"ENSG00000124783","SSR1"
"ENSG00000113739","STC2"
"ENSG00000113407","TARS"
"ENSG00000157014","TATDN2"
"ENSG00000184205","TSPYL2"
"ENSG00000198677","TTC37"
"ENSG00000137267","TUBB2A"
"ENSG00000112715","VEGFA"
"ENSG00000109501","WFS1"
"ENSG00000070540","WIPI1"
"ENSG00000100219","XBP1"
"ENSG00000184575","XPOT"
"ENSG00000174851","YIF1A"
"ENSG00000164924","YWHAZ"
"ENSG00000116809","ZBTB17"
