"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0007165"	"signal transduction"	"21.24"	"-21.24"
"GO:0018108"	"peptidyl-tyrosine phosphorylation"	"19.537"	"-19.537"
"GO:0045893"	"positive regulation of transcription, DNA-templated"	"18.983"	"-18.983"
"GO:0007411"	"axon guidance"	"18.853"	"-18.853"
"GO:0007173"	"epidermal growth factor receptor signaling pathway"	"18.586"	"-18.586"
"GO:0030335"	"positive regulation of cell migration"	"18.164"	"-18.164"
"GO:0048013"	"ephrin receptor signaling pathway"	"17.919"	"-17.919"
"GO:0046854"	"phosphatidylinositol phosphorylation"	"17.755"	"-17.755"
"GO:0048010"	"vascular endothelial growth factor receptor signaling pathway"	"17.732"	"-17.732"
"GO:0050900"	"leukocyte migration"	"17.429"	"-17.429"
"GO:0009967"	"positive regulation of signal transduction"	"17.242"	"-17.242"
"GO:0045944"	"positive regulation of transcription from RNA polymerase II promoter"	"16.97"	"-16.97"
"GO:0030199"	"collagen fibril organization"	"16.949"	"-16.949"
"GO:0007155"	"cell adhesion"	"16.633"	"-16.633"
"GO:0001525"	"angiogenesis"	"16.631"	"-16.631"
"GO:0016477"	"cell migration"	"16.59"	"-16.59"
"GO:0030154"	"cell differentiation"	"15.863"	"-15.863"
"GO:0000165"	"MAPK cascade"	"15.808"	"-15.808"
"GO:0051897"	"positive regulation of protein kinase B signaling"	"15.761"	"-15.761"
"GO:0035556"	"intracellular signal transduction"	"15.744"	"-15.744"
"GO:0007169"	"transmembrane receptor protein tyrosine kinase signaling pathway"	"15.682"	"-15.682"
"GO:0010718"	"positive regulation of epithelial to mesenchymal transition"	"15.656"	"-15.656"
"GO:0007179"	"transforming growth factor beta receptor signaling pathway"	"15.499"	"-15.499"
"GO:0030168"	"platelet activation"	"15.421"	"-15.421"
"GO:0031295"	"T cell costimulation"	"15.365"	"-15.365"
"GO:0046627"	"negative regulation of insulin receptor signaling pathway"	"15.3"	"-15.3"
"GO:0014068"	"positive regulation of phosphatidylinositol 3-kinase signaling"	"15.275"	"-15.275"
"GO:0017015"	"regulation of transforming growth factor beta receptor signaling pathway"	"15.171"	"-15.171"
