"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0003723"	"RNA binding"	"-16.947"	"16.947"
"GO:0003677"	"DNA binding"	"-11.39"	"11.39"
"GO:0003735"	"structural constituent of ribosome"	"-10.775"	"10.775"
"GO:0003743"	"translation initiation factor activity"	"-8.076"	"8.076"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"-7.089"	"7.089"
"GO:0046872"	"metal ion binding"	"-6.327"	"6.327"
"GO:0003729"	"mRNA binding"	"-6.271"	"6.271"
"GO:0016887"	"ATPase activity"	"-6.156"	"6.156"
"GO:0019843"	"rRNA binding"	"-5.836"	"5.836"
"GO:0070034"	"telomerase RNA binding"	"-5.678"	"5.678"
"GO:0004930"	"G-protein coupled receptor activity"	"-5.522"	"5.522"
"GO:0051082"	"unfolded protein binding"	"-4.962"	"4.962"
"GO:0033038"	"bitter taste receptor activity"	"-4.786"	"4.786"
"GO:0008536"	"Ran GTPase binding"	"-4.752"	"4.752"
"GO:0044183"	"protein binding involved in protein folding"	"-4.727"	"4.727"
"GO:0017056"	"structural constituent of nuclear pore"	"-4.631"	"4.631"
"GO:0030515"	"snoRNA binding"	"-4.631"	"4.631"
"GO:0008135"	"translation factor activity, RNA binding"	"-4.52"	"4.52"
"GO:0008009"	"chemokine activity"	"-4.515"	"4.515"
"GO:0004004"	"ATP-dependent RNA helicase activity"	"-4.334"	"4.334"
"GO:0042623"	"ATPase activity, coupled"	"-4.329"	"4.329"
"GO:0043022"	"ribosome binding"	"-4.247"	"4.247"
"GO:0031369"	"translation initiation factor binding"	"-4.146"	"4.146"
"GO:0004298"	"threonine-type endopeptidase activity"	"-4.066"	"4.066"
"GO:0000175"	"3'-5'-exoribonuclease activity"	"-3.998"	"3.998"
"GO:0019956"	"chemokine binding"	"-3.947"	"3.947"
"GO:0016493"	"C-C chemokine receptor activity"	"-3.928"	"3.928"
"GO:0003674"	"molecular_function"	"-3.924"	"3.924"
"GO:0003697"	"single-stranded DNA binding"	"-3.924"	"3.924"
"GO:0019957"	"C-C chemokine binding"	"-3.898"	"3.898"
"GO:0003676"	"nucleic acid binding"	"-3.841"	"3.841"
"GO:0061631"	"ubiquitin conjugating enzyme activity"	"-3.738"	"3.738"
"GO:0004842"	"ubiquitin-protein transferase activity"	"-3.736"	"3.736"
"GO:0016787"	"hydrolase activity"	"-3.664"	"3.664"
"GO:0043021"	"ribonucleoprotein complex binding"	"-3.595"	"3.595"
"GO:0051787"	"misfolded protein binding"	"-3.572"	"3.572"
"GO:0000049"	"tRNA binding"	"-3.554"	"3.554"
"GO:0030170"	"pyridoxal phosphate binding"	"-3.513"	"3.513"
"GO:0003730"	"mRNA 3'-UTR binding"	"-3.462"	"3.462"
"GO:0042923"	"neuropeptide binding"	"-3.441"	"3.441"
"GO:0031491"	"nucleosome binding"	"-3.407"	"3.407"
"GO:0004497"	"monooxygenase activity"	"-3.35"	"3.35"
"GO:0070330"	"aromatase activity"	"-3.217"	"3.217"
"GO:0031072"	"heat shock protein binding"	"-3.215"	"3.215"
"GO:0008565"	"protein transporter activity"	"-3.13"	"3.13"
"GO:0048027"	"mRNA 5'-UTR binding"	"-3.127"	"3.127"
"GO:0004386"	"helicase activity"	"-3.079"	"3.079"
"GO:0003727"	"single-stranded RNA binding"	"-3.038"	"3.038"
"GO:0017025"	"TBP-class protein binding"	"-3.015"	"3.015"
