"GO.ID"	"GO.Term"	"HMK"	"Background"
"GO:0000777"	"condensed chromosome kinetochore"	"-6.771"	"6.771"
"GO:0005887"	"integral component of plasma membrane"	"-6.166"	"6.166"
"GO:0045095"	"keratin filament"	"-5.837"	"5.837"
"GO:0000776"	"kinetochore"	"-5.002"	"5.002"
"GO:0005834"	"heterotrimeric G-protein complex"	"-4.82"	"4.82"
"GO:0005762"	"mitochondrial large ribosomal subunit"	"-4.65"	"4.65"
"GO:0097542"	"ciliary tip"	"-4.465"	"4.465"
"GO:0036064"	"ciliary basal body"	"-4.423"	"4.423"
"GO:0000922"	"spindle pole"	"-4.083"	"4.083"
"GO:0005882"	"intermediate filament"	"-4.06"	"4.06"
"GO:0030992"	"intraciliary transport particle B"	"-3.988"	"3.988"
"GO:0005747"	"mitochondrial respiratory chain complex I"	"-3.977"	"3.977"
"GO:0005813"	"centrosome"	"-3.885"	"3.885"
"GO:0030134"	"ER to Golgi transport vesicle"	"-3.847"	"3.847"
"GO:0032391"	"photoreceptor connecting cilium"	"-3.726"	"3.726"
"GO:0000775"	"chromosome, centromeric region"	"-3.712"	"3.712"
"GO:0034451"	"centriolar satellite"	"-3.497"	"3.497"
"GO:0005871"	"kinesin complex"	"-3.404"	"3.404"
"GO:0005761"	"mitochondrial ribosome"	"-3.314"	"3.314"
"GO:0016592"	"mediator complex"	"-3.3"	"3.3"
"GO:0035097"	"histone methyltransferase complex"	"-3.294"	"3.294"
"GO:0009897"	"external side of plasma membrane"	"-3.164"	"3.164"
"GO:0005796"	"Golgi lumen"	"-3.162"	"3.162"
"GO:0042571"	"immunoglobulin complex, circulating"	"-3.119"	"3.119"
"GO:0005886"	"plasma membrane"	"-3.105"	"3.105"
