"ENSG00000151694","ADAM17"
"ENSG00000103126","AXIN1"
"ENSG00000168646","AXIN2"
"ENSG00000118971","CCND2"
"ENSG00000213923","CSNK1E"
"ENSG00000168036","CTNNB1"
"ENSG00000055130","CUL1"
"ENSG00000107984","DKK1"
"ENSG00000104371","DKK4"
"ENSG00000198719","DLL1"
"ENSG00000275555","DLL1"
"ENSG00000004975","DVL2"
"ENSG00000165879","FRAT1"
"ENSG00000157240","FZD1"
"ENSG00000177283","FZD8"
"ENSG00000127955","GNAI1"
"ENSG00000163517","HDAC11"
"ENSG00000196591","HDAC2"
"ENSG00000108840","HDAC5"
"ENSG00000164683","HEY1"
"ENSG00000135547","HEY2"
"ENSG00000101384","JAG1"
"ENSG00000184916","JAG2"
"ENSG00000108773","KAT2A"
"ENSG00000138795","LEF1"
"ENSG00000161021","MAML1"
"ENSG00000136997","MYC"
"ENSG00000196498","NCOR2"
"ENSG00000162736","NCSTN"
"ENSG00000140807","NKD1"
"ENSG00000148400","NOTCH1"
"ENSG00000204301","NOTCH4"
"ENSG00000206312","NOTCH4"
"ENSG00000223355","NOTCH4"
"ENSG00000232339","NOTCH4"
"ENSG00000234876","NOTCH4"
"ENSG00000235396","NOTCH4"
"ENSG00000238196","NOTCH4"
"ENSG00000133961","NUMB"
"ENSG00000112033","PPARD"
"ENSG00000143801","PSEN2"
"ENSG00000185920","PTCH1"
"ENSG00000168214","RBPJ"
"ENSG00000145604","SKP2"
"ENSG00000081059","TCF7"
"ENSG00000141510","TP53"
"ENSG00000125084","WNT1"
"ENSG00000111186","WNT5B"
"ENSG00000115596","WNT6"
